index,good/bad/unsolvable,reply
0,good,"['D', 'J', 'I', 'A', 'K']"
1,good,"['A', 'B', 'C', 'D', 'E']"
2,good,"['D', 'G', 'M', 'A', 'I']"
3,good,"['D', 'J', 'L', 'K', 'A']"
4,good,"['J', 'D', 'E', 'B', 'A']"
5,good,"['J', 'D', 'I', 'A', 'F']"
6,good,"['D', 'G', 'A', 'I', 'J']"
7,good,"['E', 'D', 'M', 'I', 'A']"
8,good,"['D', 'A', 'H', 'I', 'E']"
9,good,"['D', 'E', 'J', 'A', 'K']"
10,good,"['A', 'B', 'C', 'D', 'E']"
11,good,"['D', 'J', 'M', 'K', 'A']"
12,good,"['D', 'B', 'A', 'L', 'J']"
13,good,"['K', 'A', 'D', 'I', 'B']"
14,good,"['D', 'J', 'A', 'M', 'B']"
15,good,"['D', 'J', 'C', 'K', 'L']"
16,good,"['E', 'D', 'J', 'A', 'I']"
17,good,"['D', 'E', 'A', 'L', 'B']"
18,good,"['C', 'D', 'J', 'I', 'M']"
19,good,"['D', 'E', 'J', 'K', 'A']"
20,good,"['D', 'B', 'E', 'A', 'C']"
21,good,"['J', 'D', 'E', 'D', 'H']"
22,good,"['D', 'E', 'A', 'L', 'B']"
23,good,"['D', 'J', 'K', 'A', 'B']"
24,good,"['D', 'A', 'J', 'B', 'E']"
25,good,"['D', 'E', 'A', 'B', 'H']"
26,good,"['D', 'B', 'A', 'L', 'C']"
27,good,"['A', 'D', 'G', 'H', 'I']"
28,good,"['D', 'H', 'E', 'J', 'K']"
29,good,"['L', 'D', 'I', 'H', 'A']"
30,good,"['D', 'E', 'L', 'I', 'J']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['H', 'D', 'A', 'L', 'B']"
33,good,"['A', 'B', 'D', 'J', 'I']"
34,good,"['A', 'B', 'C', 'D', 'E']"
35,good,"['A', 'B', 'C', 'D', 'E']"
36,good,"['D', 'E', 'A', 'M', 'L']"
37,good,"['D', 'K', 'M', 'A', 'I']"
38,good,"['D', 'H', 'J', 'L', 'B']"
39,good,"['D', 'J', 'A', 'B', 'C']"
40,good,"['D', 'E', 'A', 'M', 'B']"
41,good,"['D', 'H', 'K', 'J', 'B']"
42,good,"['D', 'C', 'E', 'A', 'B']"
43,good,"['J', 'D', 'L', 'A', 'B']"
44,good,"['D', 'A', 'I', 'B', 'J']"
45,good,"['D', 'C', 'A', 'K', 'L']"
46,good,"['A', 'B', 'C', 'D', 'E']"
47,good,"['E', 'D', 'H', 'J', 'B']"
48,good,"['D', 'A', 'B', 'F', 'H']"
49,good,"['E', 'D', 'A', 'B', 'I']"
50,good,"['A', 'H', 'E', 'D', 'I']"
51,good,"['J', 'L', 'D', 'K', 'I']"
52,good,"['D', 'K', 'B', 'I', 'C']"
53,good,"['J', 'D', 'E', 'A', 'K']"
54,good,"['D', 'J', 'B', 'H', 'A']"
55,good,"['J', 'D', 'K', 'E', 'M']"
56,good,"['D', 'H', 'L', 'B', 'K']"
57,good,"['D', 'E', 'A', 'J', 'B']"
58,good,"['D', 'H', 'A', 'I', 'J']"
59,good,"['A', 'B', 'C', 'D', 'E']"
60,good,"['D', 'B', 'K', 'E', 'A']"
61,good,"['L', 'D', 'B', 'I', 'A']"
62,good,"['D', 'A', 'B', 'I', 'M']"
63,good,"['A', 'B', 'D', 'C', 'E']"
64,good,"['D', 'E', 'K', 'C', 'J']"
65,good,"['C', 'D', 'J', 'I', 'M']"
66,good,"['D', 'J', 'C', 'A', 'B']"
67,good,"['D', 'A', 'B', 'L', 'C']"
68,good,"['J', 'E', 'D', 'L', 'H']"
69,good,"['D', 'E', 'A', 'J', 'B']"
70,good,"['A', 'B', 'C', 'D', 'E']"
71,good,"['D', 'G', 'E', 'B', 'A']"
72,good,"['D', 'B', 'L', 'A', 'K']"
73,good,"['H', 'D', 'F', 'B', 'C']"
74,good,"['D', 'I', 'B', 'J', 'E']"
75,good,"['A', 'B', 'C', 'D', 'E']"
76,good,"['J', 'D', 'A', 'B', 'H']"
77,good,"['A', 'B', 'C', 'D', 'E']"
78,good,"['D', 'M', 'H', 'J', 'A']"
79,good,"['D', 'A', 'B', 'J', 'C']"
80,good,"['D', 'J', 'A', 'L', 'B']"
81,good,"['D', 'A', 'B', 'C', 'E']"
82,good,"['D', 'E', 'A', 'H', 'B']"
83,good,"['A', 'B', 'C', 'D', 'E']"
84,good,"['D', 'J', 'A', 'I', 'L']"
85,good,"['D', 'I', 'L', 'K', 'A']"
86,unsolvable,"['D', 'G', 'C', 'K', 'A']"
87,good,"['D', 'B', 'G', 'H', 'K']"
88,good,"['A', 'B', 'C', 'D', 'E']"
89,good,"['A', 'B', 'D', 'H', 'M']"
90,good,"['A', 'B', 'C', 'D', 'E']"
91,good,"['D', 'E', 'A', 'J', 'I']"
92,good,"['D', 'A', 'C', 'E', 'H']"
93,good,"['I', 'D', 'J', 'E', 'K']"
94,good,"['H', 'D', 'J', 'A', 'I']"
95,good,"['D', 'B', 'E', 'K', 'F']"
96,good,"['D', 'K', 'A', 'E', 'B']"
97,good,"['D', 'E', 'A', 'H', 'B']"
98,good,"['D', 'E', 'K', 'J', 'A']"
99,good,"['D', 'H', 'A', 'B', 'J']"
