index,good/bad/unsolvable,reply
0,good,"['A', 'B', 'G', 'I', 'D']"
1,good,"['A', 'B', 'I', 'G', 'H']"
2,good,"['A', 'D', 'G', 'I', 'J']"
3,good,"['A', 'C', 'F', 'I', 'J']"
4,good,"['A', 'F', 'B', 'C', 'D']"
5,good,"['A', 'B', 'C', 'D', 'E']"
6,good,"['A', 'F', 'G', 'I', 'B']"
7,good,"['A', 'B', 'C', 'D', 'E']"
8,good,"['A', 'B', 'F', 'I', 'J']"
9,good,"['A', 'D', 'E', 'G', 'I']"
10,good,"['A', 'B', 'C', 'D', 'E']"
11,good,"['A', 'B', 'E', 'G', 'F']"
12,good,"['A', 'D', 'G', 'B', 'E']"
13,good,"['A', 'E', 'F', 'G', 'I']"
14,good,"['A', 'B', 'D', 'F', 'G']"
15,good,"['A', 'B', 'C', 'D', 'G']"
16,bad,[]
17,good,"['A', 'C', 'D', 'E', 'G']"
18,bad,[]
19,good,"['A', 'C', 'F', 'G', 'I']"
20,good,"['A', 'C', 'D', 'E', 'F']"
21,good,"['A', 'C', 'D', 'I', 'J']"
22,good,"['A', 'D', 'E', 'F', 'I']"
23,good,"['A', 'D', 'G', 'I', 'C']"
24,good,"['A', 'G', 'B', 'D', 'E']"
25,good,"['A', 'D', 'F', 'G', 'I']"
26,good,"['A', 'G', 'H', 'I', 'J']"
27,good,"['A', 'E', 'F', 'G', 'I']"
28,good,"['A', 'B', 'C', 'E', 'F']"
29,good,"['A', 'B', 'C', 'D', 'E']"
30,good,"['A', 'B', 'G', 'H', 'I']"
31,good,"['A', 'H', 'G', 'I', 'C']"
32,good,"['A', 'B', 'D', 'G', 'H']"
33,good,"['A', 'H', 'I', 'E', 'F']"
34,good,"['A', 'D', 'G', 'I', 'J']"
35,bad,"['G', 'i', 'v', 'e', 'n']"
36,good,"['A', 'F', 'I', 'G', 'C']"
37,good,"['A', 'B', 'C', 'D', 'E']"
38,good,"['A', 'B', 'D', 'G', 'I']"
39,good,"['A', 'E', 'G', 'I', 'H']"
40,good,"['A', 'F', 'D', 'C', 'B']"
41,good,"['A', 'B', 'G', 'F', 'H']"
42,good,"['A', 'B', 'C', 'D', 'E']"
43,good,"['A', 'F', 'G', 'I', 'B']"
44,good,"['A', 'D', 'E', 'G', 'I']"
45,good,"['A', 'B', 'C', 'D', 'E']"
46,good,"['A', 'B', 'C', 'D', 'G']"
47,good,"['A', 'B', 'E', 'F', 'I']"
48,good,"['A', 'F', 'G', 'H', 'I']"
49,good,"['A', 'B', 'F', 'G', 'I']"
50,good,"['A', 'B', 'D', 'F', 'I']"
51,good,"['A', 'D', 'G', 'I', 'J']"
52,good,"['A', 'B', 'C', 'F', 'G']"
53,good,"['A', 'B', 'C', 'D', 'E']"
54,good,"['A', 'B', 'C', 'D', 'F']"
55,good,"['A', 'E', 'F', 'G', 'H']"
56,good,"['A', 'E', 'C', 'D', 'F']"
57,good,"['A', 'B', 'G', 'I', 'J']"
58,good,"['A', 'B', 'C', 'D', 'E']"
59,good,"['A', 'B', 'G', 'I', 'F']"
60,good,"['A', 'F', 'B', 'C', 'D']"
61,good,"['A', 'F', 'G', 'I', 'J']"
62,good,"['A', 'C', 'D', 'I', 'F']"
63,good,"['A', 'B', 'C', 'D', 'E']"
64,good,"['A', 'C', 'D', 'F', 'G']"
65,good,"['A', 'C', 'E', 'G', 'I']"
66,good,"['A', 'E', 'G', 'I', 'C']"
67,good,"['A', 'F', 'G', 'H', 'I']"
68,good,"['A', 'C', 'D', 'E', 'G']"
69,good,"['A', 'B', 'C', 'D', 'E']"
70,good,"['A', 'C', 'D', 'E', 'F']"
71,good,"['A', 'C', 'F', 'I', 'J']"
72,good,"['A', 'D', 'F', 'G', 'I']"
73,good,"['A', 'B', 'C', 'E', 'F']"
74,good,"['A', 'C', 'F', 'G', 'I']"
75,unsolvable,"['B', 'a', 's', 'e', 'd']"
76,good,"['A', 'B', 'C', 'D', 'E']"
77,good,"['A', 'E', 'F', 'G', 'I']"
78,good,"['A', 'B', 'C', 'E', 'F']"
79,good,"['A', 'B', 'D', 'E', 'G']"
80,good,"['A', 'D', 'H', 'I', 'G']"
81,good,"['A', 'B', 'C', 'D', 'E']"
82,good,"['A', 'B', 'C', 'G', 'H']"
83,good,"['A', 'G', 'H', 'E', 'F']"
84,good,"['A', 'G', 'F', 'I', 'C']"
85,good,"['A', 'B', 'D', 'E', 'G']"
86,good,"['A', 'B', 'D', 'F', 'G']"
87,unsolvable,"['B', 'a', 's', 'e', 'd']"
88,good,"['A', 'C', 'D', 'F', 'H']"
89,good,"['A', 'E', 'F', 'G', 'I']"
90,good,"['A', 'D', 'E', 'I', 'H']"
91,good,"['A', 'B', 'G', 'I', 'J']"
92,good,"['A', 'B', 'C', 'D', 'E']"
93,good,"['A', 'F', 'G', 'H', 'I']"
94,good,"['A', 'C', 'F', 'G', 'I']"
95,good,"['A', 'G', 'C', 'F', 'E']"
96,good,"['A', 'D', 'G', 'I', 'F']"
97,good,"['A', 'C', 'F', 'G', 'I']"
98,good,"['A', 'C', 'D', 'E', 'F']"
99,good,"['A', 'B', 'C', 'D', 'E']"
