index,good/bad/unsolvable,reply
0,good,"['A', 'G', 'D', 'F', 'I']"
1,good,"['A', 'E', 'I', 'C', 'F']"
2,good,"['A', 'B', 'D', 'G', 'C']"
3,good,"['A', 'B', 'D', 'F', 'G']"
4,good,"['A', 'C', 'B', 'D', 'E']"
5,good,"['E', 'G', 'I', 'A', 'C']"
6,good,"['A', 'D', 'F', 'H', 'G']"
7,good,"['A', 'C', 'B', 'E', 'F']"
8,good,"['E', 'A', 'C', 'B', 'D']"
9,good,"['A', 'D', 'G', 'J', 'B']"
10,good,"['A', 'F', 'G', 'H', 'D']"
11,good,"['A', 'B', 'C', 'D', 'E']"
12,good,"['A', 'B', 'C', 'E', 'F']"
13,good,"['A', 'B', 'D', 'F', 'I']"
14,good,"['A', 'B', 'D', 'G', 'J']"
15,good,"['A', 'G', 'E', 'B', 'J']"
16,good,"['A', 'F', 'E', 'I', 'C']"
17,good,"['A', 'E', 'G', 'H', 'B']"
18,good,"['A', 'C', 'B', 'F', 'D']"
19,good,"['A', 'F', 'B', 'C', 'D']"
20,good,"['A', 'G', 'I', 'D', 'B']"
21,good,"['A', 'I', 'F', 'D', 'E']"
22,good,"['A', 'D', 'E', 'H', 'J']"
23,good,"['A', 'B', 'C', 'D', 'E']"
24,good,"['A', 'F', 'B', 'G', 'J']"
25,good,"['A', 'E', 'B', 'C', 'D']"
26,good,"['A', 'F', 'G', 'I', 'J']"
27,good,"['A', 'E', 'F', 'B', 'G']"
28,good,"['A', 'F', 'I', 'B', 'D']"
29,good,"['A', 'C', 'I', 'D', 'B']"
30,good,"['A', 'C', 'G', 'B', 'D']"
31,good,"['A', 'B', 'G', 'E', 'D']"
32,good,"['A', 'E', 'G', 'B', 'C']"
33,good,"['A', 'E', 'I', 'G', 'C']"
34,good,"['A', 'B', 'C', 'D', 'E']"
35,good,"['A', 'D', 'H', 'G', 'J']"
36,good,"['A', 'C', 'B', 'D', 'E']"
37,good,"['A', 'F', 'I', 'C', 'B']"
38,good,"['A', 'G', 'D', 'C', 'B']"
39,good,"['A', 'I', 'B', 'G', 'D']"
40,good,"['A', 'F', 'J', 'I', 'H']"
41,good,"['A', 'G', 'I', 'D', 'E']"
42,good,"['A', 'C', 'B', 'D', 'E']"
43,good,"['A', 'B', 'C', 'D', 'E']"
44,good,"['A', 'D', 'B', 'G', 'E']"
45,good,"['A', 'D', 'G', 'H', 'C']"
46,good,"['A', 'E', 'G', 'C', 'B']"
47,good,"['A', 'E', 'H', 'C', 'B']"
48,good,"['A', 'C', 'B', 'D', 'F']"
49,good,"['A', 'B', 'C', 'F', 'D']"
50,good,"['A', 'E', 'F', 'I', 'G']"
51,good,"['A', 'D', 'G', 'H', 'I']"
52,good,"['A', 'B', 'E', 'J', 'F']"
53,good,"['A', 'E', 'J', 'G', 'C']"
54,good,"['A', 'F', 'G', 'B', 'D']"
55,good,"['E', 'A', 'F', 'G', 'I']"
56,good,"['A', 'D', 'B', 'E', 'C']"
57,good,"['A', 'G', 'I', 'D', 'B']"
58,good,"['A', 'E', 'F', 'C', 'I']"
59,good,"['A', 'D', 'C', 'G', 'H']"
60,good,"['D', 'G', 'I', 'A', 'F']"
61,good,"['A', 'F', 'C', 'D', 'J']"
62,good,"['A', 'I', 'F', 'B', 'C']"
63,good,"['A', 'D', 'F', 'G', 'J']"
64,good,"['D', 'G', 'A', 'F', 'I']"
65,good,"['A', 'D', 'F', 'H', 'B']"
66,good,"['A', 'D', 'B', 'G', 'H']"
67,good,"['A', 'F', 'H', 'C', 'D']"
68,unsolvable,"['J', 'I', 'H', 'G', 'F']"
69,good,"['G', 'A', 'B', 'E', 'J']"
70,good,"['A', 'E', 'B', 'C', 'D']"
71,good,"['A', 'E', 'G', 'J', 'C']"
72,good,"['A', 'D', 'G', 'E', 'B']"
73,good,"['A', 'B', 'J', 'D', 'F']"
74,good,"['A', 'F', 'I', 'C', 'D']"
75,unsolvable,"['A', 'B', 'C', 'D', 'E']"
76,good,"['C', 'G', 'A', 'D', 'I']"
77,good,"['A', 'B', 'C', 'D', 'E']"
78,good,"['H', 'I', 'A', 'E', 'B']"
79,good,"['A', 'B', 'C', 'D', 'E']"
80,good,"['A', 'C', 'G', 'D', 'E']"
81,good,"['A', 'E', 'G', 'I', 'C']"
82,good,"['A', 'D', 'E', 'G', 'H']"
83,good,"['A', 'B', 'C', 'D', 'E']"
84,good,"['A', 'F', 'B', 'C', 'D']"
85,good,"['A', 'F', 'B', 'C', 'D']"
86,good,"['A', 'F', 'E', 'I', 'G']"
87,good,"['A', 'B', 'C', 'D', 'E']"
88,good,"['A', 'B', 'F', 'C', 'D']"
89,good,"['A', 'D', 'G', 'B', 'C']"
90,good,"['A', 'D', 'F', 'G', 'H']"
91,good,"['G', 'A', 'C', 'I', 'B']"
92,good,"['A', 'F', 'G', 'B', 'D']"
93,good,"['G', 'D', 'E', 'I', 'A']"
94,good,"['A', 'C', 'G', 'B', 'J']"
95,good,"['A', 'D', 'G', 'B', 'E']"
96,good,"['A', 'B', 'G', 'D', 'F']"
97,good,"['A', 'C', 'G', 'H', 'J']"
98,good,"['D', 'A', 'F', 'G', 'I']"
99,good,"['A', 'E', 'G', 'D', 'B']"
