prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
389.0,273.0,0.0038900000000000002,0.00819,0.01208
477.0,252.0,0.004770000000000001,0.00756,0.01233
962.0,232.0,0.009620000000000002,0.00696,0.01658
570.0,223.0,0.0057,0.00669,0.01239
735.0,285.0,0.007350000000000001,0.008549999999999999,0.015899999999999997
494.0,240.0,0.004940000000000001,0.007199999999999999,0.01214
456.0,281.0,0.004560000000000001,0.00843,0.012990000000000002
590.0,277.0,0.005900000000000001,0.00831,0.01421
439.0,269.0,0.00439,0.00807,0.01246
522.0,283.0,0.00522,0.008490000000000001,0.01371
471.0,250.0,0.00471,0.0075,0.012209999999999999
425.0,409.0,0.00425,0.01227,0.01652
382.0,355.0,0.0038200000000000005,0.01065,0.01447
617.0,291.0,0.00617,0.00873,0.0149
561.0,248.0,0.00561,0.0074399999999999996,0.013049999999999999
469.0,283.0,0.004690000000000001,0.008490000000000001,0.01318
553.0,224.0,0.00553,0.006719999999999999,0.01225
368.0,255.0,0.00368,0.00765,0.01133
536.0,305.0,0.00536,0.00915,0.01451
561.0,232.0,0.00561,0.00696,0.012570000000000001
395.0,261.0,0.00395,0.00783,0.01178
656.0,204.0,0.006560000000000001,0.0061200000000000004,0.01268
836.0,264.0,0.00836,0.00792,0.01628
732.0,334.0,0.00732,0.01002,0.01734
556.0,223.0,0.005560000000000001,0.00669,0.01225
564.0,284.0,0.00564,0.00852,0.014159999999999999
430.0,309.0,0.0043,0.009269999999999999,0.013569999999999999
741.0,223.0,0.00741,0.00669,0.0141
555.0,228.0,0.00555,0.00684,0.01239
429.0,267.0,0.00429,0.00801,0.0123
422.0,288.0,0.00422,0.00864,0.01286
363.0,258.0,0.00363,0.0077399999999999995,0.01137
591.0,290.0,0.00591,0.0087,0.01461
411.0,219.0,0.00411,0.0065699999999999995,0.010679999999999999
393.0,185.0,0.00393,0.00555,0.00948
503.0,247.0,0.005030000000000001,0.00741,0.01244
557.0,269.0,0.00557,0.00807,0.013640000000000001
452.0,263.0,0.004520000000000001,0.00789,0.012410000000000001
696.0,220.0,0.00696,0.0066,0.01356
885.0,380.0,0.00885,0.0114,0.02025
547.0,282.0,0.00547,0.008459999999999999,0.013929999999999998
719.0,236.0,0.00719,0.00708,0.014270000000000001
490.0,290.0,0.004900000000000001,0.0087,0.013600000000000001
438.0,289.0,0.00438,0.00867,0.01305
797.0,285.0,0.00797,0.008549999999999999,0.01652
720.0,245.0,0.0072,0.00735,0.01455
534.0,299.0,0.00534,0.008969999999999999,0.01431
404.0,263.0,0.00404,0.00789,0.01193
491.0,300.0,0.00491,0.009,0.013909999999999999
491.0,263.0,0.00491,0.00789,0.012799999999999999
657.0,176.0,0.00657,0.005279999999999999,0.01185
552.0,284.0,0.005520000000000001,0.00852,0.01404
556.0,295.0,0.005560000000000001,0.00885,0.014410000000000001
383.0,366.0,0.00383,0.01098,0.01481
395.0,272.0,0.00395,0.00816,0.012110000000000001
403.0,238.0,0.004030000000000001,0.00714,0.01117
504.0,310.0,0.00504,0.0093,0.014339999999999999
473.0,295.0,0.004730000000000001,0.00885,0.013580000000000002
398.0,359.0,0.00398,0.01077,0.01475
628.0,273.0,0.00628,0.00819,0.01447
398.0,252.0,0.00398,0.00756,0.01154
576.0,267.0,0.0057599999999999995,0.00801,0.01377
495.0,305.0,0.00495,0.00915,0.014100000000000001
408.0,288.0,0.00408,0.00864,0.01272
385.0,307.0,0.00385,0.00921,0.013059999999999999
525.0,336.0,0.00525,0.01008,0.01533
377.0,263.0,0.00377,0.00789,0.01166
365.0,287.0,0.00365,0.00861,0.01226
762.0,261.0,0.00762,0.00783,0.01545
585.0,263.0,0.00585,0.00789,0.013739999999999999
592.0,249.0,0.00592,0.00747,0.013389999999999999
425.0,326.0,0.00425,0.009779999999999999,0.014029999999999999
394.0,267.0,0.00394,0.00801,0.011949999999999999
455.0,255.0,0.00455,0.00765,0.012199999999999999
450.0,274.0,0.0045,0.008219999999999998,0.012719999999999999
783.0,309.0,0.00783,0.009269999999999999,0.017099999999999997
383.0,300.0,0.00383,0.009,0.01283
452.0,287.0,0.004520000000000001,0.00861,0.01313
399.0,323.0,0.0039900000000000005,0.009689999999999999,0.01368
603.0,263.0,0.006030000000000001,0.00789,0.01392
492.0,256.0,0.00492,0.007679999999999999,0.0126
503.0,266.0,0.005030000000000001,0.00798,0.01301
420.0,266.0,0.004200000000000001,0.00798,0.01218
601.0,284.0,0.00601,0.00852,0.01453
412.0,298.0,0.00412,0.00894,0.01306
488.0,275.0,0.00488,0.00825,0.01313
571.0,288.0,0.00571,0.00864,0.01435
437.0,250.0,0.00437,0.0075,0.011869999999999999
441.0,384.0,0.00441,0.011519999999999999,0.01593
523.0,223.0,0.00523,0.00669,0.01192
626.0,190.0,0.00626,0.0057,0.01196
427.0,165.0,0.00427,0.00495,0.00922
418.0,241.0,0.00418,0.0072299999999999994,0.01141
533.0,300.0,0.00533,0.009,0.014329999999999999
477.0,195.0,0.004770000000000001,0.005849999999999999,0.010620000000000001
465.0,240.0,0.0046500000000000005,0.007199999999999999,0.01185
439.0,255.0,0.00439,0.00765,0.012039999999999999
508.0,273.0,0.00508,0.00819,0.01327
376.0,342.0,0.0037600000000000003,0.01026,0.014020000000000001
413.0,278.0,0.00413,0.00834,0.01247
