prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1534.0,556.0,0.04602,0.03336,0.07938
1534.0,170.0,0.04602,0.010199999999999999,0.05622
1534.0,739.0,0.04602,0.04434,0.09036
1534.0,568.0,0.04602,0.03408,0.0801
1534.0,425.0,0.04602,0.0255,0.07152
1534.0,208.0,0.04602,0.01248,0.058499999999999996
1534.0,584.0,0.04602,0.03504,0.08106
1534.0,488.0,0.04602,0.029279999999999997,0.07529999999999999
1534.0,479.0,0.04602,0.028739999999999998,0.07476
1534.0,323.0,0.04602,0.019379999999999998,0.0654
1534.0,286.0,0.04602,0.01716,0.06318
1534.0,505.0,0.04602,0.030299999999999997,0.07632
1534.0,804.0,0.04602,0.04824,0.09426
1534.0,207.0,0.04602,0.01242,0.05844
1534.0,839.0,0.04602,0.050339999999999996,0.09636
1534.0,815.0,0.04602,0.0489,0.09492
1534.0,581.0,0.04602,0.03486,0.08088000000000001
1534.0,576.0,0.04602,0.03456,0.08058
1534.0,434.0,0.04602,0.02604,0.07206
1534.0,590.0,0.04602,0.0354,0.08141999999999999
1534.0,568.0,0.04602,0.03408,0.0801
1534.0,640.0,0.04602,0.0384,0.08442
1534.0,489.0,0.04602,0.02934,0.07536
1534.0,602.0,0.04602,0.03612,0.08213999999999999
1534.0,496.0,0.04602,0.029759999999999998,0.07578
1534.0,528.0,0.04602,0.03168,0.07769999999999999
1534.0,577.0,0.04602,0.03462,0.08063999999999999
1534.0,545.0,0.04602,0.03269999999999999,0.07871999999999998
1534.0,471.0,0.04602,0.028259999999999997,0.07428
1534.0,622.0,0.04602,0.03732,0.08334
1534.0,264.0,0.04602,0.01584,0.06186
1534.0,519.0,0.04602,0.03114,0.07716
1534.0,642.0,0.04602,0.03852,0.08454
1534.0,514.0,0.04602,0.03084,0.07686
1534.0,488.0,0.04602,0.029279999999999997,0.07529999999999999
1534.0,554.0,0.04602,0.03324,0.07926
1534.0,591.0,0.04602,0.03546,0.08148
1534.0,199.0,0.04602,0.01194,0.05796
1534.0,509.0,0.04602,0.030539999999999998,0.07655999999999999
1534.0,528.0,0.04602,0.03168,0.07769999999999999
1534.0,166.0,0.04602,0.009959999999999998,0.055979999999999995
1534.0,413.0,0.04602,0.024779999999999996,0.0708
1534.0,615.0,0.04602,0.036899999999999995,0.08292
1534.0,270.0,0.04602,0.0162,0.06222
1534.0,294.0,0.04602,0.01764,0.06366
1534.0,511.0,0.04602,0.03066,0.07668
1534.0,418.0,0.04602,0.025079999999999998,0.0711
1534.0,440.0,0.04602,0.0264,0.07242
1534.0,486.0,0.04602,0.02916,0.07518
1534.0,504.0,0.04602,0.03024,0.07626
1534.0,554.0,0.04602,0.03324,0.07926
1534.0,456.0,0.04602,0.02736,0.07338
1534.0,543.0,0.04602,0.03258,0.0786
1534.0,502.0,0.04602,0.030119999999999997,0.07614
1534.0,525.0,0.04602,0.0315,0.07752
1534.0,565.0,0.04602,0.0339,0.07991999999999999
1534.0,482.0,0.04602,0.028919999999999998,0.07493999999999999
1534.0,611.0,0.04602,0.03666,0.08268
1534.0,484.0,0.04602,0.02904,0.07506
1534.0,565.0,0.04602,0.0339,0.07991999999999999
1534.0,192.0,0.04602,0.011519999999999999,0.057539999999999994
1534.0,434.0,0.04602,0.02604,0.07206
1534.0,179.0,0.04602,0.01074,0.05676
1534.0,900.0,0.04602,0.054,0.10002
1534.0,244.0,0.04602,0.014639999999999999,0.06066
1534.0,495.0,0.04602,0.0297,0.07572
1534.0,481.0,0.04602,0.02886,0.07488
1534.0,556.0,0.04602,0.03336,0.07938
1534.0,162.0,0.04602,0.00972,0.05574
1534.0,562.0,0.04602,0.03372,0.07974
1534.0,453.0,0.04602,0.02718,0.0732
1534.0,460.0,0.04602,0.0276,0.07361999999999999
1534.0,500.0,0.04602,0.03,0.07602
1534.0,656.0,0.04602,0.03936,0.08538
1534.0,505.0,0.04602,0.030299999999999997,0.07632
1534.0,108.0,0.04602,0.00648,0.0525
1534.0,443.0,0.04602,0.02658,0.0726
1534.0,198.0,0.04602,0.011879999999999998,0.05789999999999999
1534.0,491.0,0.04602,0.029459999999999997,0.07547999999999999
1534.0,160.0,0.04602,0.0096,0.055619999999999996
1534.0,483.0,0.04602,0.02898,0.075
1534.0,543.0,0.04602,0.03258,0.0786
1534.0,253.0,0.04602,0.015179999999999999,0.0612
1534.0,512.0,0.04602,0.030719999999999997,0.07674
1534.0,483.0,0.04602,0.02898,0.075
1534.0,522.0,0.04602,0.03132,0.07733999999999999
1534.0,595.0,0.04602,0.035699999999999996,0.08171999999999999
1534.0,256.0,0.04602,0.015359999999999999,0.06138
1534.0,912.0,0.04602,0.05472,0.10074
1534.0,222.0,0.04602,0.01332,0.05934
1534.0,826.0,0.04602,0.04955999999999999,0.09558
1534.0,200.0,0.04602,0.012,0.05802
1534.0,564.0,0.04602,0.033839999999999995,0.07985999999999999
1534.0,499.0,0.04602,0.029939999999999998,0.07596
1534.0,453.0,0.04602,0.02718,0.0732
1534.0,568.0,0.04602,0.03408,0.0801
1534.0,542.0,0.04602,0.03251999999999999,0.07854
1534.0,565.0,0.04602,0.0339,0.07991999999999999
1534.0,251.0,0.04602,0.015059999999999999,0.061079999999999995
1534.0,536.0,0.04602,0.032159999999999994,0.07818
