prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
587.0,221.0,0.01761,0.01326,0.03087
587.0,275.0,0.01761,0.0165,0.03411
587.0,265.0,0.01761,0.015899999999999997,0.03351
587.0,296.0,0.01761,0.017759999999999998,0.03537
587.0,189.0,0.01761,0.01134,0.02895
587.0,286.0,0.01761,0.01716,0.03477
587.0,245.0,0.01761,0.0147,0.03231
587.0,218.0,0.01761,0.01308,0.030690000000000002
587.0,195.0,0.01761,0.011699999999999999,0.02931
587.0,175.0,0.01761,0.0105,0.028110000000000003
587.0,287.0,0.01761,0.01722,0.03483
587.0,243.0,0.01761,0.01458,0.032189999999999996
587.0,240.0,0.01761,0.014399999999999998,0.03201
587.0,203.0,0.01761,0.01218,0.02979
587.0,221.0,0.01761,0.01326,0.03087
587.0,198.0,0.01761,0.011879999999999998,0.02949
587.0,224.0,0.01761,0.013439999999999999,0.03105
587.0,316.0,0.01761,0.01896,0.036570000000000005
587.0,214.0,0.01761,0.01284,0.03045
587.0,171.0,0.01761,0.01026,0.02787
587.0,254.0,0.01761,0.01524,0.032850000000000004
587.0,216.0,0.01761,0.01296,0.03057
587.0,244.0,0.01761,0.014639999999999999,0.03225
587.0,247.0,0.01761,0.01482,0.03243
587.0,240.0,0.01761,0.014399999999999998,0.03201
587.0,243.0,0.01761,0.01458,0.032189999999999996
587.0,258.0,0.01761,0.015479999999999999,0.03309
587.0,220.0,0.01761,0.0132,0.03081
587.0,203.0,0.01761,0.01218,0.02979
587.0,221.0,0.01761,0.01326,0.03087
587.0,226.0,0.01761,0.01356,0.03117
587.0,251.0,0.01761,0.015059999999999999,0.03267
587.0,179.0,0.01761,0.01074,0.02835
587.0,253.0,0.01761,0.015179999999999999,0.03279
587.0,259.0,0.01761,0.01554,0.03315
587.0,406.0,0.01761,0.02436,0.04197
587.0,242.0,0.01761,0.01452,0.03213
587.0,323.0,0.01761,0.019379999999999998,0.036989999999999995
587.0,207.0,0.01761,0.01242,0.03003
587.0,170.0,0.01761,0.010199999999999999,0.02781
587.0,267.0,0.01761,0.01602,0.03363
587.0,254.0,0.01761,0.01524,0.032850000000000004
587.0,222.0,0.01761,0.01332,0.03093
587.0,196.0,0.01761,0.01176,0.02937
587.0,226.0,0.01761,0.01356,0.03117
587.0,264.0,0.01761,0.01584,0.03345
587.0,193.0,0.01761,0.01158,0.02919
587.0,204.0,0.01761,0.012240000000000001,0.02985
587.0,175.0,0.01761,0.0105,0.028110000000000003
587.0,191.0,0.01761,0.01146,0.02907
587.0,232.0,0.01761,0.01392,0.03153
587.0,245.0,0.01761,0.0147,0.03231
587.0,227.0,0.01761,0.013619999999999998,0.03123
587.0,227.0,0.01761,0.013619999999999998,0.03123
587.0,296.0,0.01761,0.017759999999999998,0.03537
587.0,193.0,0.01761,0.01158,0.02919
587.0,194.0,0.01761,0.01164,0.029249999999999998
587.0,283.0,0.01761,0.016980000000000002,0.03459
587.0,211.0,0.01761,0.01266,0.03027
587.0,223.0,0.01761,0.01338,0.03099
587.0,224.0,0.01761,0.013439999999999999,0.03105
587.0,189.0,0.01761,0.01134,0.02895
587.0,227.0,0.01761,0.013619999999999998,0.03123
587.0,252.0,0.01761,0.01512,0.03273
587.0,213.0,0.01761,0.01278,0.03039
587.0,193.0,0.01761,0.01158,0.02919
587.0,258.0,0.01761,0.015479999999999999,0.03309
587.0,153.0,0.01761,0.009179999999999999,0.02679
587.0,221.0,0.01761,0.01326,0.03087
587.0,155.0,0.01761,0.0093,0.02691
587.0,165.0,0.01761,0.0099,0.02751
587.0,212.0,0.01761,0.012719999999999999,0.03033
587.0,137.0,0.01761,0.008219999999999998,0.02583
587.0,221.0,0.01761,0.01326,0.03087
587.0,132.0,0.01761,0.00792,0.02553
587.0,165.0,0.01761,0.0099,0.02751
587.0,269.0,0.01761,0.01614,0.03375
587.0,164.0,0.01761,0.00984,0.027450000000000002
587.0,267.0,0.01761,0.01602,0.03363
587.0,243.0,0.01761,0.01458,0.032189999999999996
587.0,181.0,0.01761,0.01086,0.028470000000000002
587.0,251.0,0.01761,0.015059999999999999,0.03267
587.0,251.0,0.01761,0.015059999999999999,0.03267
587.0,211.0,0.01761,0.01266,0.03027
587.0,671.0,0.01761,0.04026,0.05787
587.0,137.0,0.01761,0.008219999999999998,0.02583
587.0,229.0,0.01761,0.01374,0.03135
587.0,199.0,0.01761,0.01194,0.02955
587.0,186.0,0.01761,0.01116,0.02877
587.0,182.0,0.01761,0.01092,0.02853
587.0,169.0,0.01761,0.010139999999999998,0.027749999999999997
587.0,279.0,0.01761,0.016739999999999998,0.03435
587.0,258.0,0.01761,0.015479999999999999,0.03309
587.0,262.0,0.01761,0.015719999999999998,0.03333
587.0,252.0,0.01761,0.01512,0.03273
587.0,224.0,0.01761,0.013439999999999999,0.03105
587.0,217.0,0.01761,0.01302,0.03063
587.0,218.0,0.01761,0.01308,0.030690000000000002
587.0,195.0,0.01761,0.011699999999999999,0.02931
587.0,248.0,0.01761,0.014879999999999999,0.03249
