prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
715.0,117.0,0.02145,0.007019999999999999,0.02847
715.0,234.0,0.02145,0.014039999999999999,0.03549
715.0,215.0,0.02145,0.0129,0.03435
715.0,158.0,0.02145,0.00948,0.03093
715.0,215.0,0.02145,0.0129,0.03435
715.0,194.0,0.02145,0.01164,0.03309
715.0,214.0,0.02145,0.01284,0.03429
715.0,159.0,0.02145,0.00954,0.03099
715.0,225.0,0.02145,0.0135,0.03495
715.0,159.0,0.02145,0.00954,0.03099
715.0,161.0,0.02145,0.00966,0.03111
715.0,220.0,0.02145,0.0132,0.03465
715.0,211.0,0.02145,0.01266,0.03411
715.0,200.0,0.02145,0.012,0.03345
715.0,125.0,0.02145,0.0075,0.02895
715.0,115.0,0.02145,0.0069,0.02835
715.0,143.0,0.02145,0.00858,0.03003
715.0,131.0,0.02145,0.007859999999999999,0.02931
715.0,163.0,0.02145,0.009779999999999999,0.03123
715.0,198.0,0.02145,0.011879999999999998,0.03333
715.0,218.0,0.02145,0.01308,0.03453
715.0,85.0,0.02145,0.0050999999999999995,0.02655
715.0,221.0,0.02145,0.01326,0.03471
715.0,134.0,0.02145,0.008039999999999999,0.02949
715.0,269.0,0.02145,0.01614,0.03759
715.0,199.0,0.02145,0.01194,0.03339
715.0,109.0,0.02145,0.00654,0.02799
715.0,283.0,0.02145,0.016980000000000002,0.038430000000000006
715.0,204.0,0.02145,0.012240000000000001,0.03369
715.0,67.0,0.02145,0.004019999999999999,0.02547
715.0,257.0,0.02145,0.01542,0.03687
715.0,209.0,0.02145,0.012539999999999999,0.03399
715.0,136.0,0.02145,0.00816,0.02961
715.0,313.0,0.02145,0.018779999999999998,0.04023
715.0,198.0,0.02145,0.011879999999999998,0.03333
715.0,219.0,0.02145,0.013139999999999999,0.034589999999999996
715.0,199.0,0.02145,0.01194,0.03339
715.0,208.0,0.02145,0.01248,0.03393
715.0,137.0,0.02145,0.008219999999999998,0.02967
715.0,212.0,0.02145,0.012719999999999999,0.03417
715.0,255.0,0.02145,0.0153,0.03675
715.0,197.0,0.02145,0.01182,0.03327
715.0,208.0,0.02145,0.01248,0.03393
715.0,201.0,0.02145,0.01206,0.03351
715.0,196.0,0.02145,0.01176,0.03321
715.0,136.0,0.02145,0.00816,0.02961
715.0,118.0,0.02145,0.00708,0.02853
715.0,158.0,0.02145,0.00948,0.03093
715.0,197.0,0.02145,0.01182,0.03327
715.0,266.0,0.02145,0.01596,0.03741
715.0,218.0,0.02145,0.01308,0.03453
715.0,269.0,0.02145,0.01614,0.03759
715.0,88.0,0.02145,0.005279999999999999,0.02673
715.0,221.0,0.02145,0.01326,0.03471
715.0,246.0,0.02145,0.01476,0.03621
715.0,253.0,0.02145,0.015179999999999999,0.036629999999999996
715.0,210.0,0.02145,0.0126,0.03405
715.0,242.0,0.02145,0.01452,0.03597
715.0,281.0,0.02145,0.01686,0.03831
715.0,90.0,0.02145,0.005399999999999999,0.02685
715.0,186.0,0.02145,0.01116,0.03261
715.0,133.0,0.02145,0.00798,0.029429999999999998
715.0,96.0,0.02145,0.0057599999999999995,0.027209999999999998
715.0,213.0,0.02145,0.01278,0.03423
715.0,222.0,0.02145,0.01332,0.03477
715.0,306.0,0.02145,0.018359999999999998,0.03981
715.0,140.0,0.02145,0.008400000000000001,0.02985
715.0,287.0,0.02145,0.01722,0.038669999999999996
715.0,235.0,0.02145,0.0141,0.03555
715.0,176.0,0.02145,0.010559999999999998,0.03201
715.0,213.0,0.02145,0.01278,0.03423
715.0,195.0,0.02145,0.011699999999999999,0.03315
715.0,265.0,0.02145,0.015899999999999997,0.037349999999999994
715.0,193.0,0.02145,0.01158,0.033030000000000004
715.0,178.0,0.02145,0.01068,0.03213
715.0,199.0,0.02145,0.01194,0.03339
715.0,195.0,0.02145,0.011699999999999999,0.03315
715.0,300.0,0.02145,0.018,0.03945
715.0,193.0,0.02145,0.01158,0.033030000000000004
715.0,246.0,0.02145,0.01476,0.03621
715.0,140.0,0.02145,0.008400000000000001,0.02985
715.0,198.0,0.02145,0.011879999999999998,0.03333
715.0,225.0,0.02145,0.0135,0.03495
715.0,96.0,0.02145,0.0057599999999999995,0.027209999999999998
715.0,178.0,0.02145,0.01068,0.03213
715.0,142.0,0.02145,0.00852,0.02997
715.0,275.0,0.02145,0.0165,0.03795
715.0,248.0,0.02145,0.014879999999999999,0.03633
715.0,239.0,0.02145,0.01434,0.03579
715.0,309.0,0.02145,0.018539999999999997,0.03999
715.0,254.0,0.02145,0.01524,0.03669
715.0,230.0,0.02145,0.0138,0.035250000000000004
715.0,252.0,0.02145,0.01512,0.03657
715.0,249.0,0.02145,0.01494,0.03639
715.0,214.0,0.02145,0.01284,0.03429
715.0,234.0,0.02145,0.014039999999999999,0.03549
715.0,84.0,0.02145,0.00504,0.02649
715.0,246.0,0.02145,0.01476,0.03621
715.0,186.0,0.02145,0.01116,0.03261
715.0,245.0,0.02145,0.0147,0.03615
