index,good/bad/unsolvable,reply
0,good,"['O', 'D', 'F', 'V']"
1,good,"['M', 'T', 'V', 'F']"
2,bad,[]
3,bad,"['G', 'i', 'v', 'e']"
4,good,"['A', 'B', 'C', 'D']"
5,good,"['A', 'B', 'C', 'D']"
6,bad,"['D', 'u', 'e', 't']"
7,good,"['P', 'R', 'L', 'M']"
8,good,"['P', 'Q', 'S', 'R']"
9,unsolvable,"['T', 'h', 'e', 'r']"
10,good,"['O', 'H', 'Q', 'S']"
11,good,"['A', 'B', 'C', 'D']"
12,good,"['P', 'O', 'N', 'Q']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['V', 'U', 'E', 'A']"
15,good,"['O', 'T', 'V', 'I']"
16,bad,"['T', 'h', 'e', 'r']"
17,good,"['R', 'A', 'W', 'E']"
18,bad,[]
19,good,"['V', 'O', 'F', 'E']"
20,good,"['O', 'H', 'I', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,unsolvable,"['D', 'O', 'F', 'G']"
23,good,"['V', 'Q', 'P', 'O']"
24,bad,"['T', 'h', 'e', 'r']"
25,bad,"['t', 'o', 'i', 'd']"
26,good,"['V', 'O', 'P', 'R']"
27,bad,"['G', 'i', 'v', 'e']"
28,good,"['T', 'A', 'H', 'M']"
29,good,"['E', 'H', 'U', 'V']"
30,good,"['I', 'O', 'H', 'F']"
31,good,"['O', 'H', 'I', 'A']"
32,good,"['A', 'D', 'F', 'O']"
33,good,"['O', 'R', 'V', 'I']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['R', 'V', 'Q', 'P']"
36,good,"['V', 'A', 'E', 'D']"
37,good,"['A', 'E', 'D', 'F']"
38,unsolvable,"['G', 'i', 'v', 'e']"
39,good,"['N', 'O', 'G', 'M']"
40,good,"['O', 'H', 'D', 'T']"
41,good,"['S', 'M', 'V', 'N']"
42,good,"['G', 'I', 'O', 'T']"
43,good,"['V', 'D', 'O', 'E']"
44,good,"['F', 'O', 'T', 'G']"
45,good,"['I', 'O', 'N', 'S']"
46,bad,"['s', 'o', 'm', 'e']"
47,good,"['N', 'F', 'V', 'M']"
48,good,"['O', 'H', 'A', 'E']"
49,good,"['A', 'B', 'C', 'D']"
50,good,"['A', 'D', 'H', 'E']"
51,good,"['O', 'I', 'H', 'F']"
52,good,"['A', 'B', 'C', 'D']"
53,good,"['O', 'D', 'E', 'T']"
54,unsolvable,"['A', 'B', 'C', 'D']"
55,good,"['O', 'C', 'D', 'N']"
56,bad,"['G', 'i', 'v', 'e']"
57,bad,"['b', 'a', 's', 'e']"
58,good,"['F', 'N', 'O', 'R']"
59,good,"['Q', 'O', 'N', 'F']"
60,good,"['O', 'C', 'A', 'P']"
61,good,"['A', 'B', 'C', 'D']"
62,good,"['K', 'W', 'T', 'Q']"
63,good,"['O', 'D', 'A', 'F']"
64,unsolvable,"['G', 'i', 'v', 'e']"
65,good,"['A', 'B', 'C', 'D']"
66,good,"['E', 'D', 'R', 'T']"
67,good,"['O', 'E', 'G', 'D']"
68,bad,"['T', 'h', 'e', 'r']"
69,bad,"['G', 'i', 'v', 'e']"
70,good,"['A', 'B', 'C', 'D']"
71,good,"['T', 'Q', 'R', 'F']"
72,good,"['O', 'N', 'A', 'B']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['O', 'E', 'F', 'R']"
75,good,"['O', 'V', 'Q', 'I']"
76,good,"['E', 'F', 'S', 'V']"
77,good,"['A', 'D', 'H', 'Q']"
78,good,"['P', 'V', 'M', 'O']"
79,good,"['A', 'B', 'C', 'D']"
80,unsolvable,"['T', 'h', 'e', 'r']"
81,good,"['R', 'N', 'O', 'I']"
82,bad,[]
83,good,"['O', 'R', 'S', 'I']"
84,good,"['A', 'B', 'C', 'D']"
85,good,"['A', 'D', 'I', 'T']"
86,good,"['O', 'Q', 'R', 'V']"
87,bad,"['G', 'i', 'v', 'e']"
88,good,"['A', 'B', 'C', 'D']"
89,good,"['R', 'O', 'D', 'V']"
90,good,"['V', 'O', 'E', 'M']"
91,good,"['O', 'I', 'V', 'E']"
92,good,"['V', 'J', 'E', 'O']"
93,good,"['W', 'O', 'F', 'E']"
94,bad,[]
95,good,"['T', 'F', 'P', 'M']"
96,good,"['Q', 'N', 'U', 'D']"
97,unsolvable,"['P', 'Q', 'H', 'M']"
98,bad,[]
99,good,"['A', 'B', 'C', 'D']"
