index,good/bad/unsolvable,reply
0,good,"['G', 'A', 'B', 'D', 'E']"
1,good,"['A', 'G', 'E', 'I', 'F']"
2,good,"['A', 'G', 'I', 'D', 'F']"
3,good,"['A', 'G', 'E', 'F', 'I']"
4,good,"['A', 'G', 'E', 'F', 'B']"
5,good,"['A', 'G', 'I', 'F', 'E']"
6,good,"['A', 'G', 'F', 'I', 'E']"
7,good,"['A', 'B', 'C', 'D', 'E']"
8,good,"['A', 'F', 'G', 'I', 'J']"
9,good,"['A', 'I', 'G', 'E', 'B']"
10,good,"['A', 'E', 'G', 'I', 'F']"
11,good,"['A', 'F', 'G', 'I', 'E']"
12,good,"['A', 'G', 'D', 'F', 'E']"
13,good,"['A', 'G', 'H', 'I', 'E']"
14,good,"['A', 'D', 'G', 'H', 'F']"
15,good,"['G', 'A', 'E', 'F', 'D']"
16,good,"['A', 'G', 'I', 'F', 'D']"
17,good,"['G', 'I', 'A', 'D', 'H']"
18,good,"['A', 'G', 'H', 'F', 'I']"
19,good,"['A', 'G', 'I', 'F', 'E']"
20,good,"['A', 'F', 'G', 'E', 'I']"
21,good,"['A', 'G', 'I', 'H', 'B']"
22,good,"['I', 'A', 'G', 'E', 'F']"
23,good,"['A', 'G', 'I', 'F', 'E']"
24,good,"['A', 'G', 'E', 'F', 'D']"
25,good,"['A', 'G', 'F', 'H', 'I']"
26,good,"['A', 'G', 'I', 'F', 'E']"
27,good,"['A', 'G', 'F', 'E', 'I']"
28,good,"['A', 'F', 'G', 'I', 'H']"
29,good,"['A', 'I', 'E', 'G', 'D']"
30,good,"['A', 'G', 'F', 'E', 'D']"
31,good,"['A', 'G', 'H', 'B', 'I']"
32,good,"['A', 'F', 'G', 'I', 'E']"
33,good,"['A', 'E', 'I', 'G', 'H']"
34,good,"['A', 'F', 'I', 'G', 'D']"
35,good,"['A', 'I', 'B', 'E', 'F']"
36,good,"['A', 'I', 'G', 'B', 'C']"
37,good,"['A', 'I', 'C', 'F', 'H']"
38,good,"['G', 'A', 'H', 'D', 'F']"
39,good,"['G', 'I', 'E', 'H', 'A']"
40,good,"['A', 'F', 'G', 'D', 'E']"
41,good,"['A', 'F', 'G', 'D', 'I']"
42,good,"['A', 'G', 'E', 'F', 'D']"
43,good,"['A', 'G', 'F', 'E', 'B']"
44,good,"['A', 'G', 'I', 'D', 'E']"
45,good,"['A', 'E', 'G', 'F', 'D']"
46,good,"['A', 'G', 'I', 'D', 'E']"
47,good,"['A', 'F', 'G', 'D', 'E']"
48,good,"['A', 'D', 'E', 'G', 'F']"
49,good,"['A', 'F', 'G', 'E', 'B']"
50,good,"['A', 'G', 'H', 'D', 'I']"
51,bad,"['W', 'i', 't', 'h', 'o']"
52,good,"['A', 'F', 'I', 'G', 'B']"
53,good,"['A', 'F', 'G', 'I', 'E']"
54,good,"['A', 'G', 'D', 'B', 'F']"
55,good,"['A', 'G', 'F', 'E', 'H']"
56,good,"['A', 'G', 'I', 'B', 'E']"
57,good,"['G', 'I', 'A', 'D', 'H']"
58,good,"['A', 'G', 'F', 'I', 'E']"
59,good,"['A', 'G', 'I', 'F', 'H']"
60,good,"['A', 'G', 'I', 'J', 'F']"
61,good,"['A', 'G', 'F', 'E', 'B']"
62,good,"['A', 'I', 'F', 'G', 'E']"
63,good,"['A', 'F', 'G', 'I', 'D']"
64,good,"['A', 'F', 'G', 'H', 'I']"
65,good,"['A', 'F', 'G', 'I', 'C']"
66,good,"['A', 'G', 'E', 'I', 'F']"
67,good,"['A', 'G', 'D', 'E', 'F']"
68,unsolvable,"['n', 't', 'd', 'i', 'r']"
69,good,"['A', 'G', 'E', 'F', 'D']"
70,good,"['A', 'F', 'G', 'D', 'H']"
71,good,"['A', 'E', 'I', 'F', 'G']"
72,good,"['A', 'G', 'F', 'D', 'I']"
73,good,"['A', 'E', 'F', 'G', 'I']"
74,good,"['A', 'I', 'G', 'F', 'J']"
75,unsolvable,"['A', 'G', 'E', 'F', 'I']"
76,bad,"['T', 'h', 'e', 's', 'e']"
77,good,"['G', 'A', 'F', 'E', 'I']"
78,good,"['A', 'I', 'F', 'E', 'G']"
79,good,"['A', 'G', 'E', 'H', 'I']"
80,good,"['A', 'G', 'I', 'F', 'E']"
81,good,"['A', 'G', 'E', 'I', 'F']"
82,good,"['G', 'A', 'E', 'B', 'F']"
83,bad,"['T', 'h', 'e', 's', 'e']"
84,good,"['A', 'G', 'I', 'E', 'F']"
85,good,"['A', 'G', 'E', 'F', 'H']"
86,good,"['A', 'F', 'G', 'E', 'I']"
87,unsolvable,"['G', 'i', 'v', 'e', 'n']"
88,good,"['A', 'F', 'G', 'I', 'B']"
89,good,"['A', 'H', 'J', 'E', 'G']"
90,good,"['A', 'E', 'H', 'D', 'F']"
91,good,"['A', 'G', 'F', 'E', 'D']"
92,good,"['A', 'G', 'F', 'H', 'I']"
93,good,"['A', 'G', 'F', 'D', 'E']"
94,good,"['A', 'G', 'I', 'F', 'E']"
95,good,"['A', 'G', 'I', 'B', 'E']"
96,good,"['A', 'G', 'D', 'I', 'E']"
97,good,"['A', 'G', 'I', 'E', 'F']"
98,good,"['A', 'G', 'F', 'I', 'D']"
99,good,"['A', 'E', 'G', 'B', 'D']"
