index,good/bad/unsolvable,reply
0,good,"['G', 'I', 'J', 'K', 'M']"
1,good,"['C', 'H', 'I', 'K', 'L']"
2,good,"['C', 'F', 'G', 'J', 'L']"
3,good,"['H', 'I', 'J', 'K', 'L']"
4,good,"['C', 'D', 'F', 'H', 'I']"
5,good,"['A', 'C', 'H', 'I', 'J']"
6,good,"['A', 'C', 'F', 'G', 'I']"
7,good,"['D', 'F', 'C', 'G', 'I']"
8,good,"['C', 'F', 'H', 'I', 'K']"
9,good,"['C', 'F', 'G', 'H', 'I']"
10,good,"['C', 'H', 'I', 'J', 'M']"
11,good,"['C', 'H', 'I', 'K', 'L']"
12,good,"['C', 'F', 'G', 'H', 'L']"
13,good,"['D', 'F', 'G', 'M', 'A']"
14,good,"['A', 'C', 'F', 'H', 'I']"
15,good,"['F', 'G', 'H', 'J', 'L']"
16,good,"['A', 'C', 'F', 'G', 'H']"
17,good,"['C', 'F', 'G', 'H', 'I']"
18,good,"['A', 'C', 'D', 'F', 'G']"
19,good,"['A', 'C', 'F', 'G', 'H']"
20,good,"['C', 'F', 'H', 'I', 'K']"
21,good,"['C', 'I', 'J', 'K', 'L']"
22,good,"['A', 'C', 'F', 'G', 'J']"
23,good,"['C', 'D', 'E', 'F', 'G']"
24,good,"['A', 'C', 'F', 'G', 'M']"
25,good,"['A', 'C', 'F', 'G', 'M']"
26,good,"['A', 'C', 'D', 'F', 'G']"
27,good,"['A', 'C', 'D', 'F', 'H']"
28,good,"['C', 'G', 'H', 'I', 'J']"
29,good,"['C', 'G', 'L', 'M', 'F']"
30,good,"['A', 'C', 'E', 'G', 'H']"
31,good,"['C', 'F', 'G', 'I', 'K']"
32,good,"['A', 'C', 'F', 'G', 'H']"
33,good,"['A', 'C', 'H', 'K', 'M']"
34,good,"['A', 'C', 'F', 'G', 'H']"
35,good,"['A', 'H', 'D', 'J', 'K']"
36,good,"['A', 'C', 'D', 'F', 'H']"
37,good,"['C', 'D', 'F', 'G', 'J']"
38,good,"['C', 'F', 'G', 'H', 'J']"
39,good,"['A', 'C', 'F', 'G', 'H']"
40,good,"['C', 'F', 'G', 'H', 'J']"
41,good,"['C', 'H', 'I', 'J', 'L']"
42,good,"['H', 'I', 'K', 'L', 'M']"
43,good,"['A', 'C', 'F', 'G', 'I']"
44,good,"['H', 'I', 'K', 'L', 'M']"
45,good,"['C', 'F', 'G', 'I', 'K']"
46,good,"['A', 'C', 'H', 'I', 'K']"
47,good,"['A', 'C', 'F', 'H', 'I']"
48,good,"['A', 'C', 'F', 'G', 'M']"
49,good,"['A', 'C', 'F', 'G', 'D']"
50,good,"['C', 'F', 'H', 'I', 'J']"
51,good,"['A', 'C', 'F', 'J', 'L']"
52,good,"['A', 'H', 'I', 'K', 'M']"
53,good,"['A', 'G', 'J', 'L', 'M']"
54,good,"['A', 'F', 'H', 'I', 'K']"
55,good,"['A', 'C', 'D', 'F', 'I']"
56,good,"['A', 'D', 'F', 'G', 'K']"
57,good,"['D', 'E', 'G', 'A', 'B']"
58,good,"['A', 'C', 'I', 'K', 'L']"
59,good,"['A', 'C', 'F', 'G', 'H']"
60,good,"['A', 'C', 'H', 'I', 'K']"
61,good,"['A', 'C', 'H', 'I', 'K']"
62,good,"['C', 'F', 'G', 'H', 'I']"
63,good,"['C', 'F', 'G', 'J', 'L']"
64,good,"['C', 'A', 'F', 'I', 'M']"
65,good,"['C', 'F', 'H', 'I', 'J']"
66,good,"['A', 'B', 'C', 'D', 'E']"
67,good,"['A', 'C', 'F', 'G', 'H']"
68,good,"['C', 'F', 'G', 'H', 'J']"
69,good,"['A', 'C', 'F', 'G', 'H']"
70,good,"['C', 'F', 'H', 'J', 'K']"
71,good,"['C', 'F', 'G', 'I', 'K']"
72,good,"['A', 'B', 'C', 'D', 'F']"
73,good,"['C', 'F', 'G', 'I', 'M']"
74,good,"['A', 'C', 'I', 'K', 'L']"
75,good,"['C', 'D', 'F', 'G', 'H']"
76,good,"['C', 'G', 'H', 'J', 'L']"
77,good,"['A', 'C', 'F', 'G', 'H']"
78,good,"['A', 'C', 'G', 'I', 'K']"
79,good,"['A', 'C', 'H', 'I', 'K']"
80,good,"['C', 'H', 'K', 'L', 'M']"
81,good,"['C', 'F', 'G', 'J', 'L']"
82,good,"['A', 'C', 'F', 'G', 'H']"
83,good,"['C', 'F', 'G', 'H', 'I']"
84,good,"['C', 'D', 'G', 'L', 'F']"
85,good,"['A', 'C', 'D', 'F', 'H']"
86,unsolvable,"['A', 'D', 'F', 'G', 'L']"
87,good,"['A', 'C', 'F', 'G', 'H']"
88,good,"['A', 'C', 'D', 'G', 'H']"
89,good,"['A', 'C', 'F', 'G', 'M']"
90,good,"['A', 'C', 'F', 'G', 'H']"
91,good,"['C', 'D', 'F', 'G', 'L']"
92,good,"['C', 'G', 'H', 'J', 'L']"
93,good,"['G', 'I', 'J', 'K', 'L']"
94,good,"['A', 'C', 'F', 'H', 'K']"
95,good,"['G', 'C', 'M', 'L', 'A']"
96,good,"['A', 'C', 'D', 'F', 'G']"
97,good,"['C', 'F', 'G', 'H', 'L']"
98,good,"['A', 'C', 'F', 'I', 'K']"
99,good,"['G', 'H', 'I', 'J', 'K']"
