index,good/bad/unsolvable,reply
0,unsolvable,['0']
1,good,"['A', 'B', 'D', 'C']"
2,good,"['A', 'B', 'C', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'C', 'D', 'B']"
5,good,"['A', 'B', 'C', 'D']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'B', 'C', 'D']"
8,good,"['A', 'B', 'C', 'D']"
9,unsolvable,"['A', 'B', 'C', 'D']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'B', 'C', 'D']"
12,unsolvable,"['0', '1', '3', '7']"
13,good,"['A', 'D', 'B', 'C']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'B', 'C', 'D']"
16,good,"['A', 'D', 'B', 'C']"
17,good,"['A', 'B', 'C', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D']"
20,good,"['A', 'B', 'C', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'B', 'C', 'D']"
24,good,"['A', 'B', 'C', 'D']"
25,good,"['A', 'B', 'C', 'D']"
26,good,"['A', 'B', 'C', 'D']"
27,good,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,[]
30,good,"['A', 'B', 'C', 'D']"
31,good,"['A', 'B', 'C', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'B', 'C', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'B', 'C', 'D']"
36,good,"['A', 'D', 'B', 'C']"
37,good,"['A', 'D', 'C', 'B']"
38,good,"['A', 'B', 'C', 'D']"
39,good,"['A', 'B', 'C', 'D']"
40,good,"['A', 'B', 'C', 'D']"
41,good,"['A', 'B', 'C', 'D']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'B', 'C', 'D']"
45,good,"['A', 'B', 'C', 'D']"
46,unsolvable,"['A', 'B', 'C', 'D']"
47,unsolvable,['0']
48,good,"['A', 'C', 'B', 'D']"
49,good,"['A', 'B', 'C', 'D']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'D', 'B', 'C']"
52,unsolvable,['0']
53,good,"['A', 'B', 'D', 'C']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['A', 'B', 'C', 'D']"
56,good,"['A', 'B', 'C', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'B', 'C', 'D']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['A', 'D', 'B', 'C']"
62,unsolvable,"['0', '2', '1', '2']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['A', 'D', 'B', 'C']"
65,good,"['A', 'B', 'C', 'D']"
66,unsolvable,"['A', 'D', 'C', 'B']"
67,good,"['A', 'C', 'B', 'D']"
68,good,"['A', 'D', 'B', 'C']"
69,good,"['A', 'C', 'B', 'D']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['A', 'C', 'B', 'D']"
72,good,"['A', 'D', 'B', 'C']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'B', 'C', 'D']"
75,good,"['A', 'C', 'D', 'B']"
76,unsolvable,"['A', 'B', 'C', 'D']"
77,good,"['A', 'B', 'C', 'D']"
78,good,"['B', 'A', 'C', 'D']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'D', 'B', 'C']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['A', 'B', 'C', 'D']"
83,unsolvable,"['0', '1', '3', '3']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'D', 'B', 'C']"
86,good,"['A', 'D', 'B', 'C']"
87,good,"['A', 'B', 'C', 'D']"
88,good,"['A', 'B', 'C', 'D']"
89,good,"['A', 'C', 'D', 'B']"
90,good,"['A', 'B', 'C', 'D']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'B', 'C', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['A', 'B', 'C', 'D']"
99,good,"['A', 'D', 'B', 'C']"
