index,good/bad/unsolvable,reply
0,good,"['G', 'A', 'D', 'F', 'I']"
1,good,"['A', 'G', 'E', 'F', 'I']"
2,good,"['A', 'G', 'I', 'D', 'F']"
3,good,"['A', 'F', 'I', 'G', 'E']"
4,good,"['A', 'E', 'F', 'G', 'B']"
5,good,"['A', 'F', 'I', 'G', 'E']"
6,good,"['A', 'G', 'F', 'I', 'D']"
7,good,"['A', 'I', 'G', 'D', 'E']"
8,good,"['A', 'F', 'D', 'I', 'G']"
9,good,"['A', 'E', 'G', 'D', 'F']"
10,good,"['A', 'E', 'D', 'I', 'F']"
11,good,"['A', 'B', 'E', 'G', 'F']"
12,good,"['A', 'G', 'E', 'D', 'F']"
13,good,"['A', 'E', 'I', 'F', 'G']"
14,good,"['A', 'B', 'D', 'F', 'G']"
15,good,"['A', 'G', 'I', 'B', 'D']"
16,good,"['A', 'D', 'E', 'F', 'G']"
17,good,"['A', 'H', 'G', 'F', 'E']"
18,good,"['A', 'G', 'H', 'F', 'D']"
19,good,"['A', 'F', 'G', 'I', 'E']"
20,good,"['A', 'G', 'E', 'D', 'F']"
21,good,"['A', 'C', 'I', 'D', 'E']"
22,good,"['A', 'G', 'I', 'E', 'F']"
23,good,"['A', 'E', 'F', 'G', 'I']"
24,good,"['A', 'G', 'D', 'F', 'E']"
25,good,"['G', 'F', 'A', 'I', 'H']"
26,good,"['A', 'G', 'F', 'D', 'E']"
27,good,"['A', 'E', 'F', 'G', 'H']"
28,good,"['A', 'G', 'F', 'E', 'I']"
29,good,"['A', 'E', 'I', 'G', 'F']"
30,good,"['A', 'G', 'B', 'E', 'F']"
31,good,"['A', 'G', 'H', 'I', 'E']"
32,good,"['A', 'G', 'E', 'F', 'D']"
33,good,"['A', 'H', 'I', 'E', 'G']"
34,good,"['A', 'G', 'I', 'H', 'D']"
35,good,"['A', 'E', 'H', 'D', 'F']"
36,good,"['A', 'I', 'F', 'G', 'D']"
37,good,"['A', 'G', 'F', 'I', 'C']"
38,good,"['A', 'G', 'E', 'D', 'I']"
39,good,"['A', 'G', 'I', 'E', 'F']"
40,good,"['A', 'F', 'D', 'G', 'I']"
41,good,"['A', 'F', 'G', 'I', 'D']"
42,good,"['A', 'F', 'G', 'D', 'E']"
43,bad,"['r', 'e', 'q', 'u', 'i']"
44,good,"['A', 'E', 'G', 'D', 'I']"
45,good,"['A', 'E', 'F', 'G', 'D']"
46,good,"['A', 'G', 'B', 'D', 'F']"
47,good,"['A', 'E', 'F', 'D', 'I']"
48,good,"['A', 'F', 'B', 'G', 'H']"
49,good,"['A', 'F', 'G', 'I', 'B']"
50,good,"['A', 'I', 'H', 'F', 'G']"
51,good,"['A', 'I', 'G', 'E', 'F']"
52,good,"['A', 'F', 'G', 'I', 'H']"
53,good,"['A', 'B', 'F', 'G', 'I']"
54,good,"['A', 'F', 'G', 'H', 'D']"
55,good,"['A', 'H', 'G', 'F', 'B']"
56,good,"['A', 'E', 'G', 'D', 'H']"
57,good,"['A', 'G', 'D', 'E', 'I']"
58,good,"['A', 'G', 'E', 'F', 'B']"
59,good,"['A', 'F', 'G', 'D', 'I']"
60,good,"['A', 'F', 'G', 'D', 'E']"
61,good,"['A', 'G', 'F', 'E', 'C']"
62,good,"['A', 'I', 'C', 'G', 'F']"
63,good,"['A', 'B', 'C', 'D', 'E']"
64,good,"['A', 'G', 'I', 'D', 'E']"
65,good,"['A', 'B', 'C', 'D', 'H']"
66,good,"['A', 'G', 'E', 'I', 'F']"
67,good,"['A', 'G', 'E', 'F', 'D']"
68,good,"['A', 'C', 'E', 'G', 'D']"
69,good,"['A', 'E', 'G', 'F', 'B']"
70,good,"['A', 'D', 'E', 'G', 'I']"
71,good,"['A', 'E', 'F', 'I', 'G']"
72,good,"['A', 'D', 'F', 'G', 'I']"
73,good,"['A', 'E', 'F', 'G', 'I']"
74,good,"['A', 'F', 'G', 'E', 'D']"
75,unsolvable,"['A', 'F', 'G', 'I', 'B']"
76,good,"['A', 'C', 'I', 'G', 'D']"
77,good,"['A', 'G', 'E', 'F', 'B']"
78,good,"['A', 'H', 'I', 'F', 'E']"
79,good,"['A', 'E', 'J', 'G', 'H']"
80,good,"['A', 'G', 'E', 'D', 'F']"
81,good,"['A', 'B', 'F', 'I', 'E']"
82,good,"['A', 'G', 'F', 'E', 'D']"
83,good,"['A', 'F', 'G', 'H', 'E']"
84,good,"['A', 'G', 'I', 'E', 'F']"
85,good,"['A', 'E', 'G', 'D', 'J']"
86,bad,"['a', 'p', 'l', 'a', 'c']"
87,unsolvable,"['A', 'E', 'F', 'G', 'I']"
88,good,"['A', 'F', 'G', 'H', 'I']"
89,good,"['A', 'G', 'E', 'D', 'F']"
90,good,"['A', 'D', 'E', 'F', 'I']"
91,good,"['A', 'G', 'D', 'F', 'E']"
92,good,"['A', 'F', 'G', 'E', 'D']"
93,good,"['A', 'F', 'G', 'D', 'E']"
94,good,"['A', 'F', 'G', 'C', 'E']"
95,good,"['A', 'F', 'G', 'H', 'B']"
96,good,"['A', 'D', 'G', 'F', 'J']"
97,good,"['A', 'C', 'F', 'G', 'E']"
98,bad,"['T', 'h', 'e', 'r', 'e']"
99,good,"['A', 'B', 'E', 'F', 'G']"
