index,good/bad/unsolvable,reply
0,unsolvable,"['D', 'A', 'B', 'C']"
1,good,"['A', 'C', 'D', 'B']"
2,good,"['A', 'B', 'C', 'D']"
3,good,"['A', 'C', 'B', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'C', 'B', 'D']"
8,good,"['A', 'D', 'C', 'B']"
9,unsolvable,"['D', 'A', 'B', 'C']"
10,unsolvable,"['C', 'B', 'A', 'D']"
11,good,"['A', 'C', 'D', 'B']"
12,unsolvable,"['D', 'B', 'A', 'C']"
13,good,"['A', 'B', 'D', 'C']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'D', 'B', 'C']"
16,good,"['A', 'D', 'B', 'C']"
17,good,"['B', 'A', 'D', 'C']"
18,unsolvable,"['s', 'p', 'e', 'c']"
19,good,"['A', 'D', 'B', 'C']"
20,good,"['C', 'A', 'B', 'D']"
21,good,"['A', 'C', 'D', 'B']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'D', 'B', 'C']"
24,good,"['A', 'B', 'C', 'D']"
25,good,"['A', 'C', 'B', 'D']"
26,good,"['A', 'B', 'D', 'C']"
27,good,"['A', 'D', 'B', 'C']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'B', 'C', 'D']"
30,good,"['A', 'B', 'C', 'D']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'C', 'B', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'D', 'B']"
36,good,"['A', 'B', 'C', 'D']"
37,good,"['A', 'C', 'B', 'D']"
38,good,"['A', 'C', 'B', 'D']"
39,good,"['C', 'A', 'B', 'D']"
40,good,"['A', 'C', 'D', 'B']"
41,good,"['A', 'C', 'B', 'D']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'D', 'C']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'B', 'C', 'D']"
46,unsolvable,"['A', 'B', 'C', 'D']"
47,unsolvable,"['D', 'C', 'B', 'A']"
48,good,"['A', 'B', 'D', 'C']"
49,good,"['B', 'A', 'D', 'C']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'C', 'B', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'D', 'B', 'C']"
54,good,"['A', 'C', 'B', 'D']"
55,good,"['D', 'B', 'C', 'A']"
56,good,"['B', 'A', 'C', 'D']"
57,good,"['C', 'A', 'B', 'D']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'D', 'B']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['C', 'D', 'A', 'B']"
63,good,"['A', 'C', 'B', 'D']"
64,good,"['A', 'D', 'B', 'C']"
65,good,"['A', 'C', 'B', 'D']"
66,unsolvable,"['A', 'C', 'D', 'B']"
67,good,"['A', 'C', 'B', 'D']"
68,good,"['A', 'D', 'C', 'B']"
69,good,"['A', 'C', 'D', 'B']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['A', 'C', 'D', 'B']"
72,good,"['A', 'D', 'C', 'B']"
73,good,"['A', 'C', 'B', 'D']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'C', 'D', 'B']"
76,unsolvable,"['A', 'D', 'B', 'C']"
77,good,"['A', 'B', 'D', 'C']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['C', 'A', 'B', 'D']"
80,good,"['A', 'C', 'D', 'B']"
81,good,"['A', 'B', 'D', 'C']"
82,good,"['A', 'C', 'B', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['A', 'C', 'B', 'D']"
87,good,"['A', 'D', 'B', 'C']"
88,good,"['A', 'B', 'C', 'D']"
89,good,"['A', 'C', 'D', 'B']"
90,good,"['A', 'B', 'C', 'D']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['A', 'B', 'D', 'C']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'C', 'B', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['C', 'A', 'B', 'D']"
99,good,"['A', 'B', 'C', 'D']"
