index,good/bad/unsolvable,reply
0,good,"['D', 'E', 'F', 'G', 'M']"
1,good,"['D', 'C', 'F', 'A', 'G']"
2,good,"['D', 'G', 'I', 'A', 'E']"
3,good,"['D', 'A', 'G', 'B', 'F']"
4,good,"['D', 'C', 'B', 'G', 'F']"
5,good,"['D', 'A', 'M', 'E', 'I']"
6,good,"['D', 'A', 'F', 'G', 'M']"
7,good,"['D', 'H', 'C', 'M', 'E']"
8,good,"['D', 'A', 'I', 'E', 'G']"
9,good,"['D', 'G', 'H', 'E', 'I']"
10,good,"['D', 'F', 'M', 'E', 'G']"
11,bad,['D']
12,good,"['D', 'A', 'E', 'F', 'G']"
13,good,"['D', 'G', 'M', 'E', 'F']"
14,good,"['D', 'E', 'G', 'H', 'F']"
15,good,"['D', 'E', 'G', 'H', 'A']"
16,good,"['D', 'M', 'G', 'E', 'F']"
17,good,"['D', 'A', 'B', 'C', 'M']"
18,good,"['D', 'F', 'A', 'C', 'E']"
19,good,"['D', 'A', 'F', 'M', 'E']"
20,good,"['D', 'I', 'A', 'F', 'M']"
21,good,"['D', 'H', 'M', 'A', 'F']"
22,good,"['D', 'I', 'A', 'F', 'G']"
23,good,"['D', 'E', 'M', 'F', 'G']"
24,good,"['D', 'G', 'F', 'E', 'M']"
25,good,"['D', 'A', 'G', 'I', 'H']"
26,good,"['D', 'C', 'G', 'H', 'F']"
27,good,"['D', 'A', 'F', 'M', 'B']"
28,good,"['D', 'A', 'E', 'G', 'B']"
29,good,"['D', 'F', 'E', 'G', 'M']"
30,good,"['D', 'A', 'E', 'F', 'G']"
31,good,"['D', 'F', 'E', 'G', 'C']"
32,good,"['D', 'C', 'A', 'B', 'G']"
33,good,"['D', 'A', 'B', 'E', 'F']"
34,good,"['D', 'A', 'G', 'M', 'E']"
35,good,"['D', 'E', 'A', 'M', 'F']"
36,good,"['D', 'A', 'C', 'E', 'F']"
37,good,"['D', 'A', 'G', 'E', 'F']"
38,good,"['D', 'G', 'E', 'F', 'M']"
39,good,"['D', 'I', 'F', 'G', 'E']"
40,good,"['D', 'C', 'F', 'G', 'I']"
41,good,"['D', 'A', 'F', 'H', 'I']"
42,good,"['D', 'I', 'E', 'F', 'G']"
43,good,"['D', 'B', 'G', 'H', 'A']"
44,good,"['D', 'F', 'J', 'E', 'G']"
45,good,"['D', 'E', 'A', 'B', 'G']"
46,good,"['D', 'A', 'F', 'G', 'B']"
47,good,"['D', 'E', 'F', 'I', 'M']"
48,good,"['D', 'E', 'G', 'H', 'F']"
49,good,"['D', 'I', 'E', 'F', 'G']"
50,good,"['D', 'C', 'M', 'A', 'F']"
51,good,"['D', 'F', 'I', 'A', 'B']"
52,bad,"['P', 'l', 'e', 'a', 's']"
53,good,"['D', 'F', 'M', 'G', 'E']"
54,good,"['D', 'K', 'A', 'F', 'E']"
55,good,"['D', 'A', 'F', 'G', 'H']"
56,good,"['D', 'H', 'A', 'M', 'F']"
57,good,"['D', 'G', 'E', 'F', 'M']"
58,good,"['D', 'A', 'E', 'G', 'F']"
59,good,"['D', 'F', 'A', 'E', 'H']"
60,good,"['D', 'A', 'G', 'M', 'E']"
61,good,"['D', 'A', 'F', 'E', 'M']"
62,good,"['D', 'L', 'I', 'E', 'M']"
63,good,"['D', 'E', 'F', 'A', 'G']"
64,good,"['D', 'A', 'F', 'M', 'B']"
65,good,"['D', 'F', 'I', 'E', 'J']"
66,good,"['D', 'G', 'E', 'A', 'F']"
67,good,"['D', 'E', 'F', 'G', 'A']"
68,good,"['D', 'G', 'A', 'F', 'E']"
69,good,"['D', 'E', 'F', 'G', 'A']"
70,good,"['D', 'E', 'G', 'H', 'A']"
71,good,"['D', 'C', 'M', 'F', 'G']"
72,good,"['D', 'A', 'E', 'F', 'M']"
73,good,"['D', 'E', 'M', 'C', 'F']"
74,good,"['D', 'A', 'I', 'B', 'E']"
75,good,"['D', 'F', 'E', 'I', 'G']"
76,good,"['D', 'B', 'E', 'G', 'A']"
77,good,"['D', 'B', 'E', 'G', 'J']"
78,good,"['D', 'B', 'G', 'M', 'F']"
79,good,"['D', 'F', 'A', 'E', 'G']"
80,good,"['D', 'F', 'G', 'K', 'E']"
81,good,"['D', 'A', 'E', 'G', 'H']"
82,good,"['D', 'H', 'E', 'F', 'G']"
83,good,"['D', 'F', 'G', 'H', 'M']"
84,good,"['D', 'A', 'C', 'E', 'G']"
85,good,"['D', 'G', 'J', 'F', 'H']"
86,unsolvable,"['C', 'G', 'M', 'D', 'I']"
87,good,"['D', 'A', 'E', 'F', 'H']"
88,good,"['D', 'A', 'H', 'G', 'E']"
89,good,"['D', 'B', 'M', 'E', 'G']"
90,good,"['D', 'B', 'E', 'G', 'M']"
91,good,"['D', 'C', 'M', 'A', 'E']"
92,good,"['D', 'F', 'G', 'A', 'E']"
93,good,"['D', 'C', 'F', 'J', 'A']"
94,good,"['D', 'I', 'F', 'E', 'G']"
95,good,"['D', 'H', 'G', 'E', 'F']"
96,good,"['D', 'A', 'E', 'F', 'G']"
97,good,"['D', 'C', 'F', 'K', 'E']"
98,good,"['D', 'F', 'E', 'C', 'J']"
99,good,"['D', 'G', 'A', 'F', 'E']"
