index,good/bad/unsolvable,reply
0,bad,"['F', 'i', 'n', 'a']"
1,good,"['M', 'O', 'Q', 'R']"
2,good,"['O', 'M', 'J', 'N']"
3,good,"['V', 'U', 'O', 'R']"
4,good,"['D', 'J', 'H', 'F']"
5,good,"['R', 'N', 'H', 'D']"
6,good,"['O', 'G', 'R', 'C']"
7,good,"['P', 'R', 'S', 'T']"
8,good,"['A', 'B', 'C', 'D']"
9,unsolvable,"['T', 'h', 'i', 's']"
10,bad,"['F', 'o', 'r', 'a']"
11,good,"['A', 'B', 'C', 'D']"
12,bad,[]
13,good,"['C', 'H', 'A', 'B']"
14,good,"['V', 'O', 'R', 'P']"
15,good,"['O', 'A', 'B', 'C']"
16,good,"['A', 'D', 'F', 'I']"
17,good,"['A', 'B', 'C', 'D']"
18,good,"['I', 'Q', 'S', 'H']"
19,good,"['V', 'O', 'T', 'C']"
20,good,"['A', 'B', 'C', 'D']"
21,good,"['O', 'P', 'E', 'L']"
22,unsolvable,"['G', 'i', 'v', 'e']"
23,good,"['V', 'P', 'R', 'T']"
24,good,"['I', 'O', 'V', 'A']"
25,good,"['E', 'F', 'H', 'I']"
26,good,"['V', 'R', 'D', 'M']"
27,good,"['N', 'Q', 'R', 'S']"
28,good,"['T', 'F', 'H', 'L']"
29,good,"['U', 'V', 'E', 'H']"
30,bad,"['F', 'i', 'n', 'a']"
31,good,"['O', 'B', 'H', 'I']"
32,good,"['H', 'O', 'V', 'I']"
33,good,"['O', 'H', 'L', 'A']"
34,good,"['L', 'V', 'T', 'A']"
35,bad,"['G', 'i', 'v', 'e']"
36,good,"['V', 'A', 'B', 'C']"
37,good,"['N', 'V', 'A', 'B']"
38,unsolvable,"['A', 'B', 'C', 'D']"
39,bad,"['T', 'h', 'e', 's']"
40,good,"['O', 'H', 'W', 'D']"
41,good,"['S', 'V', 'A', 'B']"
42,good,"['O', 'R', 'F', 'A']"
43,good,"['V', 'O', 'U', 'P']"
44,good,"['F', 'D', 'G', 'T']"
45,bad,"['T', 'h', 'e', 'r']"
46,bad,"['h', 'i', 'g', 'h']"
47,good,"['T', 'V', 'M', 'N']"
48,good,"['O', 'A', 'B', 'C']"
49,good,"['O', 'R', 'K', 'J']"
50,good,"['H', 'A', 'Q', 'D']"
51,good,"['O', 'Q', 'V', 'A']"
52,good,"['F', 'D', 'E', 'A']"
53,good,"['O', 'A', 'C', 'D']"
54,unsolvable,"['A', 'B', 'C', 'D']"
55,good,"['O', 'N', 'I', 'M']"
56,good,"['D', 'M', 'P', 'R']"
57,bad,"['h', 'i', 'g', 'h']"
58,bad,"['F', 'i', 'n', 'a']"
59,good,"['Q', 'S', 'O', 'P']"
60,good,"['O', 'C', 'L', 'P']"
61,good,"['R', 'A', 'B', 'C']"
62,good,"['A', 'B', 'C', 'D']"
63,bad,"['G', 'i', 'v', 'e']"
64,unsolvable,"['p', 'u', 'r', 'e']"
65,good,"['A', 'B', 'C', 'D']"
66,good,"['P', 'R', 'T', 'V']"
67,good,"['O', 'E', 'G', 'S']"
68,good,"['O', 'V', 'U', 'S']"
69,bad,"['T', 'h', 'e', 's']"
70,bad,"['m', 'o', 'r', 'e']"
71,good,"['R', 'O', 'G', 'I']"
72,good,"['A', 'B', 'H', 'L']"
73,good,"['S', 'O', 'M', 'R']"
74,good,"['O', 'A', 'B', 'C']"
75,good,"['A', 'B', 'C', 'D']"
76,good,"['E', 'R', 'V', 'S']"
77,good,"['D', 'V', 'Q', 'R']"
78,good,"['F', 'P', 'V', 'N']"
79,good,"['O', 'P', 'A', 'D']"
80,unsolvable,"['W', 'i', 't', 'h']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['O', 'R', 'D', 'I']"
83,good,"['O', 'U', 'A', 'B']"
84,good,"['A', 'B', 'C', 'D']"
85,good,"['V', 'A', 'B', 'D']"
86,good,"['C', 'D', 'A', 'E']"
87,good,"['P', 'W', 'T', 'O']"
88,good,"['S', 'P', 'R', 'T']"
89,good,"['A', 'B', 'C', 'D']"
90,bad,"['h', 'i', 'g', 'h']"
91,good,"['V', 'T', 'S', 'R']"
92,bad,"['#', '#', '#', 'A']"
93,good,"['W', 'V', 'R', 'S']"
94,good,"['O', 'F', 'P', 'R']"
95,good,"['T', 'P', 'S', 'V']"
96,good,"['A', 'B', 'C', 'D']"
97,unsolvable,"['W', 'i', 't', 'h']"
98,bad,"['T', 'h', 'e', 's']"
99,bad,"['b', 'a', 's', 'e']"
