prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
702.0,139.0,0.02106,0.00834,0.0294
702.0,152.0,0.02106,0.00912,0.03018
702.0,136.0,0.02106,0.00816,0.02922
702.0,197.0,0.02106,0.01182,0.03288
702.0,340.0,0.02106,0.020399999999999998,0.04146
702.0,200.0,0.02106,0.012,0.03306
702.0,222.0,0.02106,0.01332,0.03438
702.0,242.0,0.02106,0.01452,0.03558
702.0,175.0,0.02106,0.0105,0.03156
702.0,140.0,0.02106,0.008400000000000001,0.02946
702.0,130.0,0.02106,0.0078,0.028859999999999997
702.0,272.0,0.02106,0.01632,0.03738
702.0,143.0,0.02106,0.00858,0.02964
702.0,252.0,0.02106,0.01512,0.03618
702.0,304.0,0.02106,0.01824,0.0393
702.0,117.0,0.02106,0.007019999999999999,0.028079999999999997
702.0,260.0,0.02106,0.0156,0.03666
702.0,171.0,0.02106,0.01026,0.03132
702.0,218.0,0.02106,0.01308,0.03414
702.0,133.0,0.02106,0.00798,0.029039999999999996
702.0,165.0,0.02106,0.0099,0.03096
702.0,270.0,0.02106,0.0162,0.03726
702.0,234.0,0.02106,0.014039999999999999,0.0351
702.0,577.0,0.02106,0.03462,0.05567999999999999
702.0,146.0,0.02106,0.00876,0.02982
702.0,117.0,0.02106,0.007019999999999999,0.028079999999999997
702.0,121.0,0.02106,0.00726,0.028319999999999998
702.0,345.0,0.02106,0.0207,0.04176
702.0,223.0,0.02106,0.01338,0.03444
702.0,206.0,0.02106,0.01236,0.03342
702.0,223.0,0.02106,0.01338,0.03444
702.0,153.0,0.02106,0.009179999999999999,0.030239999999999996
702.0,224.0,0.02106,0.013439999999999999,0.034499999999999996
702.0,243.0,0.02106,0.01458,0.03564
702.0,246.0,0.02106,0.01476,0.03582
702.0,150.0,0.02106,0.009,0.030059999999999996
702.0,117.0,0.02106,0.007019999999999999,0.028079999999999997
702.0,175.0,0.02106,0.0105,0.03156
702.0,223.0,0.02106,0.01338,0.03444
702.0,237.0,0.02106,0.014219999999999998,0.03528
702.0,274.0,0.02106,0.016439999999999996,0.03749999999999999
702.0,275.0,0.02106,0.0165,0.037559999999999996
702.0,266.0,0.02106,0.01596,0.03702
702.0,117.0,0.02106,0.007019999999999999,0.028079999999999997
702.0,246.0,0.02106,0.01476,0.03582
702.0,183.0,0.02106,0.01098,0.03204
702.0,111.0,0.02106,0.00666,0.027719999999999998
702.0,557.0,0.02106,0.03342,0.05448
702.0,215.0,0.02106,0.0129,0.03396
702.0,246.0,0.02106,0.01476,0.03582
702.0,234.0,0.02106,0.014039999999999999,0.0351
702.0,244.0,0.02106,0.014639999999999999,0.035699999999999996
702.0,201.0,0.02106,0.01206,0.03312
702.0,178.0,0.02106,0.01068,0.03174
702.0,193.0,0.02106,0.01158,0.03264
702.0,179.0,0.02106,0.01074,0.031799999999999995
702.0,122.0,0.02106,0.007319999999999999,0.02838
702.0,184.0,0.02106,0.01104,0.0321
702.0,265.0,0.02106,0.015899999999999997,0.03695999999999999
702.0,290.0,0.02106,0.0174,0.038459999999999994
702.0,243.0,0.02106,0.01458,0.03564
702.0,330.0,0.02106,0.0198,0.04086
702.0,202.0,0.02106,0.012119999999999999,0.03318
702.0,226.0,0.02106,0.01356,0.03462
702.0,200.0,0.02106,0.012,0.03306
702.0,244.0,0.02106,0.014639999999999999,0.035699999999999996
702.0,164.0,0.02106,0.00984,0.030899999999999997
702.0,178.0,0.02106,0.01068,0.03174
702.0,207.0,0.02106,0.01242,0.033479999999999996
702.0,178.0,0.02106,0.01068,0.03174
702.0,162.0,0.02106,0.00972,0.03078
702.0,312.0,0.02106,0.01872,0.039779999999999996
702.0,148.0,0.02106,0.008879999999999999,0.029939999999999998
702.0,227.0,0.02106,0.013619999999999998,0.034679999999999996
702.0,721.0,0.02106,0.04326,0.06432
702.0,271.0,0.02106,0.016259999999999997,0.03731999999999999
702.0,172.0,0.02106,0.010320000000000001,0.03138
702.0,121.0,0.02106,0.00726,0.028319999999999998
702.0,219.0,0.02106,0.013139999999999999,0.034199999999999994
702.0,141.0,0.02106,0.008459999999999999,0.029519999999999998
702.0,212.0,0.02106,0.012719999999999999,0.03378
702.0,256.0,0.02106,0.015359999999999999,0.036419999999999994
702.0,197.0,0.02106,0.01182,0.03288
702.0,273.0,0.02106,0.01638,0.03744
702.0,267.0,0.02106,0.01602,0.03708
702.0,317.0,0.02106,0.01902,0.04008
702.0,233.0,0.02106,0.01398,0.03504
702.0,248.0,0.02106,0.014879999999999999,0.03594
702.0,718.0,0.02106,0.04308,0.06414
702.0,285.0,0.02106,0.017099999999999997,0.03816
702.0,246.0,0.02106,0.01476,0.03582
702.0,156.0,0.02106,0.00936,0.03042
702.0,236.0,0.02106,0.01416,0.03522
702.0,193.0,0.02106,0.01158,0.03264
702.0,233.0,0.02106,0.01398,0.03504
702.0,245.0,0.02106,0.0147,0.03576
702.0,175.0,0.02106,0.0105,0.03156
702.0,279.0,0.02106,0.016739999999999998,0.0378
702.0,155.0,0.02106,0.0093,0.030359999999999998
702.0,219.0,0.02106,0.013139999999999999,0.034199999999999994
