index,good/bad/unsolvable,reply
0,good,"['A', 'G', 'I', 'C', 'E']"
1,good,"['A', 'G', 'I', 'C', 'E']"
2,good,"['A', 'G', 'I', 'C', 'E']"
3,good,"['A', 'G', 'I', 'C', 'E']"
4,good,"['A', 'G', 'I', 'C', 'E']"
5,good,"['A', 'G', 'I', 'C', 'E']"
6,good,"['A', 'G', 'I', 'C', 'E']"
7,good,"['A', 'G', 'I', 'C', 'E']"
8,good,"['A', 'G', 'I', 'C', 'E']"
9,good,"['A', 'G', 'I', 'C', 'E']"
10,good,"['A', 'G', 'I', 'C', 'E']"
11,good,"['A', 'G', 'I', 'C', 'E']"
12,good,"['A', 'G', 'I', 'C', 'E']"
13,good,"['A', 'G', 'I', 'C', 'E']"
14,good,"['A', 'G', 'I', 'C', 'E']"
15,good,"['A', 'G', 'I', 'C', 'E']"
16,good,"['A', 'G', 'I', 'C', 'E']"
17,good,"['A', 'G', 'I', 'C', 'E']"
18,good,"['A', 'G', 'I', 'C', 'E']"
19,good,"['A', 'G', 'I', 'C', 'E']"
20,good,"['A', 'G', 'I', 'C', 'E']"
21,good,"['A', 'G', 'I', 'C', 'E']"
22,good,"['A', 'G', 'I', 'C', 'E']"
23,good,"['A', 'G', 'I', 'C', 'E']"
24,good,"['A', 'G', 'I', 'C', 'E']"
25,good,"['A', 'G', 'I', 'C', 'E']"
26,good,"['A', 'G', 'I', 'C', 'E']"
27,good,"['A', 'G', 'I', 'C', 'E']"
28,good,"['A', 'G', 'I', 'C', 'E']"
29,good,"['A', 'G', 'I', 'C', 'E']"
30,good,"['A', 'G', 'I', 'C', 'E']"
31,good,"['A', 'G', 'I', 'C', 'E']"
32,good,"['A', 'G', 'I', 'C', 'E']"
33,good,"['A', 'G', 'I', 'C', 'E']"
34,good,"['A', 'G', 'I', 'C', 'E']"
35,good,"['A', 'G', 'I', 'C', 'E']"
36,good,"['A', 'G', 'I', 'C', 'E']"
37,good,"['A', 'G', 'I', 'C', 'E']"
38,good,"['A', 'G', 'I', 'C', 'E']"
39,good,"['A', 'G', 'I', 'C', 'E']"
40,good,"['A', 'G', 'I', 'C', 'E']"
41,good,"['A', 'G', 'I', 'C', 'E']"
42,good,"['A', 'G', 'I', 'C', 'E']"
43,good,"['A', 'G', 'I', 'C', 'E']"
44,good,"['A', 'G', 'I', 'C', 'E']"
45,good,"['A', 'G', 'I', 'C', 'E']"
46,good,"['A', 'G', 'I', 'C', 'E']"
47,good,"['A', 'G', 'I', 'C', 'E']"
48,good,"['A', 'G', 'I', 'C', 'E']"
49,good,"['A', 'G', 'I', 'C', 'E']"
50,good,"['A', 'G', 'I', 'C', 'E']"
51,good,"['A', 'G', 'I', 'C', 'E']"
52,good,"['A', 'G', 'I', 'C', 'E']"
53,good,"['A', 'G', 'I', 'C', 'E']"
54,good,"['A', 'G', 'I', 'C', 'E']"
55,good,"['A', 'G', 'I', 'C', 'E']"
56,good,"['A', 'G', 'I', 'C', 'E']"
57,good,"['A', 'G', 'I', 'C', 'E']"
58,good,"['A', 'G', 'I', 'C', 'E']"
59,good,"['A', 'G', 'I', 'C', 'E']"
60,good,"['A', 'G', 'I', 'C', 'E']"
61,good,"['A', 'G', 'I', 'C', 'E']"
62,good,"['A', 'G', 'I', 'C', 'E']"
63,good,"['A', 'G', 'I', 'C', 'E']"
64,good,"['A', 'G', 'I', 'C', 'E']"
65,good,"['A', 'G', 'I', 'C', 'E']"
66,good,"['A', 'G', 'I', 'C', 'E']"
67,good,"['A', 'G', 'I', 'C', 'E']"
68,good,"['A', 'G', 'I', 'C', 'E']"
69,good,"['A', 'G', 'I', 'C', 'E']"
70,good,"['A', 'G', 'I', 'C', 'E']"
71,good,"['A', 'G', 'I', 'C', 'E']"
72,good,"['A', 'G', 'I', 'C', 'E']"
73,good,"['A', 'G', 'I', 'C', 'E']"
74,good,"['A', 'G', 'I', 'C', 'E']"
75,good,"['A', 'G', 'I', 'C', 'E']"
76,good,"['A', 'G', 'I', 'C', 'E']"
77,good,"['A', 'G', 'I', 'C', 'E']"
78,good,"['A', 'G', 'I', 'C', 'E']"
79,good,"['A', 'G', 'I', 'C', 'E']"
80,good,"['A', 'G', 'I', 'C', 'E']"
81,good,"['A', 'G', 'I', 'C', 'E']"
82,good,"['A', 'G', 'I', 'C', 'E']"
83,good,"['A', 'G', 'I', 'C', 'E']"
84,good,"['A', 'G', 'I', 'C', 'E']"
85,good,"['A', 'G', 'I', 'C', 'E']"
86,good,"['A', 'G', 'I', 'C', 'E']"
87,good,"['A', 'G', 'I', 'C', 'E']"
88,good,"['A', 'G', 'I', 'C', 'E']"
89,good,"['A', 'G', 'I', 'C', 'E']"
90,good,"['A', 'G', 'I', 'C', 'E']"
91,good,"['A', 'G', 'I', 'C', 'E']"
92,good,"['A', 'G', 'I', 'C', 'E']"
93,good,"['A', 'G', 'I', 'C', 'E']"
94,good,"['A', 'G', 'I', 'C', 'E']"
95,good,"['A', 'G', 'I', 'C', 'E']"
96,good,"['A', 'G', 'I', 'C', 'E']"
97,good,"['A', 'G', 'I', 'C', 'E']"
98,good,"['A', 'G', 'I', 'C', 'E']"
99,good,"['A', 'G', 'I', 'C', 'E']"
