index,good/bad/unsolvable,reply
0,good,"['A', 'D', 'B', 'C']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['A', 'D', 'C', 'B']"
3,good,"['A', 'D', 'C', 'B']"
4,good,"['A', 'D', 'B', 'C']"
5,good,"['A', 'C', 'B', 'D']"
6,good,"['A', 'D', 'B', 'C']"
7,good,"['A', 'C', 'B', 'D']"
8,good,"['A', 'D', 'C', 'B']"
9,good,"['A', 'D', 'B', 'C']"
10,good,"['B', 'C', 'A', 'D']"
11,good,"['A', 'B', 'C', 'D']"
12,good,"['A', 'D', 'C', 'B']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'D', 'B', 'C']"
15,good,"['A', 'B', 'C', 'D']"
16,good,"['A', 'D', 'B', 'C']"
17,good,"['A', 'D', 'C', 'B']"
18,good,"['B', 'C', 'A', 'D']"
19,good,"['A', 'C', 'B', 'D']"
20,good,"['A', 'B', 'C', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'D', 'B', 'C']"
23,good,"['B', 'C', 'D', 'A']"
24,good,"['B', 'C', 'D', 'A']"
25,good,"['A', 'D', 'C', 'B']"
26,good,"['A', 'D', 'B', 'C']"
27,good,"['D', 'B', 'C', 'A']"
28,good,"['A', 'B', 'C', 'D']"
29,good,"['A', 'D', 'C', 'B']"
30,good,"['A', 'D', 'C', 'B']"
31,good,"['A', 'D', 'B', 'C']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'D', 'B']"
34,good,"['A', 'C', 'B', 'D']"
35,good,"['A', 'D', 'C', 'B']"
36,good,"['A', 'D', 'C', 'B']"
37,good,"['A', 'C', 'B', 'D']"
38,good,"['A', 'D', 'C', 'B']"
39,good,"['A', 'D', 'C', 'B']"
40,good,"['A', 'D', 'B', 'C']"
41,good,"['A', 'D', 'B', 'C']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['B', 'C', 'A', 'D']"
44,good,"['A', 'B', 'C', 'D']"
45,good,"['A', 'B', 'C', 'D']"
46,good,"['A', 'D', 'B', 'C']"
47,good,"['A', 'D', 'B', 'C']"
48,good,"['A', 'D', 'B', 'C']"
49,good,"['A', 'D', 'B', 'C']"
50,good,"['A', 'D', 'C', 'B']"
51,good,"['A', 'D', 'B', 'C']"
52,good,"['A', 'D', 'B', 'C']"
53,good,"['A', 'D', 'B', 'C']"
54,good,"['A', 'D', 'C', 'B']"
55,good,"['B', 'C', 'A', 'D']"
56,good,"['A', 'D', 'C', 'B']"
57,good,"['A', 'D', 'B', 'C']"
58,good,"['A', 'D', 'C', 'B']"
59,good,"['A', 'B', 'C', 'D']"
60,good,"['B', 'C', 'D', 'A']"
61,good,"['A', 'B', 'D', 'C']"
62,good,"['A', 'D', 'C', 'B']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['A', 'D', 'C', 'B']"
65,good,"['A', 'D', 'C', 'B']"
66,good,"['A', 'D', 'B', 'C']"
67,good,"['B', 'C', 'D', 'A']"
68,good,"['D', 'B', 'C', 'A']"
69,good,"['A', 'D', 'B', 'C']"
70,good,"['A', 'D', 'B', 'C']"
71,good,"['A', 'D', 'B', 'C']"
72,good,"['A', 'D', 'B', 'C']"
73,good,"['A', 'D', 'B', 'C']"
74,good,"['A', 'D', 'C', 'B']"
75,good,"['A', 'B', 'C', 'D']"
76,good,"['A', 'B', 'C', 'D']"
77,good,"['A', 'C', 'B', 'D']"
78,good,"['A', 'D', 'B', 'C']"
79,good,"['A', 'B', 'C', 'D']"
80,good,"['B', 'C', 'A', 'D']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['B', 'C', 'A', 'D']"
83,good,"['A', 'D', 'B', 'C']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['A', 'D', 'B', 'C']"
87,good,"['A', 'C', 'B', 'D']"
88,good,"['A', 'D', 'B', 'C']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['A', 'D', 'B', 'C']"
91,good,"['A', 'D', 'B', 'C']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['A', 'D', 'B', 'C']"
94,good,"['A', 'D', 'B', 'C']"
95,good,"['A', 'D', 'C', 'B']"
96,good,"['A', 'B', 'C', 'D']"
97,good,"['A', 'D', 'C', 'B']"
98,good,"['A', 'D', 'C', 'B']"
99,good,"['A', 'D', 'C', 'B']"
