index,good/bad/unsolvable,reply
0,good,"['G', 'A', 'D', 'E', 'B']"
1,good,"['A', 'H', 'E', 'G', 'I']"
2,good,"['G', 'A', 'I', 'F', 'J']"
3,good,"['A', 'G', 'C', 'I', 'F']"
4,good,"['A', 'B', 'C', 'E', 'F']"
5,good,"['A', 'I', 'F', 'J', 'H']"
6,good,"['I', 'F', 'G', 'A', 'D']"
7,good,"['A', 'E', 'H', 'F', 'I']"
8,good,"['A', 'E', 'I', 'B', 'F']"
9,good,"['A', 'E', 'G', 'D', 'I']"
10,good,"['A', 'E', 'C', 'I', 'B']"
11,good,"['A', 'E', 'G', 'B', 'I']"
12,good,"['A', 'D', 'E', 'G', 'C']"
13,good,"['I', 'A', 'E', 'D', 'G']"
14,good,"['A', 'H', 'E', 'G', 'I']"
15,good,"['A', 'G', 'I', 'F', 'D']"
16,good,"['A', 'F', 'G', 'D', 'I']"
17,good,"['A', 'H', 'C', 'I', 'G']"
18,good,"['A', 'I', 'G', 'F', 'D']"
19,good,"['A', 'G', 'E', 'H', 'F']"
20,good,"['A', 'G', 'E', 'D', 'J']"
21,good,"['A', 'C', 'I', 'F', 'B']"
22,good,"['A', 'D', 'G', 'E', 'H']"
23,good,"['A', 'E', 'G', 'I', 'D']"
24,good,"['A', 'G', 'I', 'E', 'J']"
25,good,"['A', 'F', 'G', 'D', 'I']"
26,good,"['A', 'G', 'D', 'E', 'H']"
27,good,"['A', 'F', 'E', 'G', 'I']"
28,good,"['G', 'A', 'E', 'I', 'C']"
29,good,"['I', 'A', 'D', 'H', 'E']"
30,good,"['A', 'G', 'E', 'H', 'J']"
31,good,"['A', 'H', 'C', 'I', 'G']"
32,good,"['A', 'E', 'G', 'D', 'H']"
33,good,"['H', 'I', 'A', 'E', 'G']"
34,good,"['A', 'I', 'G', 'F', 'C']"
35,good,"['A', 'D', 'F', 'I', 'G']"
36,good,"['A', 'I', 'F', 'C', 'B']"
37,good,"['A', 'C', 'E', 'I', 'B']"
38,good,"['A', 'G', 'I', 'E', 'B']"
39,good,"['A', 'I', 'H', 'G', 'D']"
40,good,"['A', 'F', 'I', 'D', 'G']"
41,good,"['A', 'I', 'D', 'H', 'B']"
42,good,"['A', 'F', 'D', 'C', 'I']"
43,good,"['A', 'G', 'E', 'I', 'F']"
44,good,"['A', 'E', 'I', 'B', 'D']"
45,good,"['E', 'A', 'F', 'G', 'I']"
46,good,"['A', 'G', 'D', 'H', 'B']"
47,good,"['A', 'D', 'E', 'F', 'I']"
48,good,"['A', 'C', 'F', 'B', 'J']"
49,good,"['F', 'I', 'A', 'G', 'C']"
50,good,"['H', 'I', 'A', 'F', 'D']"
51,good,"['A', 'G', 'I', 'E', 'D']"
52,good,"['G', 'I', 'H', 'A', 'F']"
53,good,"['A', 'I', 'E', 'B', 'F']"
54,good,"['A', 'F', 'I', 'G', 'D']"
55,good,"['F', 'A', 'G', 'E', 'I']"
56,good,"['E', 'I', 'A', 'G', 'H']"
57,good,"['A', 'I', 'E', 'D', 'G']"
58,good,"['A', 'H', 'E', 'B', 'F']"
59,good,"['A', 'I', 'D', 'F', 'G']"
60,good,"['A', 'D', 'F', 'I', 'J']"
61,good,"['A', 'E', 'F', 'I', 'C']"
62,good,"['A', 'I', 'C', 'E', 'J']"
63,good,"['A', 'F', 'E', 'H', 'B']"
64,good,"['A', 'H', 'F', 'G', 'C']"
65,good,"['A', 'C', 'E', 'I', 'H']"
66,good,"['G', 'A', 'E', 'I', 'D']"
67,good,"['A', 'G', 'D', 'E', 'I']"
68,good,"['A', 'B', 'C', 'D', 'E']"
69,good,"['A', 'G', 'E', 'B', 'H']"
70,good,"['A', 'I', 'D', 'E', 'G']"
71,good,"['A', 'C', 'E', 'I', 'B']"
72,good,"['A', 'D', 'G', 'I', 'B']"
73,good,"['A', 'E', 'I', 'F', 'G']"
74,good,"['G', 'A', 'C', 'E', 'J']"
75,unsolvable,"['A', 'C', 'D', 'E', 'G']"
76,good,"['A', 'I', 'C', 'G', 'D']"
77,good,"['A', 'G', 'E', 'B', 'C']"
78,good,"['A', 'E', 'H', 'I', 'F']"
79,good,"['A', 'E', 'H', 'G', 'J']"
80,good,"['A', 'I', 'G', 'C', 'E']"
81,good,"['A', 'F', 'I', 'B', 'G']"
82,good,"['A', 'G', 'E', 'D', 'B']"
83,good,"['G', 'A', 'F', 'H', 'B']"
84,good,"['G', 'A', 'E', 'I', 'F']"
85,good,"['E', 'A', 'J', 'D', 'G']"
86,good,"['A', 'E', 'I', 'F', 'G']"
87,unsolvable,"['G', 'F', 'E', 'A', 'D']"
88,good,"['A', 'C', 'F', 'D', 'H']"
89,good,"['A', 'E', 'H', 'C', 'D']"
90,good,"['I', 'A', 'D', 'F', 'H']"
91,good,"['A', 'G', 'H', 'D', 'E']"
92,good,"['A', 'F', 'G', 'E', 'H']"
93,good,"['A', 'F', 'G', 'H', 'I']"
94,good,"['A', 'C', 'G', 'I', 'F']"
95,good,"['A', 'F', 'G', 'C', 'E']"
96,good,"['A', 'G', 'I', 'E', 'H']"
97,good,"['A', 'C', 'G', 'F', 'I']"
98,good,"['A', 'D', 'F', 'H', 'G']"
99,good,"['A', 'E', 'I', 'H', 'D']"
