index,good/bad/unsolvable,reply
0,good,"['A', 'D', 'C', 'B']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['A', 'D', 'C', 'B']"
3,good,"['A', 'D', 'B', 'C']"
4,good,"['A', 'B', 'C', 'D']"
5,good,"['A', 'D', 'C', 'B']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'D', 'C', 'B']"
8,good,"['A', 'D', 'C', 'B']"
9,good,"['A', 'B', 'C', 'D']"
10,good,"['A', 'D', 'B', 'C']"
11,good,"['A', 'D', 'B', 'C']"
12,good,"['A', 'B', 'C', 'D']"
13,good,"['D', 'B', 'C', 'A']"
14,good,"['A', 'D', 'C', 'B']"
15,good,"['A', 'B', 'C', 'D']"
16,good,"['A', 'B', 'C', 'D']"
17,good,"['A', 'D', 'C', 'B']"
18,good,"['A', 'D', 'C', 'B']"
19,good,"['A', 'B', 'C', 'D']"
20,good,"['A', 'C', 'B', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'C', 'D', 'B']"
23,good,"['A', 'D', 'C', 'B']"
24,good,"['A', 'D', 'B', 'C']"
25,good,"['A', 'D', 'C', 'B']"
26,good,"['A', 'D', 'B', 'C']"
27,good,"['A', 'C', 'B', 'D']"
28,good,"['A', 'C', 'D', 'B']"
29,good,"['A', 'D', 'C', 'B']"
30,good,"['A', 'D', 'C', 'B']"
31,good,"['A', 'B', 'C', 'D']"
32,good,"['A', 'D', 'B', 'C']"
33,good,"['A', 'D', 'C', 'B']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'D', 'C', 'B']"
36,good,"['A', 'B', 'C', 'D']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'B', 'C', 'D']"
39,good,"['A', 'D', 'B', 'C']"
40,good,"['B', 'C', 'A', 'D']"
41,good,"['A', 'D', 'B', 'C']"
42,good,"['A', 'D', 'C', 'B']"
43,good,"['A', 'D', 'B', 'C']"
44,good,"['A', 'B', 'C', 'D']"
45,good,"['A', 'D', 'C', 'B']"
46,good,"['A', 'D', 'C', 'B']"
47,good,"['A', 'D', 'B', 'C']"
48,good,"['A', 'D', 'B', 'C']"
49,good,"['A', 'B', 'C', 'D']"
50,good,"['A', 'D', 'C', 'B']"
51,good,"['A', 'D', 'C', 'B']"
52,good,"['A', 'D', 'C', 'B']"
53,good,"['A', 'C', 'B', 'D']"
54,good,"['A', 'D', 'B', 'C']"
55,good,"['B', 'C', 'D', 'A']"
56,good,"['A', 'B', 'C', 'D']"
57,good,"['A', 'D', 'B', 'C']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'B', 'C', 'D']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['A', 'D', 'C', 'B']"
62,good,"['A', 'B', 'C', 'D']"
63,good,"['A', 'D', 'C', 'B']"
64,good,"['A', 'D', 'C', 'B']"
65,good,"['A', 'B', 'C', 'D']"
66,good,"['A', 'D', 'C', 'B']"
67,good,"['A', 'B', 'C', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['A', 'D', 'C', 'B']"
70,good,"['A', 'D', 'C', 'B']"
71,good,"['A', 'D', 'C', 'B']"
72,good,"['A', 'D', 'B', 'C']"
73,good,"['A', 'D', 'B', 'C']"
74,good,"['A', 'D', 'B', 'C']"
75,good,"['A', 'B', 'C', 'D']"
76,good,"['A', 'C', 'B', 'D']"
77,good,"['A', 'D', 'C', 'B']"
78,good,"['A', 'D', 'B', 'C']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'C', 'D', 'B']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['A', 'B', 'D', 'C']"
83,good,"['A', 'D', 'B', 'C']"
84,good,"['A', 'D', 'C', 'B']"
85,good,"['A', 'B', 'C', 'D']"
86,good,"['B', 'C', 'D', 'A']"
87,good,"['A', 'D', 'C', 'B']"
88,good,"['A', 'B', 'D', 'C']"
89,good,"['A', 'B', 'C', 'D']"
90,good,"['A', 'B', 'C', 'D']"
91,good,"['A', 'D', 'C', 'B']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['A', 'D', 'C', 'B']"
94,good,"['A', 'D', 'C', 'B']"
95,good,"['A', 'B', 'C', 'D']"
96,good,"['A', 'D', 'C', 'B']"
97,good,"['A', 'D', 'C', 'B']"
98,good,"['A', 'D', 'B', 'C']"
99,good,"['A', 'C', 'B', 'D']"
