index,good/bad/unsolvable,reply
0,good,"['A', 'D', 'F', 'G', 'M']"
1,good,"['A', 'C', 'H', 'I', 'K']"
2,good,"['A', 'C', 'F', 'G', 'L']"
3,good,"['H', 'I', 'J', 'K', 'L']"
4,good,"['C', 'H', 'I', 'J', 'K']"
5,good,"['A', 'C', 'F', 'I', 'J']"
6,good,"['A', 'C', 'F', 'G', 'I']"
7,good,"['C', 'G', 'H', 'I', 'M']"
8,good,"['A', 'D', 'E', 'G', 'J']"
9,good,"['A', 'D', 'F', 'G', 'H']"
10,good,"['C', 'H', 'I', 'J', 'K']"
11,good,"['A', 'C', 'F', 'I', 'M']"
12,good,"['A', 'C', 'F', 'G', 'L']"
13,good,"['G', 'H', 'I', 'J', 'K']"
14,good,"['A', 'C', 'F', 'H', 'I']"
15,good,"['F', 'G', 'H', 'J', 'L']"
16,good,"['A', 'C', 'F', 'G', 'L']"
17,good,"['C', 'F', 'G', 'H', 'I']"
18,good,"['C', 'F', 'G', 'I', 'J']"
19,good,"['A', 'C', 'D', 'F', 'G']"
20,good,"['A', 'C', 'F', 'H', 'I']"
21,good,"['I', 'J', 'K', 'L', 'M']"
22,good,"['A', 'C', 'F', 'G', 'J']"
23,good,"['A', 'C', 'F', 'G', 'I']"
24,good,"['C', 'G', 'H', 'L', 'M']"
25,good,"['A', 'C', 'F', 'G', 'L']"
26,good,"['A', 'F', 'G', 'H', 'J']"
27,good,"['A', 'C', 'F', 'H', 'I']"
28,good,"['C', 'G', 'H', 'I', 'M']"
29,good,"['C', 'G', 'L', 'M', 'B']"
30,good,"['A', 'C', 'F', 'G', 'H']"
31,good,"['A', 'C', 'F', 'G', 'I']"
32,good,"['A', 'C', 'G', 'H', 'J']"
33,good,"['A', 'C', 'H', 'K', 'L']"
34,good,"['C', 'G', 'H', 'L', 'M']"
35,good,"['A', 'C', 'H', 'J', 'K']"
36,good,"['H', 'I', 'J', 'K', 'L']"
37,good,"['A', 'C', 'F', 'G', 'J']"
38,good,"['L', 'G', 'H', 'M', 'J']"
39,good,"['A', 'C', 'F', 'G', 'H']"
40,good,"['D', 'I', 'F', 'C', 'G']"
41,good,"['C', 'D', 'H', 'I', 'J']"
42,good,"['C', 'H', 'I', 'K', 'L']"
43,good,"['G', 'I', 'K', 'L', 'M']"
44,good,"['A', 'C', 'D', 'H', 'I']"
45,good,"['G', 'H', 'I', 'J', 'M']"
46,good,"['A', 'C', 'F', 'D', 'G']"
47,good,"['A', 'C', 'D', 'H', 'I']"
48,good,"['A', 'C', 'F', 'G', 'L']"
49,good,"['A', 'C', 'F', 'G', 'L']"
50,good,"['C', 'H', 'I', 'J', 'K']"
51,good,"['A', 'C', 'E', 'F', 'H']"
52,good,"['A', 'C', 'F', 'H', 'I']"
53,good,"['A', 'G', 'J', 'L', 'M']"
54,good,"['A', 'F', 'H', 'I', 'J']"
55,good,"['A', 'C', 'H', 'I', 'K']"
56,good,"['G', 'H', 'I', 'K', 'L']"
57,good,"['H', 'I', 'J', 'K', 'M']"
58,good,"['C', 'I', 'K', 'L', 'M']"
59,good,"['A', 'C', 'G', 'H', 'J']"
60,good,"['A', 'C', 'F', 'H', 'I']"
61,good,"['C', 'H', 'I', 'K', 'L']"
62,good,"['A', 'D', 'E', 'F', 'G']"
63,good,"['C', 'F', 'D', 'E', 'G']"
64,good,"['A', 'C', 'F', 'I', 'K']"
65,good,"['A', 'C', 'D', 'F', 'H']"
66,good,"['A', 'F', 'G', 'L', 'M']"
67,good,"['A', 'C', 'F', 'G', 'H']"
68,good,"['A', 'C', 'D', 'F', 'G']"
69,good,"['C', 'G', 'H', 'J', 'L']"
70,good,"['A', 'C', 'F', 'H', 'J']"
71,good,"['A', 'C', 'F', 'G', 'I']"
72,good,"['B', 'C', 'F', 'G', 'H']"
73,good,"['A', 'C', 'F', 'G', 'I']"
74,good,"['A', 'C', 'F', 'I', 'K']"
75,good,"['A', 'C', 'E', 'G', 'H']"
76,good,"['A', 'D', 'E', 'I', 'K']"
77,good,"['A', 'C', 'F', 'G', 'M']"
78,good,"['A', 'C', 'D', 'F', 'G']"
79,good,"['H', 'I', 'K', 'L', 'M']"
80,good,"['A', 'C', 'H', 'K', 'M']"
81,good,"['C', 'F', 'G', 'J', 'M']"
82,good,"['A', 'C', 'F', 'G', 'H']"
83,good,"['A', 'D', 'E', 'F', 'C']"
84,good,"['A', 'D', 'F', 'I', 'M']"
85,good,"['A', 'C', 'F', 'H', 'I']"
86,unsolvable,"['D', 'G', 'M', 'L', 'C']"
87,good,"['A', 'C', 'F', 'G', 'H']"
88,good,"['G', 'H', 'J', 'L', 'M']"
89,good,"['A', 'C', 'F', 'G', 'H']"
90,good,"['A', 'C', 'F', 'G', 'J']"
91,good,"['C', 'G', 'H', 'L', 'F']"
92,good,"['A', 'C', 'F', 'G', 'H']"
93,good,"['C', 'F', 'G', 'I', 'J']"
94,good,"['H', 'C', 'K', 'L', 'M']"
95,good,"['A', 'C', 'F', 'G', 'H']"
96,good,"['A', 'C', 'F', 'G', 'M']"
97,good,"['C', 'H', 'M', 'F', 'G']"
98,good,"['A', 'C', 'D', 'F', 'I']"
99,good,"['A', 'D', 'E', 'L', 'M']"
