index,good/bad/unsolvable,reply
0,good,"['D', 'F', 'L', 'K', 'A']"
1,good,"['D', 'A', 'F', 'I', 'H']"
2,good,"['D', 'I', 'E', 'G', 'A']"
3,good,"['D', 'A', 'J', 'H', 'L']"
4,good,"['D', 'C', 'F', 'H', 'M']"
5,good,"['D', 'I', 'J', 'B', 'A']"
6,good,"['D', 'G', 'H', 'I', 'J']"
7,good,"['D', 'G', 'C', 'M', 'I']"
8,good,"['D', 'G', 'H', 'I', 'L']"
9,good,"['D', 'M', 'G', 'H', 'I']"
10,good,"['C', 'D', 'F', 'L', 'M']"
11,good,"['D', 'M', 'K', 'A', 'B']"
12,good,"['D', 'A', 'H', 'B', 'G']"
13,good,"['D', 'C', 'L', 'A', 'B']"
14,good,"['D', 'B', 'A', 'C', 'K']"
15,good,"['D', 'H', 'L', 'I', 'A']"
16,good,"['D', 'C', 'M', 'A', 'B']"
17,good,"['D', 'H', 'L', 'C', 'G']"
18,good,"['D', 'C', 'A', 'E', 'J']"
19,good,"['D', 'G', 'L', 'M', 'K']"
20,good,"['I', 'K', 'D', 'E', 'H']"
21,good,"['D', 'M', 'G', 'I', 'L']"
22,good,"['G', 'D', 'E', 'A', 'F']"
23,good,"['D', 'F', 'L', 'K', 'A']"
24,good,"['D', 'H', 'L', 'C', 'F']"
25,good,"['D', 'C', 'H', 'K', 'L']"
26,good,"['D', 'H', 'M', 'A', 'B']"
27,good,"['L', 'C', 'D', 'F', 'E']"
28,good,"['H', 'C', 'A', 'D', 'E']"
29,good,"['D', 'F', 'A', 'B', 'L']"
30,good,"['F', 'D', 'I', 'H', 'A']"
31,good,"['D', 'F', 'H', 'L', 'A']"
32,good,"['D', 'F', 'C', 'H', 'A']"
33,good,"['D', 'K', 'H', 'A', 'B']"
34,good,"['L', 'K', 'D', 'A', 'G']"
35,good,"['H', 'D', 'G', 'L', 'M']"
36,good,"['D', 'H', 'L', 'A', 'E']"
37,good,"['K', 'D', 'L', 'I', 'G']"
38,good,"['D', 'A', 'K', 'F', 'H']"
39,good,"['D', 'F', 'G', 'H', 'I']"
40,good,"['C', 'A', 'D', 'F', 'K']"
41,good,"['D', 'A', 'B', 'C', 'E']"
42,good,"['D', 'G', 'K', 'F', 'I']"
43,good,"['D', 'F', 'H', 'B', 'M']"
44,good,"['D', 'M', 'A', 'B', 'C']"
45,good,"['D', 'C', 'L', 'F', 'K']"
46,good,"['D', 'C', 'G', 'F', 'I']"
47,good,"['D', 'H', 'C', 'K', 'L']"
48,good,"['D', 'F', 'H', 'A', 'E']"
49,good,"['D', 'I', 'M', 'A', 'E']"
50,good,"['D', 'C', 'L', 'M', 'A']"
51,good,"['D', 'A', 'F', 'H', 'I']"
52,good,"['D', 'C', 'K', 'M', 'A']"
53,good,"['D', 'E', 'G', 'A', 'B']"
54,good,"['D', 'C', 'H', 'L', 'A']"
55,good,"['D', 'A', 'F', 'H', 'I']"
56,good,"['D', 'H', 'L', 'A', 'B']"
57,good,"['D', 'H', 'I', 'L', 'A']"
58,good,"['D', 'G', 'I', 'C', 'F']"
59,good,"['D', 'F', 'A', 'B', 'E']"
60,good,"['D', 'L', 'F', 'A', 'B']"
61,good,"['D', 'L', 'F', 'H', 'K']"
62,good,"['D', 'B', 'I', 'A', 'G']"
63,good,"['D', 'F', 'K', 'A', 'B']"
64,good,"['C', 'A', 'D', 'B', 'E']"
65,good,"['D', 'M', 'G', 'I', 'L']"
66,good,"['C', 'D', 'B', 'G', 'L']"
67,good,"['D', 'A', 'B', 'C', 'E']"
68,good,"['D', 'H', 'K', 'L', 'I']"
69,good,"['D', 'H', 'L', 'G', 'J']"
70,good,"['D', 'C', 'A', 'F', 'B']"
71,good,"['D', 'H', 'L', 'A', 'I']"
72,good,"['C', 'A', 'F', 'D', 'H']"
73,good,"['M', 'D', 'L', 'H', 'C']"
74,bad,"['r', 'e', 'l', 'a', 't']"
75,good,"['D', 'A', 'G', 'I', 'M']"
76,good,"['D', 'F', 'H', 'L', 'A']"
77,good,"['D', 'F', 'H', 'L', 'B']"
78,good,"['D', 'F', 'I', 'L', 'M']"
79,good,"['D', 'C', 'I', 'A', 'F']"
80,good,"['D', 'A', 'B', 'C', 'F']"
81,good,"['D', 'H', 'I', 'L', 'A']"
82,good,"['L', 'H', 'D', 'A', 'G']"
83,good,"['D', 'A', 'F', 'J', 'H']"
84,good,"['D', 'L', 'A', 'B', 'H']"
85,good,"['D', 'F', 'I', 'A', 'B']"
86,unsolvable,"['C', 'A', 'G', 'M', 'I']"
87,good,"['D', 'G', 'I', 'B', 'C']"
88,good,"['M', 'C', 'A', 'D', 'B']"
89,good,"['D', 'M', 'H', 'A', 'I']"
90,good,"['D', 'A', 'E', 'M', 'I']"
91,good,"['D', 'A', 'H', 'L', 'B']"
92,good,"['D', 'M', 'F', 'B', 'H']"
93,good,"['D', 'I', 'A', 'E', 'K']"
94,good,"['D', 'I', 'H', 'L', 'A']"
95,good,"['D', 'E', 'I', 'L', 'G']"
96,good,"['D', 'F', 'L', 'K', 'H']"
97,good,"['D', 'E', 'A', 'J', 'K']"
98,good,"['D', 'A', 'E', 'I', 'B']"
99,good,"['D', 'F', 'H', 'K', 'M']"
