prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1811.0,415.0,0.01811,0.01245,0.03056
1811.0,471.0,0.01811,0.014129999999999998,0.03224
1811.0,489.0,0.01811,0.01467,0.032780000000000004
1811.0,580.0,0.01811,0.0174,0.03551
1811.0,424.0,0.01811,0.012719999999999999,0.03083
1811.0,456.0,0.01811,0.01368,0.03179
1811.0,503.0,0.01811,0.01509,0.0332
1811.0,477.0,0.01811,0.014309999999999998,0.03242
1811.0,483.0,0.01811,0.01449,0.032600000000000004
1811.0,565.0,0.01811,0.01695,0.03506
1811.0,437.0,0.01811,0.01311,0.03122
1811.0,633.0,0.01811,0.01899,0.0371
1811.0,485.0,0.01811,0.014549999999999999,0.03266
1811.0,423.0,0.01811,0.01269,0.0308
1811.0,367.0,0.01811,0.011009999999999999,0.02912
1811.0,531.0,0.01811,0.01593,0.03404
1811.0,489.0,0.01811,0.01467,0.032780000000000004
1811.0,485.0,0.01811,0.014549999999999999,0.03266
1811.0,625.0,0.01811,0.01875,0.036860000000000004
1811.0,375.0,0.01811,0.01125,0.02936
1811.0,524.0,0.01811,0.015719999999999998,0.03383
1811.0,580.0,0.01811,0.0174,0.03551
1811.0,420.0,0.01811,0.0126,0.03071
1811.0,593.0,0.01811,0.01779,0.0359
1811.0,478.0,0.01811,0.01434,0.03245
1811.0,486.0,0.01811,0.01458,0.03269
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,464.0,0.01811,0.01392,0.03203
1811.0,417.0,0.01811,0.01251,0.03062
1811.0,443.0,0.01811,0.01329,0.0314
1811.0,394.0,0.01811,0.01182,0.029930000000000002
1811.0,397.0,0.01811,0.01191,0.03002
1811.0,537.0,0.01811,0.01611,0.03422
1811.0,462.0,0.01811,0.013859999999999999,0.03197
1811.0,419.0,0.01811,0.01257,0.03068
1811.0,470.0,0.01811,0.0141,0.03221
1811.0,403.0,0.01811,0.01209,0.0302
1811.0,448.0,0.01811,0.013439999999999999,0.03155
1811.0,376.0,0.01811,0.01128,0.02939
1811.0,492.0,0.01811,0.01476,0.03287
1811.0,522.0,0.01811,0.01566,0.03377
1811.0,594.0,0.01811,0.01782,0.035930000000000004
1811.0,431.0,0.01811,0.01293,0.03104
1811.0,429.0,0.01811,0.01287,0.03098
1811.0,430.0,0.01811,0.0129,0.031010000000000003
1811.0,497.0,0.01811,0.01491,0.03302
1811.0,499.0,0.01811,0.014969999999999999,0.03308
1811.0,500.0,0.01811,0.015,0.03311
1811.0,519.0,0.01811,0.01557,0.03368
1811.0,448.0,0.01811,0.013439999999999999,0.03155
1811.0,439.0,0.01811,0.01317,0.03128
1811.0,509.0,0.01811,0.015269999999999999,0.03338
1811.0,488.0,0.01811,0.014639999999999999,0.03275
1811.0,528.0,0.01811,0.01584,0.03395
1811.0,487.0,0.01811,0.01461,0.03272
1811.0,434.0,0.01811,0.01302,0.03113
1811.0,366.0,0.01811,0.01098,0.02909
1811.0,492.0,0.01811,0.01476,0.03287
1811.0,418.0,0.01811,0.012539999999999999,0.03065
1811.0,431.0,0.01811,0.01293,0.03104
1811.0,512.0,0.01811,0.015359999999999999,0.03347
1811.0,471.0,0.01811,0.014129999999999998,0.03224
1811.0,488.0,0.01811,0.014639999999999999,0.03275
1811.0,380.0,0.01811,0.0114,0.02951
1811.0,526.0,0.01811,0.01578,0.03389
1811.0,569.0,0.01811,0.017070000000000002,0.03518
1811.0,471.0,0.01811,0.014129999999999998,0.03224
1811.0,473.0,0.01811,0.01419,0.0323
1811.0,472.0,0.01811,0.01416,0.03227
1811.0,407.0,0.01811,0.012209999999999999,0.03032
1811.0,526.0,0.01811,0.01578,0.03389
1811.0,582.0,0.01811,0.01746,0.035570000000000004
1811.0,479.0,0.01811,0.014369999999999999,0.03248
1811.0,488.0,0.01811,0.014639999999999999,0.03275
1811.0,404.0,0.01811,0.012119999999999999,0.03023
1811.0,445.0,0.01811,0.013349999999999999,0.03146
1811.0,455.0,0.01811,0.01365,0.031760000000000004
1811.0,517.0,0.01811,0.01551,0.03362
1811.0,487.0,0.01811,0.01461,0.03272
1811.0,443.0,0.01811,0.01329,0.0314
1811.0,545.0,0.01811,0.016349999999999996,0.03446
1811.0,466.0,0.01811,0.01398,0.03209
1811.0,492.0,0.01811,0.01476,0.03287
1811.0,522.0,0.01811,0.01566,0.03377
1811.0,444.0,0.01811,0.01332,0.03143
1811.0,429.0,0.01811,0.01287,0.03098
1811.0,455.0,0.01811,0.01365,0.031760000000000004
1811.0,545.0,0.01811,0.016349999999999996,0.03446
1811.0,554.0,0.01811,0.01662,0.03473
1811.0,463.0,0.01811,0.01389,0.032
1811.0,503.0,0.01811,0.01509,0.0332
1811.0,399.0,0.01811,0.011969999999999998,0.03008
1811.0,489.0,0.01811,0.01467,0.032780000000000004
1811.0,499.0,0.01811,0.014969999999999999,0.03308
1811.0,449.0,0.01811,0.01347,0.03158
1811.0,496.0,0.01811,0.014879999999999999,0.03299
1811.0,473.0,0.01811,0.01419,0.0323
1811.0,526.0,0.01811,0.01578,0.03389
1811.0,376.0,0.01811,0.01128,0.02939
1811.0,432.0,0.01811,0.01296,0.03107
