prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1850.0,187.0,0.0555,0.011219999999999999,0.06672
1850.0,191.0,0.0555,0.01146,0.06696
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,61.0,0.0555,0.0036599999999999996,0.05916
1850.0,98.0,0.0555,0.00588,0.061380000000000004
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,146.0,0.0555,0.00876,0.06426
1850.0,112.0,0.0555,0.006719999999999999,0.06222
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,123.0,0.0555,0.00738,0.06288
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,98.0,0.0555,0.00588,0.061380000000000004
1850.0,140.0,0.0555,0.008400000000000001,0.0639
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,129.0,0.0555,0.0077399999999999995,0.06324
1850.0,165.0,0.0555,0.0099,0.0654
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,100.0,0.0555,0.006,0.0615
1850.0,299.0,0.0555,0.017939999999999998,0.07344
1850.0,90.0,0.0555,0.005399999999999999,0.0609
1850.0,247.0,0.0555,0.01482,0.07032
1850.0,108.0,0.0555,0.00648,0.06198
1850.0,107.0,0.0555,0.00642,0.06192
1850.0,197.0,0.0555,0.01182,0.06732
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,72.0,0.0555,0.00432,0.05982
1850.0,172.0,0.0555,0.010320000000000001,0.06582
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,203.0,0.0555,0.01218,0.06768
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,129.0,0.0555,0.0077399999999999995,0.06324
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,27.0,0.0555,0.00162,0.057120000000000004
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,100.0,0.0555,0.006,0.0615
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,100.0,0.0555,0.006,0.0615
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,85.0,0.0555,0.0050999999999999995,0.0606
1850.0,90.0,0.0555,0.005399999999999999,0.0609
1850.0,175.0,0.0555,0.0105,0.066
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,205.0,0.0555,0.012299999999999998,0.0678
1850.0,292.0,0.0555,0.01752,0.07302
1850.0,107.0,0.0555,0.00642,0.06192
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,94.0,0.0555,0.00564,0.06114
1850.0,193.0,0.0555,0.01158,0.06708
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,100.0,0.0555,0.006,0.0615
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,100.0,0.0555,0.006,0.0615
1850.0,177.0,0.0555,0.01062,0.06612
1850.0,100.0,0.0555,0.006,0.0615
1850.0,98.0,0.0555,0.00588,0.061380000000000004
1850.0,111.0,0.0555,0.00666,0.06216
1850.0,118.0,0.0555,0.00708,0.06258
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,90.0,0.0555,0.005399999999999999,0.0609
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,100.0,0.0555,0.006,0.0615
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,96.0,0.0555,0.0057599999999999995,0.06126
1850.0,218.0,0.0555,0.01308,0.06858
1850.0,100.0,0.0555,0.006,0.0615
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,101.0,0.0555,0.006059999999999999,0.061560000000000004
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,100.0,0.0555,0.006,0.0615
1850.0,108.0,0.0555,0.00648,0.06198
1850.0,114.0,0.0555,0.00684,0.06234
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,113.0,0.0555,0.00678,0.06228
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,61.0,0.0555,0.0036599999999999996,0.05916
1850.0,147.0,0.0555,0.00882,0.06432
1850.0,131.0,0.0555,0.007859999999999999,0.06336
1850.0,129.0,0.0555,0.0077399999999999995,0.06324
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,98.0,0.0555,0.00588,0.061380000000000004
1850.0,109.0,0.0555,0.00654,0.06204
1850.0,88.0,0.0555,0.005279999999999999,0.06078
