index,good/bad/unsolvable,reply
0,unsolvable,"['D', 'C', 'B', 'A', 'F']"
1,good,"['A', 'B', 'E', 'C', 'D']"
2,good,"['C', 'A', 'B', 'D', 'E']"
3,good,"['A', 'B', 'C', 'E', 'F']"
4,good,"['A', 'B', 'C', 'D', 'E']"
5,good,"['A', 'C', 'B', 'D', 'F']"
6,good,"['A', 'B', 'C', 'F', 'D']"
7,good,"['A', 'B', 'C', 'F', 'D']"
8,good,"['B', 'A', 'D', 'C', 'E']"
9,good,"['A', 'C', 'B', 'E', 'F']"
10,good,"['A', 'B', 'C', 'D', 'E']"
11,good,"['A', 'B', 'C', 'D', 'E']"
12,good,"['A', 'B', 'C', 'E', 'D']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,good,"['A', 'B', 'C', 'D', 'F']"
15,good,"['B', 'C', 'D', 'A', 'E']"
16,good,"['A', 'C', 'B', 'E', 'F']"
17,good,"['B', 'A', 'C', 'E', 'D']"
18,good,"['B', 'C', 'E', 'D', 'A']"
19,good,"['D', 'A', 'B', 'C', 'E']"
20,good,"['A', 'D', 'B', 'E', 'F']"
21,good,"['A', 'B', 'C', 'D', 'E']"
22,good,"['B', 'A', 'C', 'E', 'F']"
23,good,"['B', 'C', 'A', 'E', 'F']"
24,good,"['A', 'B', 'C', 'F', 'D']"
25,good,"['A', 'B', 'C', 'D', 'E']"
26,good,"['B', 'A', 'C', 'F', 'D']"
27,good,"['B', 'A', 'C', 'E', 'D']"
28,good,"['A', 'B', 'F', 'E', 'C']"
29,good,"['A', 'B', 'C', 'E', 'D']"
30,good,"['D', 'B', 'A', 'C', 'F']"
31,good,"['B', 'A', 'C', 'E', 'F']"
32,good,"['A', 'B', 'C', 'D', 'F']"
33,good,"['C', 'B', 'A', 'F', 'D']"
34,good,"['B', 'F', 'A', 'E', 'C']"
35,good,"['A', 'B', 'C', 'E', 'D']"
36,good,"['B', 'C', 'E', 'D', 'A']"
37,good,"['B', 'C', 'E', 'D', 'F']"
38,good,"['A', 'B', 'E', 'C', 'F']"
39,good,"['A', 'B', 'C', 'D', 'E']"
40,good,"['C', 'B', 'E', 'A', 'D']"
41,good,"['B', 'C', 'A', 'D', 'E']"
42,good,"['A', 'B', 'C', 'F', 'E']"
43,good,"['B', 'A', 'C', 'E', 'D']"
44,good,"['F', 'D', 'C', 'A', 'B']"
45,good,"['A', 'B', 'C', 'D', 'E']"
46,good,"['C', 'B', 'A', 'F', 'E']"
47,good,"['B', 'A', 'C', 'E', 'F']"
48,unsolvable,"['A', 'B', 'C', 'D', 'E']"
49,good,"['A', 'B', 'C', 'D', 'E']"
50,good,"['A', 'B', 'C', 'D', 'F']"
51,good,"['B', 'A', 'C', 'E', 'D']"
52,good,"['B', 'A', 'C', 'F', 'D']"
53,good,"['B', 'A', 'C', 'D', 'E']"
54,good,"['A', 'C', 'D', 'E', 'B']"
55,good,"['C', 'F', 'A', 'E', 'D']"
56,unsolvable,"['A', 'B', 'C', 'D', 'E']"
57,good,"['A', 'B', 'C', 'D', 'E']"
58,good,"['A', 'C', 'B', 'D', 'E']"
59,good,"['B', 'A', 'C', 'F', 'E']"
60,good,"['A', 'B', 'C', 'E', 'D']"
61,good,"['A', 'B', 'C', 'D', 'E']"
62,good,"['C', 'A', 'E', 'F', 'D']"
63,good,"['B', 'A', 'C', 'E', 'D']"
64,good,"['A', 'B', 'C', 'D', 'F']"
65,good,"['A', 'B', 'C', 'E', 'D']"
66,good,"['A', 'B', 'F', 'C', 'E']"
67,good,"['A', 'C', 'B', 'D', 'E']"
68,good,"['B', 'C', 'A', 'D', 'E']"
69,good,"['B', 'A', 'F', 'E', 'C']"
70,good,"['B', 'A', 'C', 'D', 'E']"
71,good,"['A', 'B', 'C', 'D', 'E']"
72,good,"['A', 'B', 'C', 'D', 'E']"
73,good,"['C', 'A', 'B', 'F', 'E']"
74,good,"['B', 'C', 'A', 'E', 'D']"
75,good,"['B', 'C', 'E', 'D', 'A']"
76,good,"['B', 'C', 'E', 'D', 'A']"
77,unsolvable,"['D', 'A', 'B', 'C', 'E']"
78,good,"['A', 'B', 'C', 'D', 'E']"
79,good,"['E', 'A', 'B', 'C', 'F']"
80,good,"['B', 'A', 'F', 'C', 'D']"
81,good,"['A', 'B', 'C', 'F', 'D']"
82,good,"['A', 'B', 'C', 'F', 'E']"
83,good,"['B', 'A', 'F', 'C', 'D']"
84,good,"['B', 'C', 'E', 'D', 'A']"
85,good,"['B', 'C', 'D', 'A', 'E']"
86,good,"['C', 'F', 'E', 'B', 'A']"
87,good,"['A', 'C', 'E', 'B', 'D']"
88,good,"['C', 'A', 'D', 'E', 'F']"
89,good,"['A', 'C', 'B', 'E', 'F']"
90,good,"['A', 'B', 'C', 'D', 'E']"
91,good,"['A', 'B', 'C', 'D', 'E']"
92,good,"['A', 'B', 'E', 'C', 'F']"
93,good,"['B', 'A', 'C', 'E', 'D']"
94,good,"['A', 'B', 'C', 'F', 'D']"
95,good,"['A', 'C', 'B', 'D', 'F']"
96,good,"['C', 'B', 'A', 'F', 'E']"
97,good,"['A', 'B', 'E', 'C', 'D']"
98,good,"['A', 'B', 'C', 'D', 'E']"
99,good,"['A', 'B', 'C', 'E', 'F']"
