index,good/bad/unsolvable,reply
0,good,"['A', 'D', 'F', 'I', 'M']"
1,good,"['D', 'A', 'B', 'C', 'E']"
2,good,"['D', 'I', 'A', 'F', 'M']"
3,good,"['D', 'A', 'B', 'C', 'E']"
4,good,"['A', 'D', 'E', 'F', 'G']"
5,good,"['D', 'A', 'B', 'C', 'F']"
6,good,"['D', 'A', 'C', 'G', 'B']"
7,good,"['A', 'D', 'C', 'E', 'G']"
8,good,"['D', 'A', 'B', 'C', 'E']"
9,good,"['D', 'A', 'C', 'E', 'F']"
10,good,"['D', 'F', 'A', 'C', 'G']"
11,good,"['D', 'A', 'B', 'E', 'F']"
12,good,"['A', 'D', 'B', 'F', 'M']"
13,good,"['D', 'A', 'B', 'C', 'E']"
14,good,"['D', 'A', 'C', 'F', 'G']"
15,good,"['A', 'D', 'E', 'G', 'M']"
16,good,"['D', 'F', 'I', 'J', 'K']"
17,good,"['A', 'B', 'C', 'D', 'E']"
18,good,"['A', 'C', 'D', 'E', 'F']"
19,good,"['D', 'A', 'E', 'F', 'G']"
20,good,"['A', 'D', 'E', 'I', 'M']"
21,good,"['D', 'A', 'B', 'F', 'G']"
22,good,"['A', 'D', 'G', 'E', 'F']"
23,bad,"['I', 'f', 'w', 'e', 'h']"
24,good,"['D', 'F', 'A', 'B', 'G']"
25,good,"['A', 'D', 'F', 'G', 'H']"
26,good,"['A', 'D', 'C', 'E', 'F']"
27,good,"['A', 'D', 'G', 'I', 'L']"
28,good,"['D', 'A', 'C', 'E', 'F']"
29,good,"['D', 'F', 'E', 'G', 'H']"
30,good,"['F', 'D', 'A', 'B', 'C']"
31,good,"['D', 'F', 'G', 'B', 'E']"
32,good,"['D', 'A', 'F', 'M', 'C']"
33,good,"['D', 'A', 'B', 'C', 'E']"
34,good,"['A', 'D', 'B', 'C', 'E']"
35,good,"['D', 'F', 'A', 'C', 'B']"
36,good,"['D', 'A', 'E', 'C', 'F']"
37,good,"['A', 'D', 'E', 'F', 'M']"
38,good,"['A', 'D', 'E', 'B', 'F']"
39,good,"['D', 'A', 'B', 'F', 'J']"
40,good,"['D', 'A', 'C', 'F', 'I']"
41,good,"['D', 'A', 'C', 'F', 'G']"
42,good,"['D', 'E', 'F', 'G', 'I']"
43,good,"['D', 'A', 'B', 'G', 'E']"
44,good,"['D', 'A', 'F', 'I', 'B']"
45,bad,"['T', 'h', 'e', 'd', 'a']"
46,good,"['D', 'C', 'G', 'B', 'F']"
47,good,"['D', 'B', 'I', 'J', 'G']"
48,good,"['A', 'D', 'F', 'B', 'G']"
49,good,"['A', 'D', 'F', 'G', 'C']"
50,good,"['D', 'A', 'C', 'F', 'M']"
51,good,"['D', 'A', 'I', 'J', 'B']"
52,good,"['D', 'C', 'A', 'B', 'F']"
53,good,"['D', 'A', 'E', 'F', 'G']"
54,good,"['D', 'C', 'A', 'E', 'M']"
55,good,"['D', 'E', 'G', 'B', 'C']"
56,good,"['D', 'A', 'B', 'H', 'C']"
57,good,"['D', 'E', 'F', 'A', 'B']"
58,good,"['D', 'G', 'I', 'B', 'A']"
59,good,"['D', 'A', 'B', 'F', 'M']"
60,good,"['D', 'A', 'B', 'C', 'E']"
61,good,"['D', 'A', 'B', 'C', 'F']"
62,good,"['D', 'A', 'F', 'I', 'G']"
63,good,"['D', 'A', 'B', 'C', 'E']"
64,good,"['A', 'C', 'D', 'F', 'G']"
65,good,"['D', 'F', 'A', 'C', 'E']"
66,good,"['D', 'A', 'E', 'F', 'J']"
67,good,"['A', 'D', 'E', 'F', 'M']"
68,good,"['D', 'A', 'F', 'G', 'H']"
69,good,"['A', 'D', 'F', 'B', 'E']"
70,good,"['D', 'E', 'C', 'A', 'B']"
71,good,"['D', 'A', 'G', 'E', 'F']"
72,good,"['D', 'C', 'F', 'A', 'B']"
73,bad,"['T', 'h', 'e', 'r', 'e']"
74,good,"['A', 'D', 'F', 'G', 'I']"
75,good,"['A', 'D', 'C', 'E', 'F']"
76,good,"['A', 'B', 'C', 'D', 'E']"
77,good,"['A', 'B', 'D', 'E', 'F']"
78,good,"['D', 'B', 'F', 'C', 'A']"
79,good,"['A', 'B', 'D', 'E', 'F']"
80,good,"['D', 'A', 'F', 'M', 'H']"
81,good,"['A', 'D', 'C', 'B', 'G']"
82,good,"['D', 'A', 'G', 'H', 'F']"
83,good,"['D', 'A', 'F', 'C', 'B']"
84,good,"['A', 'D', 'C', 'B', 'I']"
85,good,"['D', 'C', 'A', 'B', 'I']"
86,unsolvable,"['A', 'B', 'C', 'D', 'E']"
87,good,"['A', 'D', 'E', 'F', 'G']"
88,good,"['A', 'D', 'M', 'B', 'F']"
89,good,"['D', 'A', 'B', 'C', 'E']"
90,good,"['D', 'A', 'C', 'B', 'E']"
91,good,"['A', 'D', 'F', 'H', 'M']"
92,good,"['D', 'A', 'B', 'C', 'F']"
93,good,"['D', 'A', 'I', 'C', 'B']"
94,good,"['A', 'B', 'C', 'D', 'E']"
95,good,"['D', 'E', 'F', 'G', 'B']"
96,good,"['A', 'D', 'C', 'E', 'F']"
97,good,"['A', 'D', 'E', 'K', 'M']"
98,good,"['A', 'D', 'E', 'F', 'G']"
99,good,"['D', 'A', 'E', 'F', 'C']"
