index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'D', 'B', 'C']"
1,bad,"['A', 'B', 'C', 'D']"
2,bad,"['A', 'C', 'B', 'D']"
3,bad,"['A', 'C', 'D', 'B']"
4,bad,"['A', 'C', 'B', 'D']"
5,bad,"['A', 'C', 'B', 'D']"
6,bad,"['A', 'D', 'B', 'C']"
7,bad,"['A', 'B', 'C', 'D']"
8,bad,"['A', 'B', 'C', 'D']"
9,unsolvable,"['A', 'B', 'C', 'D']"
10,unsolvable,"['A', 'B', 'D', 'C']"
11,bad,"['A', 'C', 'B', 'D']"
12,bad,"['D', 'A', 'B', 'C']"
13,bad,"['A', 'B', 'D', 'C']"
14,bad,"['A', 'D', 'B', 'C']"
15,bad,"['A', 'D', 'C', 'B']"
16,bad,"['A', 'D', 'B', 'C']"
17,bad,"['B', 'A', 'C', 'D']"
18,unsolvable,"['B', 'A', 'D', 'C']"
19,bad,"['A', 'B', 'C', 'D']"
20,bad,"['B', 'A', 'C', 'D']"
21,bad,"['A', 'C', 'B', 'D']"
22,bad,"['A', 'B', 'C', 'D']"
23,bad,"['A', 'D', 'B', 'C']"
24,bad,"['A', 'B', 'C', 'D']"
25,bad,"['A', 'B', 'C', 'D']"
26,bad,"['A', 'C', 'B', 'D']"
27,bad,"['A', 'D', 'B', 'C']"
28,bad,"['A', 'B', 'D', 'C']"
29,unsolvable,"['A', 'D', 'B', 'C']"
30,bad,"['A', 'B', 'C', 'D']"
31,bad,"['A', 'C', 'B', 'D']"
32,bad,"['A', 'C', 'B', 'D']"
33,bad,"['A', 'C', 'B', 'D']"
34,bad,"['A', 'B', 'C', 'D']"
35,bad,"['A', 'D', 'B', 'C']"
36,bad,"['A', 'D', 'B', 'C']"
37,bad,"['A', 'C', 'B', 'D']"
38,bad,"['A', 'C', 'B', 'D']"
39,bad,"['A', 'B', 'C', 'D']"
40,bad,"['A', 'C', 'B', 'D']"
41,bad,"['A', 'C', 'B', 'D']"
42,bad,"['A', 'B', 'C', 'D']"
43,bad,"['A', 'B', 'D', 'C']"
44,bad,"['A', 'D', 'B', 'C']"
45,bad,"['A', 'B', 'C', 'D']"
46,bad,"['A', 'B', 'D', 'C']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,bad,"['A', 'B', 'C', 'D']"
49,unsolvable,"['D', 'A', 'B', 'C']"
50,bad,"['B', 'A', 'C', 'D']"
51,bad,"['A', 'B', 'C', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,bad,"['A', 'B', 'D', 'C']"
54,bad,"['A', 'B', 'D', 'C']"
55,bad,"['A', 'D', 'B', 'C']"
56,bad,"['A', 'B', 'C', 'D']"
57,bad,"['A', 'B', 'C', 'D']"
58,bad,"['A', 'B', 'C', 'D']"
59,bad,"['B', 'A', 'D', 'C']"
60,bad,"['A', 'B', 'D', 'C']"
61,bad,"['A', 'B', 'D', 'C']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,bad,"['A', 'B', 'C', 'D']"
64,bad,"['A', 'D', 'C', 'B']"
65,bad,"['A', 'C', 'B', 'D']"
66,unsolvable,"['A', 'D', 'B', 'C']"
67,bad,"['A', 'D', 'B', 'C']"
68,bad,"['A', 'B', 'D', 'C']"
69,bad,"['A', 'D', 'C', 'B']"
70,bad,"['A', 'C', 'D', 'B']"
71,bad,"['A', 'C', 'D', 'B']"
72,bad,"['A', 'D', 'B', 'C']"
73,bad,"['A', 'D', 'B', 'C']"
74,bad,"['A', 'C', 'B', 'D']"
75,bad,"['A', 'B', 'D', 'C']"
76,unsolvable,"['A', 'D', 'B', 'C']"
77,bad,"['A', 'B', 'C', 'D']"
78,bad,"['A', 'C', 'B', 'D']"
79,bad,"['A', 'B', 'D', 'C']"
80,bad,"['A', 'B', 'D', 'C']"
81,bad,"['A', 'B', 'C', 'D']"
82,bad,"['A', 'B', 'C', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,bad,"['A', 'C', 'D', 'B']"
85,bad,"['A', 'C', 'B', 'D']"
86,bad,"['A', 'B', 'D', 'C']"
87,bad,"['A', 'B', 'C', 'D']"
88,bad,"['A', 'C', 'B', 'D']"
89,bad,"['A', 'D', 'B', 'C']"
90,bad,"['A', 'C', 'B', 'D']"
91,bad,"['A', 'B', 'C', 'D']"
92,bad,"['A', 'B', 'C', 'D']"
93,bad,"['A', 'B', 'D', 'C']"
94,bad,"['A', 'D', 'B', 'C']"
95,bad,"['A', 'C', 'B', 'D']"
96,bad,"['A', 'B', 'C', 'D']"
97,bad,"['A', 'B', 'D', 'C']"
98,bad,"['A', 'B', 'C', 'D']"
99,bad,"['A', 'B', 'D', 'C']"
