prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1850.0,131.0,0.0555,0.007859999999999999,0.06336
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,116.0,0.0555,0.00696,0.06246
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,69.0,0.0555,0.00414,0.05964
1850.0,108.0,0.0555,0.00648,0.06198
1850.0,172.0,0.0555,0.010320000000000001,0.06582
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,85.0,0.0555,0.0050999999999999995,0.0606
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,108.0,0.0555,0.00648,0.06198
1850.0,112.0,0.0555,0.006719999999999999,0.06222
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,80.0,0.0555,0.0048,0.0603
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,191.0,0.0555,0.01146,0.06696
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,138.0,0.0555,0.00828,0.06378
1850.0,121.0,0.0555,0.00726,0.06276
1850.0,125.0,0.0555,0.0075,0.063
1850.0,115.0,0.0555,0.0069,0.0624
1850.0,101.0,0.0555,0.006059999999999999,0.061560000000000004
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,60.0,0.0555,0.0035999999999999995,0.0591
1850.0,289.0,0.0555,0.01734,0.07284
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,85.0,0.0555,0.0050999999999999995,0.0606
1850.0,107.0,0.0555,0.00642,0.06192
1850.0,172.0,0.0555,0.010320000000000001,0.06582
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,93.0,0.0555,0.00558,0.06108
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,160.0,0.0555,0.0096,0.0651
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,85.0,0.0555,0.0050999999999999995,0.0606
1850.0,140.0,0.0555,0.008400000000000001,0.0639
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,222.0,0.0555,0.01332,0.06882
1850.0,101.0,0.0555,0.006059999999999999,0.061560000000000004
1850.0,104.0,0.0555,0.00624,0.06174
1850.0,99.0,0.0555,0.005939999999999999,0.06144
1850.0,100.0,0.0555,0.006,0.0615
1850.0,130.0,0.0555,0.0078,0.0633
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,100.0,0.0555,0.006,0.0615
1850.0,118.0,0.0555,0.00708,0.06258
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,111.0,0.0555,0.00666,0.06216
1850.0,90.0,0.0555,0.005399999999999999,0.0609
1850.0,115.0,0.0555,0.0069,0.0624
1850.0,100.0,0.0555,0.006,0.0615
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,122.0,0.0555,0.007319999999999999,0.06282
1850.0,197.0,0.0555,0.01182,0.06732
1850.0,100.0,0.0555,0.006,0.0615
1850.0,117.0,0.0555,0.007019999999999999,0.06252
1850.0,113.0,0.0555,0.00678,0.06228
1850.0,110.0,0.0555,0.0066,0.0621
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,60.0,0.0555,0.0035999999999999995,0.0591
1850.0,111.0,0.0555,0.00666,0.06216
1850.0,100.0,0.0555,0.006,0.0615
1850.0,102.0,0.0555,0.0061200000000000004,0.06162
1850.0,298.0,0.0555,0.01788,0.07338
1850.0,176.0,0.0555,0.010559999999999998,0.06606
1850.0,183.0,0.0555,0.01098,0.06648
1850.0,60.0,0.0555,0.0035999999999999995,0.0591
1850.0,77.0,0.0555,0.00462,0.06012
1850.0,105.0,0.0555,0.0063,0.0618
1850.0,106.0,0.0555,0.006359999999999999,0.06186
1850.0,119.0,0.0555,0.00714,0.06264
1850.0,201.0,0.0555,0.01206,0.06756
1850.0,157.0,0.0555,0.00942,0.06492
1850.0,110.0,0.0555,0.0066,0.0621
1850.0,118.0,0.0555,0.00708,0.06258
1850.0,64.0,0.0555,0.0038399999999999997,0.059340000000000004
1850.0,101.0,0.0555,0.006059999999999999,0.061560000000000004
1850.0,72.0,0.0555,0.00432,0.05982
1850.0,109.0,0.0555,0.00654,0.06204
1850.0,103.0,0.0555,0.00618,0.06168
1850.0,149.0,0.0555,0.00894,0.06444
1850.0,93.0,0.0555,0.00558,0.06108
1850.0,110.0,0.0555,0.0066,0.0621
1850.0,94.0,0.0555,0.00564,0.06114
1850.0,92.0,0.0555,0.00552,0.06102
1850.0,171.0,0.0555,0.01026,0.06576
1850.0,138.0,0.0555,0.00828,0.06378
