index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'D', 'G', 'H']"
1,good,"['C', 'G', 'I', 'A', 'D']"
2,good,"['A', 'C', 'G', 'I', 'D']"
3,good,"['A', 'C', 'G', 'I', 'D']"
4,good,"['A', 'C', 'G', 'I', 'D']"
5,good,"['A', 'C', 'I', 'G', 'J']"
6,good,"['A', 'C', 'G', 'H', 'I']"
7,good,"['A', 'C', 'G', 'I', 'J']"
8,good,"['A', 'C', 'G', 'I', 'D']"
9,good,"['A', 'C', 'G', 'I', 'D']"
10,good,"['A', 'C', 'D', 'G', 'H']"
11,good,"['A', 'D', 'G', 'H', 'I']"
12,good,"['A', 'C', 'I', 'G', 'D']"
13,good,"['A', 'D', 'C', 'G', 'I']"
14,good,"['A', 'C', 'I', 'G', 'D']"
15,good,"['A', 'G', 'I', 'C', 'D']"
16,good,"['A', 'C', 'G', 'I', 'D']"
17,good,"['A', 'C', 'G', 'I', 'D']"
18,good,"['A', 'C', 'G', 'I', 'D']"
19,good,"['A', 'D', 'C', 'G', 'H']"
20,good,"['A', 'C', 'G', 'H', 'I']"
21,good,"['A', 'C', 'I', 'G', 'D']"
22,good,"['A', 'D', 'G', 'H', 'I']"
23,good,"['A', 'D', 'C', 'I', 'G']"
24,good,"['A', 'C', 'G', 'I', 'D']"
25,good,"['A', 'C', 'I', 'G', 'J']"
26,good,"['A', 'C', 'I', 'G', 'D']"
27,good,"['A', 'G', 'C', 'I', 'D']"
28,good,"['A', 'C', 'G', 'I', 'D']"
29,good,"['A', 'C', 'D', 'G', 'H']"
30,good,"['A', 'C', 'G', 'I', 'D']"
31,good,"['A', 'C', 'G', 'I', 'D']"
32,good,"['A', 'C', 'D', 'G', 'I']"
33,good,"['A', 'C', 'G', 'I', 'D']"
34,good,"['A', 'C', 'G', 'I', 'D']"
35,good,"['A', 'C', 'I', 'D', 'G']"
36,good,"['A', 'C', 'G', 'I', 'D']"
37,good,"['A', 'D', 'C', 'G', 'I']"
38,good,"['A', 'D', 'G', 'I', 'C']"
39,good,"['A', 'C', 'G', 'H', 'I']"
40,good,"['A', 'C', 'G', 'I', 'J']"
41,good,"['A', 'G', 'I', 'C', 'D']"
42,good,"['A', 'G', 'I', 'C', 'D']"
43,good,"['A', 'C', 'G', 'I', 'J']"
44,good,"['A', 'G', 'I', 'J', 'C']"
45,good,"['A', 'D', 'G', 'C', 'I']"
46,good,"['A', 'C', 'G', 'H', 'I']"
47,good,"['A', 'C', 'G', 'I', 'J']"
48,good,"['A', 'C', 'G', 'I', 'J']"
49,good,"['A', 'D', 'G', 'H', 'I']"
50,good,"['A', 'D', 'G', 'H', 'I']"
51,good,"['A', 'C', 'G', 'I', 'D']"
52,good,"['A', 'G', 'I', 'C', 'D']"
53,good,"['A', 'C', 'G', 'I', 'J']"
54,good,"['A', 'C', 'D', 'G', 'I']"
55,good,"['A', 'D', 'C', 'I', 'G']"
56,good,"['A', 'C', 'I', 'G', 'D']"
57,good,"['A', 'C', 'G', 'H', 'I']"
58,good,"['A', 'C', 'G', 'I', 'D']"
59,good,"['A', 'C', 'G', 'H', 'I']"
60,good,"['A', 'C', 'G', 'H', 'I']"
61,good,"['A', 'C', 'G', 'I', 'D']"
62,good,"['A', 'C', 'D', 'B', 'G']"
63,good,"['A', 'G', 'I', 'C', 'D']"
64,good,"['A', 'D', 'G', 'I', 'J']"
65,good,"['A', 'C', 'D', 'G', 'H']"
66,good,"['A', 'C', 'G', 'I', 'D']"
67,good,"['A', 'C', 'G', 'I', 'D']"
68,good,"['A', 'D', 'G', 'H', 'I']"
69,good,"['A', 'G', 'C', 'I', 'D']"
70,good,"['A', 'C', 'G', 'I', 'E']"
71,good,"['A', 'C', 'G', 'I', 'D']"
72,good,"['A', 'C', 'I', 'G', 'D']"
73,good,"['A', 'D', 'E', 'C', 'G']"
74,good,"['A', 'C', 'D', 'E', 'G']"
75,good,"['G', 'I', 'C', 'F', 'B']"
76,good,"['A', 'C', 'D', 'G', 'H']"
77,good,"['A', 'C', 'G', 'H', 'I']"
78,good,"['A', 'C', 'G', 'I', 'D']"
79,good,"['A', 'D', 'G', 'I', 'C']"
80,good,"['A', 'C', 'I', 'D', 'B']"
81,good,"['A', 'C', 'G', 'I', 'D']"
82,good,"['A', 'C', 'G', 'I', 'D']"
83,good,"['A', 'C', 'G', 'H', 'I']"
84,good,"['A', 'C', 'G', 'I', 'D']"
85,good,"['A', 'C', 'D', 'G', 'H']"
86,good,"['A', 'C', 'G', 'I', 'B']"
87,good,"['A', 'G', 'I', 'C', 'J']"
88,good,"['A', 'C', 'I', 'G', 'D']"
89,good,"['A', 'G', 'D', 'H', 'I']"
90,good,"['A', 'C', 'G', 'J', 'D']"
91,good,"['A', 'D', 'G', 'I', 'C']"
92,good,"['A', 'C', 'I', 'G', 'D']"
93,good,"['A', 'C', 'G', 'I', 'D']"
94,good,"['A', 'C', 'G', 'I', 'D']"
95,good,"['A', 'C', 'G', 'I', 'D']"
96,good,"['A', 'C', 'G', 'I', 'D']"
97,good,"['A', 'C', 'G', 'I', 'D']"
98,good,"['A', 'C', 'G', 'I', 'J']"
99,good,"['A', 'C', 'G', 'I', 'D']"
