index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'B', 'C', 'D', 'F']"
1,good,"['A', 'B', 'C', 'E', 'F']"
2,good,"['A', 'B', 'C', 'D', 'E']"
3,good,"['A', 'B', 'C', 'E', 'D']"
4,good,"['B', 'A', 'C', 'E', 'D']"
5,good,"['B', 'A', 'C', 'E', 'D']"
6,good,"['A', 'B', 'C', 'F', 'D']"
7,good,"['A', 'B', 'E', 'C', 'D']"
8,good,"['A', 'B', 'C', 'E', 'D']"
9,good,"['A', 'B', 'E', 'C', 'D']"
10,good,"['B', 'A', 'E', 'C', 'F']"
11,good,"['A', 'B', 'C', 'D', 'E']"
12,good,"['A', 'B', 'E', 'C', 'D']"
13,good,"['A', 'B', 'C', 'E', 'F']"
14,good,"['A', 'B', 'C', 'D', 'E']"
15,good,"['A', 'B', 'C', 'E', 'D']"
16,good,"['A', 'B', 'C', 'D', 'E']"
17,good,"['A', 'B', 'F', 'C', 'D']"
18,good,"['A', 'B', 'C', 'F', 'D']"
19,unsolvable,"['B', 'A', 'C', 'D', 'F']"
20,good,"['A', 'B', 'C', 'F', 'E']"
21,good,"['B', 'A', 'C', 'E', 'D']"
22,good,"['B', 'A', 'D', 'C', 'E']"
23,good,"['A', 'B', 'C', 'E', 'D']"
24,good,"['A', 'B', 'C', 'D', 'E']"
25,good,"['A', 'B', 'C', 'F', 'D']"
26,good,"['B', 'A', 'C', 'D', 'E']"
27,good,"['A', 'B', 'C', 'D', 'E']"
28,good,"['A', 'B', 'C', 'E', 'D']"
29,good,"['B', 'A', 'D', 'C', 'E']"
30,good,"['A', 'B', 'C', 'D', 'E']"
31,good,"['A', 'B', 'C', 'E', 'F']"
32,good,"['A', 'B', 'C', 'E', 'D']"
33,good,"['B', 'A', 'D', 'C', 'E']"
34,good,"['B', 'A', 'F', 'D', 'C']"
35,good,"['A', 'B', 'E', 'C', 'D']"
36,good,"['B', 'A', 'C', 'D', 'E']"
37,good,"['B', 'A', 'C', 'E', 'F']"
38,good,"['B', 'A', 'C', 'F', 'E']"
39,good,"['A', 'B', 'C', 'E', 'D']"
40,good,"['B', 'A', 'E', 'F', 'C']"
41,good,"['A', 'B', 'C', 'E', 'D']"
42,good,"['B', 'A', 'E', 'C', 'D']"
43,good,"['B', 'C', 'E', 'A', 'D']"
44,good,"['B', 'A', 'E', 'D', 'C']"
45,good,"['C', 'A', 'E', 'B', 'F']"
46,good,"['B', 'A', 'D', 'C', 'F']"
47,good,"['A', 'B', 'C', 'E', 'D']"
48,unsolvable,"['A', 'B', 'C', 'E', 'F']"
49,good,"['A', 'B', 'C', 'D', 'E']"
50,good,"['A', 'B', 'C', 'D', 'F']"
51,good,"['B', 'A', 'E', 'C', 'D']"
52,good,"['A', 'B', 'F', 'C', 'E']"
53,good,"['A', 'B', 'C', 'F', 'D']"
54,good,"['A', 'B', 'C', 'F', 'D']"
55,good,"['B', 'A', 'E', 'C', 'D']"
56,unsolvable,"['B', 'A', 'C', 'D', 'E']"
57,good,"['B', 'A', 'C', 'D', 'E']"
58,unsolvable,"['C', 'B', 'F', 'E', 'A']"
59,good,"['B', 'A', 'D', 'C', 'E']"
60,good,"['A', 'B', 'C', 'E', 'D']"
61,good,"['A', 'B', 'C', 'E', 'D']"
62,good,"['A', 'B', 'C', 'D', 'F']"
63,good,"['B', 'A', 'C', 'E', 'D']"
64,good,"['A', 'B', 'D', 'C', 'E']"
65,good,"['A', 'B', 'C', 'D', 'E']"
66,good,"['B', 'C', 'A', 'E', 'D']"
67,good,"['A', 'B', 'E', 'F', 'C']"
68,good,"['A', 'B', 'C', 'E', 'F']"
69,good,"['A', 'C', 'B', 'E', 'D']"
70,good,"['A', 'B', 'C', 'E', 'D']"
71,unsolvable,"['E', 'A', 'B', 'C', 'F']"
72,good,"['B', 'A', 'C', 'D', 'E']"
73,good,"['B', 'A', 'C', 'D', 'E']"
74,good,"['A', 'B', 'C', 'E', 'F']"
75,good,"['A', 'B', 'C', 'D', 'E']"
76,good,"['A', 'B', 'C', 'D', 'E']"
77,unsolvable,"['B', 'A', 'C', 'D', 'F']"
78,good,"['B', 'A', 'C', 'F', 'E']"
79,good,"['B', 'A', 'C', 'E', 'D']"
80,good,"['B', 'A', 'E', 'C', 'F']"
81,good,"['A', 'B', 'C', 'F', 'D']"
82,good,"['A', 'E', 'B', 'F', 'C']"
83,good,"['C', 'B', 'A', 'D', 'F']"
84,good,"['B', 'A', 'E', 'C', 'D']"
85,good,"['A', 'B', 'C', 'D', 'E']"
86,good,"['B', 'A', 'F', 'E', 'C']"
87,good,"['B', 'A', 'C', 'E', 'F']"
88,good,"['A', 'B', 'C', 'E', 'F']"
89,good,"['B', 'A', 'F', 'E', 'C']"
90,good,"['A', 'B', 'F', 'C', 'D']"
91,good,"['A', 'F', 'C', 'D', 'B']"
92,good,"['A', 'B', 'C', 'F', 'D']"
93,good,"['A', 'B', 'C', 'F', 'D']"
94,good,"['A', 'C', 'B', 'F', 'E']"
95,good,"['B', 'A', 'D', 'C', 'E']"
96,good,"['A', 'B', 'C', 'E', 'D']"
97,good,"['A', 'B', 'F', 'C', 'D']"
98,good,"['B', 'A', 'C', 'F', 'D']"
99,good,"['B', 'A', 'C', 'E', 'D']"
