index,good/bad/unsolvable,reply
0,good,"['A', 'D', 'C', 'B']"
1,good,"['A', 'B', 'C', 'D']"
2,good,"['A', 'B', 'C', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'B', 'C', 'D']"
5,good,"['A', 'B', 'C', 'D']"
6,good,"['D', 'B', 'C', 'A']"
7,good,"['B', 'A', 'D', 'C']"
8,good,"['A', 'C', 'B', 'D']"
9,unsolvable,"['A', 'D', 'C', 'B']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['A', 'B', 'C', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['D', 'C', 'B', 'A']"
15,good,"['A', 'B', 'C', 'D']"
16,good,"['A', 'C', 'B', 'D']"
17,bad,"['T', 'h', 'e', 'f']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D']"
20,unsolvable,"['A', 'B', 'C', 'D']"
21,good,"['A', 'B', 'C', 'D']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['B', 'C', 'A', 'D']"
24,unsolvable,"['A', 'B', 'C', 'D']"
25,good,"['A', 'C', 'B', 'D']"
26,bad,"['T', 'h', 'e', 'f']"
27,unsolvable,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'B', 'C', 'D']"
30,good,"['A', 'B', 'C', 'D']"
31,good,"['A', 'B', 'C', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['B', 'C', 'D', 'A']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'B', 'D']"
36,good,"['D', 'B', 'C', 'A']"
37,good,"['B', 'C', 'A', 'D']"
38,good,"['D', 'A', 'B', 'C']"
39,unsolvable,"['A', 'B', 'C', 'D']"
40,good,"['C', 'A', 'B', 'D']"
41,good,"['A', 'C', 'B', 'D']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['B', 'C', 'D', 'A']"
44,good,"['B', 'D', 'C', 'A']"
45,good,"['C', 'A', 'B', 'D']"
46,good,"['B', 'C', 'D', 'A']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'B', 'C', 'D']"
49,good,"['A', 'B', 'C', 'D']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['C', 'A', 'B', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['C', 'A', 'B', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['B', 'C', 'A', 'D']"
56,good,"['B', 'C', 'A', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'C', 'B', 'D']"
59,bad,"['l', 'e', 's', 's']"
60,good,"['C', 'B', 'D', 'A']"
61,good,"['A', 'B', 'C', 'D']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['B', 'C', 'A', 'D']"
64,good,"['A', 'B', 'C', 'D']"
65,good,"['A', 'B', 'C', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,unsolvable,"['A', 'B', 'C', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['B', 'C', 'D', 'A']"
70,good,"['A', 'B', 'C', 'D']"
71,good,"['A', 'B', 'C', 'D']"
72,good,"['A', 'B', 'C', 'D']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'B', 'C', 'D']"
75,good,"['A', 'D', 'B', 'C']"
76,good,"['A', 'B', 'C', 'D']"
77,good,"['A', 'B', 'C', 'D']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['A', 'B', 'C', 'D']"
80,good,"['D', 'C', 'B', 'A']"
81,good,"['B', 'C', 'A', 'D']"
82,good,"['B', 'C', 'A', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['D', 'A', 'B', 'C']"
85,good,"['A', 'C', 'D', 'B']"
86,bad,"['0', 'A', 'D', 'a']"
87,good,"['A', 'B', 'C', 'D']"
88,good,"['A', 'C', 'B', 'D']"
89,good,"['C', 'B', 'D', 'A']"
90,good,"['A', 'B', 'C', 'D']"
91,good,"['A', 'B', 'C', 'D']"
92,bad,"['T', 'h', 'e', 'f']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['D', 'B', 'C', 'A']"
96,good,"['A', 'B', 'C', 'D']"
97,unsolvable,"['A', 'B', 'C', 'D']"
98,good,"['A', 'B', 'C', 'D']"
99,good,"['A', 'B', 'C', 'D']"
