prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
715.0,230.0,0.02145,0.0138,0.035250000000000004
715.0,203.0,0.02145,0.01218,0.03363
715.0,260.0,0.02145,0.0156,0.03705
715.0,152.0,0.02145,0.00912,0.03057
715.0,250.0,0.02145,0.015,0.036449999999999996
715.0,191.0,0.02145,0.01146,0.03291
715.0,268.0,0.02145,0.016079999999999997,0.037529999999999994
715.0,183.0,0.02145,0.01098,0.03243
715.0,274.0,0.02145,0.016439999999999996,0.03788999999999999
715.0,90.0,0.02145,0.005399999999999999,0.02685
715.0,164.0,0.02145,0.00984,0.03129
715.0,178.0,0.02145,0.01068,0.03213
715.0,142.0,0.02145,0.00852,0.02997
715.0,104.0,0.02145,0.00624,0.02769
715.0,288.0,0.02145,0.01728,0.03873
715.0,211.0,0.02145,0.01266,0.03411
715.0,257.0,0.02145,0.01542,0.03687
715.0,183.0,0.02145,0.01098,0.03243
715.0,120.0,0.02145,0.007199999999999999,0.02865
715.0,109.0,0.02145,0.00654,0.02799
715.0,65.0,0.02145,0.0039,0.02535
715.0,301.0,0.02145,0.01806,0.03951
715.0,262.0,0.02145,0.015719999999999998,0.037169999999999995
715.0,140.0,0.02145,0.008400000000000001,0.02985
715.0,117.0,0.02145,0.007019999999999999,0.02847
715.0,209.0,0.02145,0.012539999999999999,0.03399
715.0,232.0,0.02145,0.01392,0.03537
715.0,90.0,0.02145,0.005399999999999999,0.02685
715.0,304.0,0.02145,0.01824,0.03969
715.0,144.0,0.02145,0.00864,0.03009
715.0,217.0,0.02145,0.01302,0.03447
715.0,195.0,0.02145,0.011699999999999999,0.03315
715.0,271.0,0.02145,0.016259999999999997,0.037709999999999994
715.0,215.0,0.02145,0.0129,0.03435
715.0,100.0,0.02145,0.006,0.027450000000000002
715.0,144.0,0.02145,0.00864,0.03009
715.0,173.0,0.02145,0.010379999999999999,0.03183
715.0,195.0,0.02145,0.011699999999999999,0.03315
715.0,230.0,0.02145,0.0138,0.035250000000000004
715.0,152.0,0.02145,0.00912,0.03057
715.0,193.0,0.02145,0.01158,0.033030000000000004
715.0,306.0,0.02145,0.018359999999999998,0.03981
715.0,273.0,0.02145,0.01638,0.03783
715.0,210.0,0.02145,0.0126,0.03405
715.0,200.0,0.02145,0.012,0.03345
715.0,204.0,0.02145,0.012240000000000001,0.03369
715.0,232.0,0.02145,0.01392,0.03537
715.0,93.0,0.02145,0.00558,0.02703
715.0,222.0,0.02145,0.01332,0.03477
715.0,213.0,0.02145,0.01278,0.03423
715.0,261.0,0.02145,0.01566,0.037110000000000004
715.0,297.0,0.02145,0.01782,0.03927
715.0,96.0,0.02145,0.0057599999999999995,0.027209999999999998
715.0,263.0,0.02145,0.01578,0.03723
715.0,200.0,0.02145,0.012,0.03345
715.0,148.0,0.02145,0.008879999999999999,0.03033
715.0,193.0,0.02145,0.01158,0.033030000000000004
715.0,283.0,0.02145,0.016980000000000002,0.038430000000000006
715.0,211.0,0.02145,0.01266,0.03411
715.0,165.0,0.02145,0.0099,0.03135
715.0,177.0,0.02145,0.01062,0.03207
715.0,264.0,0.02145,0.01584,0.037290000000000004
715.0,150.0,0.02145,0.009,0.030449999999999998
715.0,202.0,0.02145,0.012119999999999999,0.03357
715.0,171.0,0.02145,0.01026,0.03171
715.0,288.0,0.02145,0.01728,0.03873
715.0,152.0,0.02145,0.00912,0.03057
715.0,88.0,0.02145,0.005279999999999999,0.02673
715.0,199.0,0.02145,0.01194,0.03339
715.0,251.0,0.02145,0.015059999999999999,0.03651
715.0,201.0,0.02145,0.01206,0.03351
715.0,258.0,0.02145,0.015479999999999999,0.03693
715.0,278.0,0.02145,0.01668,0.03813
715.0,250.0,0.02145,0.015,0.036449999999999996
715.0,258.0,0.02145,0.015479999999999999,0.03693
715.0,279.0,0.02145,0.016739999999999998,0.03819
715.0,273.0,0.02145,0.01638,0.03783
715.0,313.0,0.02145,0.018779999999999998,0.04023
715.0,158.0,0.02145,0.00948,0.03093
715.0,293.0,0.02145,0.01758,0.039029999999999995
715.0,233.0,0.02145,0.01398,0.03543
715.0,250.0,0.02145,0.015,0.036449999999999996
715.0,241.0,0.02145,0.014459999999999999,0.03591
715.0,111.0,0.02145,0.00666,0.02811
715.0,246.0,0.02145,0.01476,0.03621
715.0,248.0,0.02145,0.014879999999999999,0.03633
715.0,248.0,0.02145,0.014879999999999999,0.03633
715.0,254.0,0.02145,0.01524,0.03669
715.0,219.0,0.02145,0.013139999999999999,0.034589999999999996
715.0,268.0,0.02145,0.016079999999999997,0.037529999999999994
715.0,225.0,0.02145,0.0135,0.03495
715.0,231.0,0.02145,0.013859999999999999,0.03531
715.0,214.0,0.02145,0.01284,0.03429
715.0,182.0,0.02145,0.01092,0.032369999999999996
715.0,322.0,0.02145,0.01932,0.04077
715.0,311.0,0.02145,0.01866,0.04011
715.0,272.0,0.02145,0.01632,0.03777
715.0,156.0,0.02145,0.00936,0.03081
715.0,272.0,0.02145,0.01632,0.03777
715.0,209.0,0.02145,0.012539999999999999,0.03399
