index,good/bad/unsolvable,reply
0,good,"['E', 'D', 'A', 'F', 'B']"
1,good,"['E', 'D', 'G', 'A', 'F']"
2,good,"['E', 'D', 'H', 'I', 'A']"
3,good,"['J', 'K', 'L', 'M', 'H']"
4,good,"['G', 'D', 'A', 'B', 'E']"
5,good,"['G', 'D', 'E', 'F', 'B']"
6,good,"['E', 'D', 'J', 'H', 'B']"
7,good,"['E', 'D', 'J', 'A', 'F']"
8,good,"['G', 'D', 'E', 'J', 'A']"
9,good,"['E', 'D', 'A', 'B', 'C']"
10,good,"['L', 'C', 'A', 'F', 'B']"
11,good,"['G', 'C', 'F', 'B', 'A']"
12,good,"['E', 'D', 'I', 'J', 'K']"
13,good,"['E', 'D', 'A', 'C', 'M']"
14,good,"['G', 'D', 'E', 'J', 'A']"
15,good,"['C', 'F', 'A', 'B', 'E']"
16,good,"['I', 'K', 'J', 'H', 'G']"
17,good,"['E', 'D', 'A', 'B', 'F']"
18,good,"['E', 'D', 'B', 'F', 'A']"
19,good,"['E', 'D', 'I', 'J', 'K']"
20,good,"['E', 'D', 'A', 'B', 'F']"
21,good,"['E', 'D', 'A', 'G', 'H']"
22,good,"['H', 'D', 'A', 'E', 'I']"
23,good,"['E', 'D', 'B', 'A', 'F']"
24,good,"['E', 'D', 'I', 'J', 'K']"
25,good,"['C', 'A', 'F', 'B', 'E']"
26,good,"['E', 'D', 'I', 'K', 'C']"
27,good,"['E', 'D', 'G', 'J', 'A']"
28,good,"['E', 'D', 'A', 'B', 'F']"
29,good,"['E', 'I', 'J', 'K', 'H']"
30,good,"['J', 'D', 'I', 'K', 'B']"
31,good,"['E', 'D', 'H', 'J', 'L']"
32,good,"['E', 'D', 'I', 'K', 'A']"
33,good,"['G', 'D', 'A', 'B', 'C']"
34,good,"['E', 'I', 'J', 'D', 'B']"
35,good,"['G', 'H', 'J', 'K', 'D']"
36,good,"['E', 'D', 'G', 'A', 'F']"
37,good,"['E', 'D', 'B', 'H', 'I']"
38,good,"['E', 'D', 'A', 'B', 'F']"
39,good,"['I', 'J', 'K', 'L', 'M']"
40,good,"['E', 'D', 'A', 'C', 'F']"
41,good,"['E', 'D', 'A', 'F', 'B']"
42,good,"['J', 'D', 'E', 'G', 'A']"
43,good,"['E', 'D', 'H', 'J', 'A']"
44,good,"['G', 'D', 'F', 'B', 'A']"
45,good,"['L', 'D', 'A', 'E', 'C']"
46,good,"['B', 'D', 'A', 'F', 'C']"
47,good,"['E', 'D', 'G', 'B', 'F']"
48,good,"['H', 'C', 'F', 'B', 'A']"
49,good,"['A', 'B', 'C', 'D', 'E']"
50,good,"['G', 'D', 'A', 'B', 'C']"
51,good,"['E', 'D', 'G', 'I', 'B']"
52,good,"['G', 'C', 'E', 'A', 'F']"
53,good,"['H', 'D', 'E', 'I', 'K']"
54,good,"['C', 'D', 'E', 'G', 'A']"
55,good,"['G', 'H', 'I', 'K', 'L']"
56,good,"['E', 'D', 'J', 'A', 'F']"
57,good,"['G', 'D', 'A', 'E', 'C']"
58,good,"['E', 'D', 'G', 'H', 'J']"
59,good,"['E', 'D', 'I', 'K', 'B']"
60,good,"['G', 'D', 'A', 'F', 'C']"
61,good,"['E', 'D', 'G', 'J', 'B']"
62,good,"['E', 'D', 'A', 'B', 'C']"
63,good,"['E', 'H', 'K', 'I', 'D']"
64,good,"['E', 'D', 'G', 'H', 'J']"
65,good,"['G', 'D', 'A', 'E', 'C']"
66,good,"['E', 'D', 'I', 'J', 'K']"
67,good,"['I', 'K', 'D', 'C', 'E']"
68,good,"['E', 'D', 'I', 'B', 'A']"
69,good,"['E', 'D', 'I', 'K', 'A']"
70,good,"['E', 'D', 'I', 'G', 'A']"
71,good,"['E', 'D', 'J', 'A', 'F']"
72,good,"['E', 'D', 'I', 'K', 'J']"
73,good,"['H', 'F', 'C', 'A', 'E']"
74,good,"['E', 'G', 'H', 'D', 'J']"
75,good,"['I', 'J', 'G', 'H', 'L']"
76,good,"['E', 'D', 'I', 'K', 'A']"
77,good,"['E', 'D', 'I', 'J', 'K']"
78,good,"['J', 'D', 'H', 'L', 'M']"
79,good,"['G', 'D', 'E', 'B', 'F']"
80,good,"['E', 'D', 'I', 'G', 'B']"
81,good,"['H', 'C', 'F', 'A', 'B']"
82,good,"['E', 'I', 'J', 'K', 'L']"
83,good,"['E', 'D', 'A', 'B', 'F']"
84,good,"['E', 'D', 'I', 'J', 'H']"
85,good,"['J', 'D', 'E', 'G', 'F']"
86,good,"['E', 'I', 'J', 'K', 'H']"
87,good,"['L', 'D', 'A', 'F', 'C']"
88,good,"['E', 'D', 'A', 'C', 'F']"
89,good,"['E', 'D', 'I', 'J', 'K']"
90,good,"['E', 'D', 'I', 'A', 'B']"
91,good,"['E', 'D', 'A', 'B', 'F']"
92,bad,"['I', 'T', 'h', 'e', 't']"
93,good,"['G', 'C', 'F', 'A', 'B']"
94,good,"['G', 'D', 'E', 'I', 'J']"
95,good,"['E', 'J', 'D', 'I', 'A']"
96,good,"['L', 'D', 'A', 'B', 'F']"
97,good,"['E', 'F', 'A', 'B', 'D']"
98,good,"['E', 'D', 'G', 'J', 'A']"
99,good,"['L', 'D', 'E', 'M', 'A']"
