index,good/bad/unsolvable,reply
0,unsolvable,"['B', 'A', 'C', 'E', 'F']"
1,good,"['A', 'B', 'E', 'C', 'D']"
2,good,"['A', 'B', 'C', 'D', 'E']"
3,good,"['A', 'B', 'C', 'D', 'E']"
4,good,"['A', 'B', 'C', 'D', 'E']"
5,good,"['A', 'B', 'C', 'D', 'E']"
6,good,"['A', 'B', 'C', 'E', 'D']"
7,good,"['A', 'B', 'C', 'E', 'D']"
8,good,"['A', 'B', 'C', 'D', 'E']"
9,good,"['A', 'B', 'C', 'E', 'D']"
10,good,"['A', 'B', 'C', 'E', 'F']"
11,good,"['A', 'B', 'C', 'E', 'D']"
12,good,"['A', 'B', 'C', 'D', 'E']"
13,good,"['A', 'B', 'C', 'E', 'F']"
14,good,"['A', 'B', 'C', 'D', 'E']"
15,good,"['A', 'B', 'C', 'D', 'E']"
16,good,"['A', 'B', 'C', 'E', 'D']"
17,good,"['A', 'B', 'C', 'E', 'D']"
18,good,"['A', 'B', 'C', 'D', 'E']"
19,unsolvable,"['B', 'A', 'C', 'D', 'F']"
20,good,"['A', 'B', 'C', 'D', 'E']"
21,good,"['A', 'B', 'C', 'E', 'D']"
22,good,"['A', 'B', 'C', 'D', 'E']"
23,good,"['A', 'B', 'C', 'E', 'D']"
24,good,"['A', 'B', 'C', 'D', 'E']"
25,good,"['A', 'B', 'C', 'D', 'E']"
26,good,"['B', 'C', 'A', 'E', 'D']"
27,good,"['A', 'B', 'C', 'E', 'D']"
28,good,"['A', 'B', 'C', 'D', 'E']"
29,good,"['A', 'B', 'E', 'C', 'D']"
30,good,"['A', 'B', 'C', 'E', 'F']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['A', 'B', 'C', 'D', 'E']"
33,good,"['A', 'B', 'E', 'D', 'C']"
34,good,"['A', 'B', 'C', 'D', 'E']"
35,good,"['B', 'A', 'C', 'D', 'E']"
36,good,"['A', 'B', 'C', 'D', 'E']"
37,good,"['A', 'B', 'C', 'D', 'E']"
38,good,"['B', 'C', 'A', 'E', 'D']"
39,good,"['A', 'B', 'C', 'D', 'E']"
40,good,"['A', 'B', 'C', 'D', 'E']"
41,good,"['A', 'B', 'C', 'E', 'D']"
42,good,"['A', 'B', 'C', 'E', 'D']"
43,good,"['B', 'C', 'A', 'D', 'E']"
44,good,"['A', 'B', 'C', 'D', 'E']"
45,good,"['A', 'C', 'B', 'D', 'E']"
46,good,"['A', 'B', 'D', 'E', 'C']"
47,good,"['A', 'B', 'C', 'E', 'D']"
48,unsolvable,"['A', 'B', 'C', 'E', 'F']"
49,good,"['A', 'B', 'C', 'D', 'E']"
50,good,"['A', 'B', 'C', 'D', 'E']"
51,good,"['A', 'B', 'C', 'F', 'D']"
52,good,"['A', 'B', 'C', 'F', 'E']"
53,good,"['A', 'E', 'B', 'C', 'F']"
54,good,"['A', 'B', 'C', 'D', 'E']"
55,good,"['B', 'A', 'F', 'C', 'D']"
56,unsolvable,"['A', 'B', 'C', 'D', 'E']"
57,good,"['A', 'B', 'C', 'D', 'E']"
58,unsolvable,"['A', 'B', 'C', 'D', 'E']"
59,good,"['A', 'B', 'C', 'D', 'E']"
60,good,"['A', 'B', 'C', 'D', 'E']"
61,good,"['A', 'B', 'D', 'E', 'F']"
62,good,"['A', 'B', 'C', 'E', 'D']"
63,good,"['A', 'B', 'C', 'F', 'D']"
64,good,"['A', 'B', 'C', 'E', 'F']"
65,good,"['A', 'B', 'D', 'C', 'F']"
66,good,"['A', 'B', 'C', 'D', 'E']"
67,good,"['A', 'B', 'E', 'C', 'F']"
68,good,"['A', 'B', 'C', 'E', 'D']"
69,good,"['A', 'E', 'B', 'C', 'D']"
70,good,"['A', 'B', 'C', 'E', 'D']"
71,unsolvable,"['A', 'B', 'C', 'D', 'E']"
72,good,"['A', 'B', 'C', 'E', 'F']"
73,good,"['A', 'B', 'C', 'E', 'F']"
74,good,"['A', 'B', 'C', 'F', 'D']"
75,good,"['A', 'C', 'B', 'F', 'E']"
76,good,"['A', 'B', 'C', 'D', 'E']"
77,unsolvable,"['A', 'B', 'C', 'D', 'E']"
78,good,"['A', 'B', 'C', 'E', 'D']"
79,good,"['B', 'A', 'E', 'D', 'C']"
80,good,"['A', 'B', 'C', 'E', 'D']"
81,good,"['A', 'B', 'C', 'D', 'E']"
82,good,"['A', 'B', 'C', 'D', 'E']"
83,good,"['C', 'B', 'A', 'D', 'E']"
84,good,"['A', 'B', 'E', 'D', 'F']"
85,good,"['A', 'B', 'C', 'D', 'E']"
86,good,"['A', 'B', 'C', 'F', 'D']"
87,good,"['A', 'B', 'E', 'D', 'F']"
88,good,"['A', 'B', 'C', 'E', 'D']"
89,good,"['A', 'B', 'E', 'C', 'D']"
90,good,"['A', 'B', 'C', 'D', 'E']"
91,good,"['A', 'B', 'F', 'D', 'C']"
92,good,"['A', 'B', 'C', 'D', 'E']"
93,good,"['A', 'B', 'C', 'D', 'E']"
94,good,"['A', 'B', 'C', 'F', 'E']"
95,good,"['A', 'B', 'C', 'D', 'F']"
96,good,"['A', 'B', 'C', 'D', 'E']"
97,good,"['A', 'B', 'E', 'D', 'C']"
98,good,"['B', 'A', 'F', 'C', 'E']"
99,good,"['A', 'B', 'C', 'D', 'E']"
