prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
447.0,10.0,0.00447,0.0003,0.00477
