prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1074.0,579.0,0.03222,0.03474,0.06695999999999999
1074.0,323.0,0.03222,0.019379999999999998,0.05159999999999999
1074.0,397.0,0.03222,0.02382,0.05604
1074.0,398.0,0.03222,0.02388,0.0561
1074.0,349.0,0.03222,0.020939999999999997,0.05316
1074.0,329.0,0.03222,0.019739999999999997,0.05195999999999999
1074.0,358.0,0.03222,0.02148,0.0537
1074.0,501.0,0.03222,0.03006,0.06228
1074.0,392.0,0.03222,0.02352,0.05574
1074.0,335.0,0.03222,0.020099999999999996,0.05231999999999999
1074.0,336.0,0.03222,0.02016,0.052379999999999996
1074.0,445.0,0.03222,0.026699999999999998,0.05892
1074.0,403.0,0.03222,0.02418,0.0564
1074.0,409.0,0.03222,0.02454,0.05676
1074.0,443.0,0.03222,0.02658,0.0588
1074.0,431.0,0.03222,0.02586,0.05808
1074.0,344.0,0.03222,0.020640000000000002,0.052860000000000004
1074.0,467.0,0.03222,0.02802,0.06024
1074.0,326.0,0.03222,0.019559999999999998,0.05177999999999999
1074.0,371.0,0.03222,0.02226,0.05448
1074.0,330.0,0.03222,0.0198,0.05202
1074.0,333.0,0.03222,0.01998,0.052199999999999996
1074.0,369.0,0.03222,0.02214,0.05436
1074.0,481.0,0.03222,0.02886,0.061079999999999995
1074.0,344.0,0.03222,0.020640000000000002,0.052860000000000004
1074.0,330.0,0.03222,0.0198,0.05202
1074.0,321.0,0.03222,0.01926,0.05148
1074.0,383.0,0.03222,0.02298,0.0552
1074.0,422.0,0.03222,0.02532,0.057539999999999994
1074.0,315.0,0.03222,0.0189,0.05112
1074.0,350.0,0.03222,0.021,0.05322
1074.0,379.0,0.03222,0.02274,0.054959999999999995
1074.0,345.0,0.03222,0.0207,0.052919999999999995
1074.0,377.0,0.03222,0.022619999999999998,0.05484
1074.0,369.0,0.03222,0.02214,0.05436
1074.0,474.0,0.03222,0.028439999999999997,0.06065999999999999
1074.0,363.0,0.03222,0.021779999999999997,0.05399999999999999
1074.0,328.0,0.03222,0.01968,0.0519
1074.0,333.0,0.03222,0.01998,0.052199999999999996
1074.0,392.0,0.03222,0.02352,0.05574
1074.0,381.0,0.03222,0.02286,0.05508
1074.0,344.0,0.03222,0.020640000000000002,0.052860000000000004
1074.0,330.0,0.03222,0.0198,0.05202
1074.0,351.0,0.03222,0.02106,0.053279999999999994
1074.0,470.0,0.03222,0.0282,0.06042
1074.0,439.0,0.03222,0.02634,0.05856
1074.0,441.0,0.03222,0.026459999999999997,0.058679999999999996
1074.0,354.0,0.03222,0.02124,0.053459999999999994
1074.0,429.0,0.03222,0.02574,0.05796
1074.0,419.0,0.03222,0.02514,0.057359999999999994
1074.0,379.0,0.03222,0.02274,0.054959999999999995
1074.0,416.0,0.03222,0.02496,0.057179999999999995
1074.0,395.0,0.03222,0.0237,0.05592
1074.0,328.0,0.03222,0.01968,0.0519
1074.0,327.0,0.03222,0.019620000000000002,0.05184
1074.0,363.0,0.03222,0.021779999999999997,0.05399999999999999
1074.0,562.0,0.03222,0.03372,0.06594
1074.0,383.0,0.03222,0.02298,0.0552
1074.0,576.0,0.03222,0.03456,0.06678
1074.0,357.0,0.03222,0.021419999999999998,0.05363999999999999
1074.0,354.0,0.03222,0.02124,0.053459999999999994
1074.0,435.0,0.03222,0.026099999999999998,0.05832
1074.0,387.0,0.03222,0.023219999999999998,0.055439999999999996
1074.0,314.0,0.03222,0.01884,0.051059999999999994
1074.0,347.0,0.03222,0.02082,0.053040000000000004
1074.0,349.0,0.03222,0.020939999999999997,0.05316
1074.0,397.0,0.03222,0.02382,0.05604
1074.0,486.0,0.03222,0.02916,0.06138
1074.0,332.0,0.03222,0.019919999999999997,0.05213999999999999
1074.0,350.0,0.03222,0.021,0.05322
1074.0,428.0,0.03222,0.02568,0.0579
1074.0,320.0,0.03222,0.0192,0.051419999999999993
1074.0,396.0,0.03222,0.023759999999999996,0.055979999999999995
1074.0,370.0,0.03222,0.0222,0.054419999999999996
1074.0,319.0,0.03222,0.01914,0.05136
1074.0,397.0,0.03222,0.02382,0.05604
1074.0,391.0,0.03222,0.02346,0.05568
1074.0,430.0,0.03222,0.0258,0.05802
1074.0,472.0,0.03222,0.02832,0.06054
1074.0,356.0,0.03222,0.02136,0.05358
1074.0,357.0,0.03222,0.021419999999999998,0.05363999999999999
1074.0,386.0,0.03222,0.02316,0.05538
1074.0,363.0,0.03222,0.021779999999999997,0.05399999999999999
1074.0,347.0,0.03222,0.02082,0.053040000000000004
1074.0,409.0,0.03222,0.02454,0.05676
1074.0,427.0,0.03222,0.025619999999999997,0.057839999999999996
1074.0,333.0,0.03222,0.01998,0.052199999999999996
1074.0,349.0,0.03222,0.020939999999999997,0.05316
1074.0,413.0,0.03222,0.024779999999999996,0.056999999999999995
1074.0,492.0,0.03222,0.02952,0.06174
1074.0,516.0,0.03222,0.030959999999999998,0.06318
1074.0,444.0,0.03222,0.02664,0.058859999999999996
1074.0,389.0,0.03222,0.02334,0.05556
1074.0,352.0,0.03222,0.021119999999999996,0.05334
1074.0,342.0,0.03222,0.02052,0.052739999999999995
1074.0,396.0,0.03222,0.023759999999999996,0.055979999999999995
1074.0,482.0,0.03222,0.028919999999999998,0.06114
1074.0,347.0,0.03222,0.02082,0.053040000000000004
1074.0,427.0,0.03222,0.025619999999999997,0.057839999999999996
1074.0,395.0,0.03222,0.0237,0.05592
