index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'B', 'C', 'D']"
1,good,"['C', 'B', 'A', 'D']"
2,good,"['A', 'C', 'B', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'B', 'C', 'D']"
6,good,"['B', 'A', 'C', 'D']"
7,good,"['A', 'B', 'C', 'D']"
8,good,"['A', 'D', 'C', 'B']"
9,unsolvable,"['A', 'B', 'C', 'D']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['A', 'B', 'C', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'D', 'B', 'C']"
16,good,"['A', 'B', 'C', 'D']"
17,good,"['A', 'B', 'C', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'D', 'C']"
20,good,"['A', 'C', 'B', 'D']"
21,good,"['A', 'D', 'B', 'C']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'D', 'B', 'C']"
24,good,"['A', 'D', 'C', 'B']"
25,good,"['A', 'C', 'B', 'D']"
26,good,"['A', 'C', 'B', 'D']"
27,good,"['A', 'D', 'B', 'C']"
28,good,"['A', 'B', 'D', 'C']"
29,unsolvable,"['D', 'A', 'C', 'B']"
30,good,"['A', 'B', 'C', 'D']"
31,good,"['B', 'A', 'C', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'D', 'B', 'C']"
34,good,"['A', 'D', 'B', 'C']"
35,good,"['A', 'D', 'B', 'C']"
36,good,"['B', 'A', 'C', 'D']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'B', 'C', 'D']"
39,good,"['A', 'B', 'C', 'D']"
40,good,"['A', 'B', 'C', 'D']"
41,good,"['A', 'B', 'C', 'D']"
42,good,"['A', 'B', 'C', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'B', 'C', 'D']"
46,unsolvable,"['A', 'B', 'C', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'B', 'C', 'D']"
49,good,"['D', 'C', 'B', 'A']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'C', 'D', 'B']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'B', 'C', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['C', 'A', 'D', 'B']"
56,good,"['C', 'A', 'D', 'B']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'B', 'C', 'D']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['C', 'A', 'B', 'D']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['A', 'D', 'B', 'C']"
65,good,"['A', 'C', 'B', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,good,"['A', 'C', 'B', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['A', 'B', 'C', 'D']"
70,good,"['A', 'B', 'C', 'D']"
71,good,"['A', 'C', 'B', 'D']"
72,good,"['A', 'D', 'B', 'C']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['D', 'A', 'B', 'C']"
75,good,"['A', 'C', 'D', 'B']"
76,unsolvable,"['A', 'C', 'B', 'D']"
77,good,"['B', 'A', 'C', 'D']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'C', 'D', 'B']"
81,good,"['A', 'D', 'B', 'C']"
82,good,"['A', 'B', 'C', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'C', 'D', 'B']"
85,good,"['A', 'B', 'C', 'D']"
86,good,"['A', 'D', 'B', 'C']"
87,good,"['A', 'D', 'C', 'B']"
88,good,"['A', 'C', 'D', 'B']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['D', 'A', 'C', 'B']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'D', 'C', 'B']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'D', 'B', 'C']"
95,good,"['A', 'B', 'C', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['A', 'B', 'C', 'D']"
99,good,"['A', 'D', 'B', 'C']"
