SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.367768445,33,0,0.120185794,5166.0,6,0,0,1,0.0
1,0.309933442,52,0,0.215618719,3482.0,4,0,1,0,0.0
1,1.055955236,28,2,0.307747233,2800.0,5,0,0,0,0.0
1,0.146260541,48,0,0.307958939,7500.0,8,0,1,0,2.0
1,0.106948611,81,0,0.017464338,7500.0,5,0,0,0,0.0
1,0.0,35,0,1.063587283,3333.0,13,0,1,0,0.0
1,0.034866139,51,0,0.034441805,2525.0,9,0,0,0,0.0
1,0.982458145,46,0,0.1982327639999999,8600.0,5,0,0,0,0.0
1,0.107845844,29,1,0.161941374,2080.0,8,0,0,0,0.0
1,0.062468537,43,0,0.47082525,6700.0,8,0,3,0,1.0
1,0.808674254,24,1,0.126092385,800.0,3,0,0,0,0.0
1,0.064981949,66,0,0.219121988,10500.0,6,0,1,0,2.0
1,1.996087297,34,0,0.4132665239999999,8381.0,8,0,1,0,1.0
0,0.9999999,63,0,0.1233773319999999,9166.0,4,1,1,0,0.0
1,0.24010132,41,0,0.187479187,3002.0,3,0,0,0,0.0
1,0.022425494,68,0,0.007492114,2535.0,3,0,0,0,0.0
1,0.2044430089999999,72,0,0.3465522339999999,6757.0,7,0,1,0,0.0
1,0.421508721,27,0,0.403915123,6691.0,4,0,1,0,0.0
1,0.779260609,52,1,0.4370332870000001,7900.0,18,0,2,0,0.0
1,0.113900703,68,0,0.081531268,13687.0,5,0,1,0,0.0
1,0.008946427,72,0,0.000428541,4666.0,1,0,0,0,0.0
1,0.220299103,38,0,0.5248518010000001,4385.0,9,0,1,0,0.0
1,0.00470471,79,0,0.079120251,3500.0,12,0,0,0,0.0
1,0.395300057,51,0,0.658041752,3400.0,17,0,1,0,1.0
1,0.447992407,36,0,1.055626762,3900.0,10,0,2,0,0.0
1,0.9999999,66,0,0.0,2000.0,0,1,0,0,0.0
1,0.493302223,37,0,0.259703663,11000.0,16,0,1,0,0.0
1,0.416165526,54,2,0.442261515,4580.0,17,1,2,0,1.0
1,0.79885821,34,0,0.4784347329999999,3500.0,5,0,1,0,0.0
1,0.0,51,0,0.304892681,7500.0,4,0,1,0,0.0
1,0.242903481,43,0,0.177465872,5200.0,7,0,0,0,2.0
1,0.002595133,69,1,0.248454316,13100.0,12,0,3,0,0.0
