prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1737.0,472.0,0.05211,0.02832,0.08043
1737.0,185.0,0.05211,0.0111,0.06321
1737.0,165.0,0.05211,0.0099,0.062009999999999996
1737.0,187.0,0.05211,0.011219999999999999,0.06333
1737.0,212.0,0.05211,0.012719999999999999,0.06483
1737.0,221.0,0.05211,0.01326,0.06537
1737.0,234.0,0.05211,0.014039999999999999,0.06615
1737.0,225.0,0.05211,0.0135,0.06561
1737.0,141.0,0.05211,0.008459999999999999,0.06057
1737.0,249.0,0.05211,0.01494,0.06705
1737.0,189.0,0.05211,0.01134,0.06344999999999999
1737.0,163.0,0.05211,0.009779999999999999,0.061889999999999994
1737.0,170.0,0.05211,0.010199999999999999,0.06231
1737.0,218.0,0.05211,0.01308,0.06519
1737.0,182.0,0.05211,0.01092,0.06303
1737.0,188.0,0.05211,0.01128,0.06339
1737.0,157.0,0.05211,0.00942,0.061529999999999994
1737.0,189.0,0.05211,0.01134,0.06344999999999999
1737.0,214.0,0.05211,0.01284,0.06495
1737.0,195.0,0.05211,0.011699999999999999,0.06380999999999999
1737.0,145.0,0.05211,0.0087,0.060809999999999996
1737.0,160.0,0.05211,0.0096,0.061709999999999994
1737.0,277.0,0.05211,0.01662,0.06873
1737.0,225.0,0.05211,0.0135,0.06561
1737.0,160.0,0.05211,0.0096,0.061709999999999994
1737.0,207.0,0.05211,0.01242,0.06453
1737.0,220.0,0.05211,0.0132,0.06530999999999999
1737.0,156.0,0.05211,0.00936,0.06147
1737.0,223.0,0.05211,0.01338,0.06548999999999999
1737.0,150.0,0.05211,0.009,0.06111
1737.0,219.0,0.05211,0.013139999999999999,0.06525
1737.0,234.0,0.05211,0.014039999999999999,0.06615
1737.0,171.0,0.05211,0.01026,0.062369999999999995
1737.0,157.0,0.05211,0.00942,0.061529999999999994
1737.0,189.0,0.05211,0.01134,0.06344999999999999
1737.0,189.0,0.05211,0.01134,0.06344999999999999
1737.0,149.0,0.05211,0.00894,0.06104999999999999
1737.0,141.0,0.05211,0.008459999999999999,0.06057
1737.0,220.0,0.05211,0.0132,0.06530999999999999
1737.0,312.0,0.05211,0.01872,0.07083
1737.0,455.0,0.05211,0.0273,0.07941
1737.0,174.0,0.05211,0.01044,0.06255
1737.0,158.0,0.05211,0.00948,0.06159
1737.0,177.0,0.05211,0.01062,0.06273
1737.0,1721.0,0.05211,0.10325999999999999,0.15536999999999998
1737.0,188.0,0.05211,0.01128,0.06339
1737.0,192.0,0.05211,0.011519999999999999,0.06362999999999999
1737.0,276.0,0.05211,0.01656,0.06867
1737.0,226.0,0.05211,0.01356,0.06566999999999999
1737.0,178.0,0.05211,0.01068,0.06279
1737.0,141.0,0.05211,0.008459999999999999,0.06057
1737.0,303.0,0.05211,0.018179999999999998,0.07028999999999999
1737.0,188.0,0.05211,0.01128,0.06339
1737.0,143.0,0.05211,0.00858,0.060689999999999994
1737.0,177.0,0.05211,0.01062,0.06273
1737.0,161.0,0.05211,0.00966,0.06177
1737.0,267.0,0.05211,0.01602,0.06813
1737.0,237.0,0.05211,0.014219999999999998,0.06633
1737.0,164.0,0.05211,0.00984,0.06195
1737.0,145.0,0.05211,0.0087,0.060809999999999996
1737.0,221.0,0.05211,0.01326,0.06537
1737.0,346.0,0.05211,0.020759999999999997,0.07286999999999999
1737.0,178.0,0.05211,0.01068,0.06279
1737.0,276.0,0.05211,0.01656,0.06867
1737.0,156.0,0.05211,0.00936,0.06147
1737.0,239.0,0.05211,0.01434,0.06645
1737.0,258.0,0.05211,0.015479999999999999,0.06759
1737.0,182.0,0.05211,0.01092,0.06303
1737.0,361.0,0.05211,0.02166,0.07377
1737.0,141.0,0.05211,0.008459999999999999,0.06057
1737.0,154.0,0.05211,0.00924,0.061349999999999995
1737.0,156.0,0.05211,0.00936,0.06147
1737.0,180.0,0.05211,0.010799999999999999,0.06291
1737.0,274.0,0.05211,0.016439999999999996,0.06855
1737.0,208.0,0.05211,0.01248,0.06459
1737.0,234.0,0.05211,0.014039999999999999,0.06615
1737.0,259.0,0.05211,0.01554,0.06765
1737.0,234.0,0.05211,0.014039999999999999,0.06615
1737.0,195.0,0.05211,0.011699999999999999,0.06380999999999999
1737.0,202.0,0.05211,0.012119999999999999,0.06423
1737.0,211.0,0.05211,0.01266,0.06477
1737.0,161.0,0.05211,0.00966,0.06177
1737.0,253.0,0.05211,0.015179999999999999,0.06728999999999999
1737.0,257.0,0.05211,0.01542,0.06752999999999999
1737.0,141.0,0.05211,0.008459999999999999,0.06057
1737.0,168.0,0.05211,0.01008,0.062189999999999995
1737.0,159.0,0.05211,0.00954,0.061649999999999996
1737.0,357.0,0.05211,0.021419999999999998,0.07353
1737.0,156.0,0.05211,0.00936,0.06147
1737.0,198.0,0.05211,0.011879999999999998,0.06398999999999999
1737.0,166.0,0.05211,0.009959999999999998,0.06206999999999999
1737.0,232.0,0.05211,0.01392,0.06602999999999999
1737.0,268.0,0.05211,0.016079999999999997,0.06819
1737.0,233.0,0.05211,0.01398,0.06609
1737.0,189.0,0.05211,0.01134,0.06344999999999999
1737.0,262.0,0.05211,0.015719999999999998,0.06783
1737.0,153.0,0.05211,0.009179999999999999,0.06129
1737.0,156.0,0.05211,0.00936,0.06147
1737.0,141.0,0.05211,0.008459999999999999,0.06057
1737.0,229.0,0.05211,0.01374,0.06584999999999999
