prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,355.0,0.001953,0.0007099999999999999,0.002663
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,298.0,0.001953,0.000596,0.002549
1953.0,257.0,0.001953,0.000514,0.002467
1953.0,246.0,0.001953,0.000492,0.002445
1953.0,331.0,0.001953,0.000662,0.002615
1953.0,74.0,0.001953,0.000148,0.002101
1953.0,267.0,0.001953,0.0005340000000000001,0.002487
1953.0,260.0,0.001953,0.0005200000000000001,0.0024730000000000004
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,259.0,0.001953,0.000518,0.002471
1953.0,300.0,0.001953,0.0006,0.002553
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,267.0,0.001953,0.0005340000000000001,0.002487
1953.0,243.0,0.001953,0.000486,0.002439
1953.0,495.0,0.001953,0.00099,0.0029430000000000003
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,343.0,0.001953,0.0006860000000000001,0.0026390000000000003
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,259.0,0.001953,0.000518,0.002471
1953.0,88.0,0.001953,0.000176,0.0021290000000000002
1953.0,553.0,0.001953,0.001106,0.003059
1953.0,660.0,0.001953,0.00132,0.003273
1953.0,277.0,0.001953,0.000554,0.002507
1953.0,271.0,0.001953,0.0005420000000000001,0.0024950000000000003
1953.0,417.0,0.001953,0.000834,0.002787
1953.0,521.0,0.001953,0.001042,0.0029950000000000003
1953.0,246.0,0.001953,0.000492,0.002445
1953.0,267.0,0.001953,0.0005340000000000001,0.002487
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,237.0,0.001953,0.00047400000000000003,0.0024270000000000003
1953.0,267.0,0.001953,0.0005340000000000001,0.002487
1953.0,266.0,0.001953,0.000532,0.0024850000000000002
1953.0,243.0,0.001953,0.000486,0.002439
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,274.0,0.001953,0.0005480000000000001,0.002501
1953.0,584.0,0.001953,0.001168,0.003121
1953.0,315.0,0.001953,0.00063,0.0025830000000000002
1953.0,281.0,0.001953,0.0005620000000000001,0.0025150000000000003
1953.0,274.0,0.001953,0.0005480000000000001,0.002501
1953.0,568.0,0.001953,0.001136,0.003089
1953.0,283.0,0.001953,0.0005660000000000001,0.0025190000000000004
1953.0,249.0,0.001953,0.000498,0.002451
1953.0,509.0,0.001953,0.001018,0.002971
1953.0,195.0,0.001953,0.00039,0.002343
1953.0,99.0,0.001953,0.00019800000000000002,0.002151
1953.0,268.0,0.001953,0.000536,0.002489
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,266.0,0.001953,0.000532,0.0024850000000000002
1953.0,233.0,0.001953,0.00046600000000000005,0.002419
1953.0,238.0,0.001953,0.000476,0.002429
1953.0,358.0,0.001953,0.000716,0.002669
1953.0,95.0,0.001953,0.00019,0.002143
1953.0,208.0,0.001953,0.00041600000000000003,0.002369
1953.0,266.0,0.001953,0.000532,0.0024850000000000002
1953.0,275.0,0.001953,0.00055,0.002503
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,260.0,0.001953,0.0005200000000000001,0.0024730000000000004
1953.0,90.0,0.001953,0.00017999999999999998,0.002133
1953.0,276.0,0.001953,0.0005520000000000001,0.0025050000000000003
1953.0,267.0,0.001953,0.0005340000000000001,0.002487
