index,good/bad/unsolvable,reply
0,unsolvable,"['B', 'A', 'F', 'D', 'C']"
1,good,"['A', 'B', 'E', 'F', 'C']"
2,good,"['B', 'A', 'C', 'D', 'F']"
3,good,"['B', 'A', 'D', 'E', 'C']"
4,good,"['A', 'B', 'E', 'C', 'D']"
5,good,"['B', 'A', 'C', 'E', 'F']"
6,good,"['B', 'A', 'F', 'C', 'E']"
7,good,"['B', 'A', 'F', 'E', 'C']"
8,good,"['B', 'A', 'C', 'D', 'E']"
9,good,"['B', 'F', 'A', 'C', 'D']"
10,good,"['B', 'A', 'C', 'E', 'F']"
11,good,"['A', 'B', 'C', 'D', 'E']"
12,good,"['B', 'A', 'F', 'C', 'D']"
13,good,"['A', 'B', 'C', 'E', 'D']"
14,good,"['B', 'A', 'C', 'D', 'F']"
15,good,"['A', 'B', 'E', 'F', 'C']"
16,good,"['A', 'E', 'B', 'C', 'F']"
17,good,"['B', 'A', 'D', 'C', 'E']"
18,good,"['B', 'A', 'F', 'D', 'C']"
19,good,"['A', 'B', 'F', 'C', 'E']"
20,good,"['A', 'B', 'D', 'C', 'E']"
21,good,"['A', 'B', 'C', 'D', 'E']"
22,good,"['A', 'B', 'F', 'C', 'E']"
23,good,"['A', 'B', 'D', 'C', 'E']"
24,good,"['A', 'B', 'C', 'D', 'E']"
25,good,"['B', 'D', 'F', 'A', 'C']"
26,good,"['B', 'A', 'E', 'D', 'C']"
27,good,"['B', 'A', 'C', 'E', 'D']"
28,good,"['A', 'D', 'B', 'C', 'F']"
29,good,"['B', 'A', 'D', 'E', 'C']"
30,good,"['B', 'A', 'C', 'F', 'D']"
31,good,"['A', 'B', 'D', 'F', 'C']"
32,good,"['A', 'B', 'F', 'C', 'D']"
33,good,"['B', 'A', 'D', 'F', 'C']"
34,good,"['A', 'B', 'C', 'F', 'D']"
35,good,"['B', 'A', 'C', 'D', 'E']"
36,good,"['B', 'A', 'E', 'D', 'C']"
37,good,"['B', 'A', 'E', 'C', 'F']"
38,good,"['B', 'A', 'C', 'D', 'F']"
39,good,"['E', 'B', 'A', 'D', 'C']"
40,unsolvable,"['A', 'D', 'F', 'E', 'B']"
41,good,"['A', 'B', 'D', 'C', 'E']"
42,good,"['A', 'B', 'F', 'C', 'E']"
43,good,"['B', 'A', 'C', 'D', 'F']"
44,good,"['B', 'F', 'A', 'C', 'D']"
45,good,"['B', 'F', 'A', 'C', 'D']"
46,good,"['B', 'A', 'D', 'C', 'E']"
47,good,"['A', 'B', 'D', 'C', 'E']"
48,unsolvable,"['A', 'B', 'D', 'E', 'F']"
49,good,"['B', 'A', 'E', 'C', 'D']"
50,good,"['B', 'A', 'C', 'E', 'D']"
51,good,"['B', 'A', 'D', 'C', 'E']"
52,good,"['B', 'A', 'F', 'D', 'C']"
53,good,"['B', 'A', 'E', 'F', 'C']"
54,good,"['B', 'A', 'D', 'C', 'F']"
55,good,"['B', 'A', 'F', 'C', 'D']"
56,unsolvable,"['A', 'B', 'C', 'D', 'E']"
57,good,"['B', 'A', 'C', 'D', 'F']"
58,unsolvable,"['B', 'A', 'C', 'D', 'E']"
59,good,"['A', 'B', 'C', 'D', 'E']"
60,good,"['B', 'A', 'D', 'F', 'C']"
61,good,"['A', 'B', 'C', 'F', 'E']"
62,good,"['B', 'A', 'E', 'C', 'D']"
63,good,"['B', 'F', 'A', 'C', 'D']"
64,good,"['B', 'A', 'D', 'C', 'E']"
65,good,"['B', 'A', 'C', 'D', 'F']"
66,good,"['B', 'A', 'F', 'D', 'C']"
67,good,"['B', 'A', 'E', 'F', 'C']"
68,good,"['B', 'A', 'C', 'D', 'E']"
69,good,"['A', 'B', 'D', 'F', 'E']"
70,good,"['A', 'B', 'C', 'E', 'D']"
71,unsolvable,"['E', 'B', 'A', 'D', 'C']"
72,good,"['B', 'A', 'C', 'E', 'D']"
73,good,"['B', 'A', 'D', 'F', 'C']"
74,good,"['B', 'A', 'D', 'C', 'F']"
75,good,"['A', 'B', 'D', 'F', 'C']"
76,good,"['A', 'B', 'C', 'F', 'E']"
77,unsolvable,"['A', 'B', 'C', 'D', 'E']"
78,good,"['A', 'C', 'B', 'D', 'E']"
79,good,"['B', 'A', 'D', 'F', 'C']"
80,good,"['B', 'A', 'C', 'F', 'E']"
81,good,"['B', 'A', 'D', 'F', 'C']"
82,good,"['A', 'E', 'B', 'C', 'D']"
83,good,"['A', 'B', 'C', 'D', 'F']"
84,good,"['A', 'B', 'F', 'D', 'C']"
85,good,"['A', 'B', 'D', 'F', 'C']"
86,good,"['B', 'A', 'D', 'C', 'F']"
87,good,"['A', 'B', 'C', 'E', 'D']"
88,good,"['A', 'B', 'C', 'F', 'D']"
89,good,"['B', 'D', 'A', 'F', 'E']"
90,good,"['A', 'B', 'F', 'D', 'C']"
91,good,"['B', 'A', 'E', 'F', 'C']"
92,good,"['B', 'A', 'D', 'C', 'F']"
93,good,"['B', 'A', 'C', 'D', 'E']"
94,good,"['A', 'B', 'D', 'F', 'C']"
95,good,"['A', 'D', 'F', 'B', 'C']"
96,good,"['A', 'B', 'D', 'C', 'E']"
97,good,"['A', 'B', 'F', 'D', 'E']"
98,good,"['B', 'A', 'C', 'D', 'E']"
99,good,"['A', 'B', 'C', 'F', 'D']"
