index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'B', 'C', 'D', 'E']"
1,good,"['A', 'B', 'C', 'F', 'D']"
2,good,"['A', 'C', 'D', 'F', 'B']"
3,good,"['A', 'B', 'F', 'C', 'D']"
4,good,"['B', 'A', 'C', 'D', 'E']"
5,good,"['A', 'B', 'C', 'D', 'E']"
6,good,"['A', 'B', 'C', 'D', 'E']"
7,good,"['A', 'B', 'C', 'E', 'D']"
8,good,"['C', 'B', 'D', 'A', 'E']"
9,good,"['A', 'B', 'C', 'E', 'F']"
10,good,"['B', 'A', 'E', 'C', 'F']"
11,good,"['B', 'A', 'C', 'F', 'D']"
12,good,"['B', 'A', 'C', 'D', 'E']"
13,good,"['A', 'B', 'C', 'D', 'E']"
14,good,"['F', 'B', 'A', 'C', 'D']"
15,good,"['A', 'B', 'C', 'F', 'D']"
16,good,"['A', 'B', 'C', 'D', 'E']"
17,good,"['A', 'B', 'C', 'F', 'E']"
18,good,"['B', 'A', 'C', 'F', 'D']"
19,unsolvable,"['B', 'C', 'D', 'E', 'F']"
20,good,"['A', 'B', 'C', 'D', 'E']"
21,good,"['A', 'B', 'C', 'F', 'D']"
22,good,"['A', 'B', 'C', 'D', 'E']"
23,good,"['B', 'C', 'A', 'E', 'D']"
24,good,"['A', 'B', 'C', 'D', 'F']"
25,good,"['A', 'B', 'C', 'D', 'E']"
26,good,"['B', 'A', 'C', 'F', 'D']"
27,good,"['A', 'B', 'C', 'D', 'E']"
28,good,"['A', 'B', 'F', 'C', 'D']"
29,good,"['B', 'A', 'F', 'C', 'E']"
30,good,"['B', 'A', 'C', 'D', 'E']"
31,good,"['A', 'B', 'C', 'D', 'E']"
32,good,"['A', 'B', 'C', 'F', 'D']"
33,good,"['A', 'B', 'C', 'D', 'E']"
34,good,"['A', 'B', 'C', 'D', 'F']"
35,good,"['A', 'B', 'C', 'F', 'D']"
36,good,"['A', 'B', 'C', 'D', 'E']"
37,good,"['A', 'B', 'C', 'D', 'E']"
38,good,"['A', 'B', 'C', 'F', 'D']"
39,good,"['A', 'B', 'C', 'D', 'E']"
40,good,"['B', 'C', 'F', 'D', 'A']"
41,good,"['A', 'C', 'B', 'E', 'D']"
42,good,"['A', 'B', 'C', 'D', 'E']"
43,good,"['B', 'C', 'E', 'D', 'A']"
44,good,"['A', 'B', 'C', 'D', 'E']"
45,good,"['A', 'B', 'C', 'D', 'E']"
46,good,"['B', 'A', 'C', 'D', 'E']"
47,good,"['A', 'B', 'C', 'D', 'E']"
48,unsolvable,"['B', 'C', 'D', 'A', 'E']"
49,good,"['A', 'B', 'D', 'F', 'E']"
50,good,"['A', 'C', 'B', 'D', 'E']"
51,good,"['B', 'A', 'C', 'D', 'E']"
52,good,"['A', 'B', 'C', 'F', 'D']"
53,good,"['A', 'B', 'C', 'D', 'E']"
54,good,"['A', 'B', 'C', 'D', 'F']"
55,good,"['A', 'B', 'F', 'C', 'D']"
56,unsolvable,"['F', 'E', 'D', 'C', 'B']"
57,good,"['A', 'B', 'C', 'D', 'E']"
58,unsolvable,"['A', 'B', 'C', 'F', 'E']"
59,good,"['B', 'C', 'F', 'D', 'A']"
60,good,"['A', 'B', 'C', 'D', 'E']"
61,good,"['B', 'A', 'C', 'D', 'F']"
62,good,"['A', 'B', 'C', 'D', 'E']"
63,good,"['A', 'B', 'F', 'C', 'D']"
64,good,"['A', 'B', 'C', 'D', 'E']"
65,good,"['B', 'A', 'C', 'D', 'E']"
66,good,"['A', 'B', 'C', 'D', 'E']"
67,good,"['A', 'B', 'C', 'D', 'E']"
68,good,"['B', 'C', 'A', 'F', 'D']"
69,good,"['A', 'B', 'C', 'D', 'E']"
70,good,"['B', 'C', 'A', 'D', 'E']"
71,unsolvable,"['B', 'A', 'C', 'D', 'E']"
72,good,"['B', 'A', 'C', 'F', 'D']"
73,good,"['A', 'B', 'C', 'D', 'E']"
74,good,"['A', 'B', 'C', 'D', 'E']"
75,good,"['A', 'C', 'B', 'D', 'E']"
76,good,"['B', 'C', 'A', 'D', 'E']"
77,unsolvable,"['A', 'B', 'C', 'D', 'E']"
78,good,"['A', 'B', 'C', 'D', 'E']"
79,good,"['B', 'A', 'C', 'F', 'D']"
80,good,"['A', 'B', 'C', 'D', 'E']"
81,good,"['B', 'A', 'C', 'F', 'D']"
82,good,"['A', 'B', 'C', 'D', 'E']"
83,good,"['C', 'A', 'D', 'B', 'E']"
84,good,"['A', 'B', 'C', 'D', 'E']"
85,good,"['B', 'E', 'A', 'C', 'D']"
86,good,"['A', 'B', 'C', 'E', 'D']"
87,good,"['A', 'B', 'C', 'F', 'D']"
88,good,"['A', 'B', 'C', 'D', 'E']"
89,good,"['A', 'B', 'C', 'D', 'E']"
90,good,"['A', 'B', 'C', 'D', 'E']"
91,good,"['A', 'B', 'C', 'D', 'E']"
92,good,"['A', 'B', 'D', 'F', 'C']"
93,good,"['A', 'B', 'C', 'D', 'E']"
94,good,"['A', 'B', 'C', 'D', 'E']"
95,good,"['B', 'C', 'F', 'D', 'A']"
96,good,"['A', 'B', 'C', 'D', 'E']"
97,good,"['B', 'C', 'A', 'F', 'E']"
98,good,"['A', 'B', 'C', 'D', 'E']"
99,good,"['A', 'B', 'C', 'D', 'E']"
