prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1608.0,659.0,0.01608,0.01977,0.03585
1608.0,713.0,0.01608,0.02139,0.03747
1608.0,626.0,0.01608,0.018779999999999998,0.03486
1608.0,621.0,0.01608,0.01863,0.034710000000000005
1608.0,668.0,0.01608,0.02004,0.03612
1608.0,602.0,0.01608,0.01806,0.034140000000000004
1608.0,668.0,0.01608,0.02004,0.03612
1608.0,559.0,0.01608,0.01677,0.032850000000000004
1608.0,509.0,0.01608,0.015269999999999999,0.03135
1608.0,531.0,0.01608,0.01593,0.03201
1608.0,639.0,0.01608,0.01917,0.035250000000000004
1608.0,564.0,0.01608,0.016919999999999998,0.033
1608.0,658.0,0.01608,0.019739999999999997,0.03582
1608.0,656.0,0.01608,0.01968,0.03576
1608.0,689.0,0.01608,0.020669999999999997,0.03675
1608.0,708.0,0.01608,0.02124,0.03732
1608.0,532.0,0.01608,0.01596,0.03204
1608.0,698.0,0.01608,0.020939999999999997,0.03702
1608.0,621.0,0.01608,0.01863,0.034710000000000005
1608.0,652.0,0.01608,0.019559999999999998,0.03564
1608.0,594.0,0.01608,0.01782,0.0339
1608.0,548.0,0.01608,0.016439999999999996,0.03251999999999999
1608.0,698.0,0.01608,0.020939999999999997,0.03702
1608.0,675.0,0.01608,0.02025,0.03633
1608.0,612.0,0.01608,0.018359999999999998,0.03444
1608.0,543.0,0.01608,0.01629,0.032369999999999996
1608.0,601.0,0.01608,0.018029999999999997,0.03411
1608.0,691.0,0.01608,0.020730000000000002,0.03681
1608.0,675.0,0.01608,0.02025,0.03633
1608.0,586.0,0.01608,0.01758,0.033659999999999995
1608.0,629.0,0.01608,0.01887,0.03495
1608.0,707.0,0.01608,0.02121,0.037290000000000004
1608.0,617.0,0.01608,0.01851,0.034589999999999996
1608.0,665.0,0.01608,0.01995,0.03603
1608.0,657.0,0.01608,0.019710000000000002,0.03579
1608.0,563.0,0.01608,0.016890000000000002,0.03297
1608.0,655.0,0.01608,0.019649999999999997,0.03573
1608.0,625.0,0.01608,0.01875,0.03483
1608.0,547.0,0.01608,0.01641,0.032490000000000005
1608.0,624.0,0.01608,0.01872,0.0348
1608.0,538.0,0.01608,0.01614,0.03222
1608.0,713.0,0.01608,0.02139,0.03747
1608.0,539.0,0.01608,0.016169999999999997,0.03225
1608.0,604.0,0.01608,0.01812,0.0342
1608.0,659.0,0.01608,0.01977,0.03585
1608.0,705.0,0.01608,0.02115,0.03723
1608.0,641.0,0.01608,0.01923,0.03531
1608.0,674.0,0.01608,0.02022,0.0363
1608.0,623.0,0.01608,0.01869,0.034769999999999995
1608.0,562.0,0.01608,0.01686,0.03294
1608.0,673.0,0.01608,0.020189999999999996,0.03627
1608.0,637.0,0.01608,0.01911,0.03519
1608.0,658.0,0.01608,0.019739999999999997,0.03582
1608.0,542.0,0.01608,0.016259999999999997,0.032339999999999994
1608.0,578.0,0.01608,0.01734,0.033420000000000005
1608.0,687.0,0.01608,0.02061,0.03669
1608.0,609.0,0.01608,0.018269999999999998,0.03435
1608.0,604.0,0.01608,0.01812,0.0342
1608.0,566.0,0.01608,0.016980000000000002,0.033060000000000006
1608.0,626.0,0.01608,0.018779999999999998,0.03486
1608.0,763.0,0.01608,0.02289,0.038970000000000005
1608.0,632.0,0.01608,0.01896,0.03504
1608.0,676.0,0.01608,0.020279999999999996,0.036359999999999996
1608.0,554.0,0.01608,0.01662,0.0327
1608.0,587.0,0.01608,0.01761,0.03369
1608.0,661.0,0.01608,0.019829999999999997,0.03591
1608.0,708.0,0.01608,0.02124,0.03732
1608.0,666.0,0.01608,0.01998,0.03606
1608.0,863.0,0.01608,0.02589,0.04197
1608.0,655.0,0.01608,0.019649999999999997,0.03573
1608.0,537.0,0.01608,0.01611,0.032189999999999996
1608.0,762.0,0.01608,0.02286,0.03894
1608.0,671.0,0.01608,0.02013,0.03621
1608.0,638.0,0.01608,0.01914,0.03522
1608.0,726.0,0.01608,0.021779999999999997,0.03786
1608.0,790.0,0.01608,0.0237,0.039779999999999996
1608.0,613.0,0.01608,0.01839,0.03447
1608.0,718.0,0.01608,0.02154,0.03762
1608.0,604.0,0.01608,0.01812,0.0342
1608.0,643.0,0.01608,0.019289999999999998,0.03537
1608.0,649.0,0.01608,0.019469999999999998,0.03555
1608.0,637.0,0.01608,0.01911,0.03519
1608.0,552.0,0.01608,0.01656,0.03264
1608.0,655.0,0.01608,0.019649999999999997,0.03573
1608.0,628.0,0.01608,0.01884,0.03492
1608.0,810.0,0.01608,0.024300000000000002,0.04038
1608.0,708.0,0.01608,0.02124,0.03732
1608.0,640.0,0.01608,0.0192,0.03528
1608.0,546.0,0.01608,0.01638,0.03246
1608.0,587.0,0.01608,0.01761,0.03369
1608.0,633.0,0.01608,0.01899,0.035070000000000004
1608.0,604.0,0.01608,0.01812,0.0342
1608.0,600.0,0.01608,0.018,0.03408
1608.0,711.0,0.01608,0.02133,0.03741
1608.0,543.0,0.01608,0.01629,0.032369999999999996
1608.0,618.0,0.01608,0.018539999999999997,0.03462
1608.0,624.0,0.01608,0.01872,0.0348
1608.0,529.0,0.01608,0.01587,0.03195
1608.0,601.0,0.01608,0.018029999999999997,0.03411
1608.0,653.0,0.01608,0.01959,0.03567
