index,good/bad/unsolvable,reply
0,unsolvable,"['B', 'a', 's', 'e']"
1,bad,"['B', 'a', 's', 'e']"
2,good,"['B', 'C', 'A', 'D']"
3,good,"['B', 'C', 'A', 'D']"
4,good,"['C', 'A', 'B', 'D']"
5,good,"['B', 'A', 'C', 'D']"
6,good,"['B', 'A', 'C', 'D']"
7,good,"['B', 'A', 'C', 'D']"
8,good,"['B', 'A', 'C', 'D']"
9,unsolvable,"['m', 'o', 's', 't']"
10,unsolvable,"['B', 'a', 's', 'e']"
11,good,"['B', 'C', 'A', 'D']"
12,unsolvable,"['B', 'a', 's', 'e']"
13,good,"['D', 'A', 'B', 'C']"
14,good,"['B', 'A', 'C', 'D']"
15,good,"['B', 'A', 'D', 'C']"
16,good,"['B', 'A', 'D', 'C']"
17,good,"['B', 'A', 'C', 'D']"
18,unsolvable,"['n', 'o', 't', 'p']"
19,good,"['B', 'A', 'C', 'D']"
20,good,"['B', 'A', 'C', 'D']"
21,good,"['B', 'C', 'A', 'D']"
22,good,"['B', 'A', 'C', 'D']"
23,good,"['B', 'A', 'D', 'C']"
24,good,"['B', 'A', 'D', 'C']"
25,good,"['B', 'A', 'C', 'D']"
26,good,"['B', 'A', 'C', 'D']"
27,good,"['B', 'A', 'D', 'C']"
28,good,"['B', 'A', 'D', 'C']"
29,unsolvable,"['B', 'a', 's', 'e']"
30,good,"['B', 'A', 'C', 'D']"
31,good,"['C', 'B', 'A', 'D']"
32,good,"['B', 'C', 'A', 'D']"
33,good,"['B', 'A', 'C', 'D']"
34,good,"['B', 'A', 'C', 'D']"
35,good,"['C', 'A', 'D', 'B']"
36,good,"['B', 'A', 'D', 'C']"
37,good,"['B', 'A', 'C', 'D']"
38,good,"['B', 'C', 'A', 'D']"
39,good,"['B', 'C', 'A', 'D']"
40,good,"['B', 'A', 'C', 'D']"
41,good,"['B', 'A', 'C', 'D']"
42,good,"['B', 'A', 'D', 'C']"
43,good,"['B', 'A', 'C', 'D']"
44,good,"['B', 'A', 'C', 'D']"
45,good,"['B', 'A', 'C', 'D']"
46,unsolvable,"['0', 'T', 'h', 'i']"
47,unsolvable,"['a', 'l', 'w', 'a']"
48,good,"['B', 'A', 'C', 'D']"
49,bad,"['B', 'a', 's', 'e']"
50,good,"['B', 'A', 'C', 'D']"
51,good,"['B', 'C', 'A', 'D']"
52,unsolvable,"['B', 'a', 's', 'e']"
53,good,"['B', 'A', 'C', 'D']"
54,good,"['B', 'A', 'C', 'D']"
55,bad,"['1', 'T', 'h', 'i']"
56,bad,"['m', 'o', 'r', 'e']"
57,good,"['B', 'A', 'D', 'C']"
58,good,"['B', 'A', 'D', 'C']"
59,good,"['B', 'A', 'C', 'D']"
60,good,"['B', 'A', 'C', 'D']"
61,good,"['B', 'A', 'C', 'D']"
62,unsolvable,"['B', 'a', 's', 'e']"
63,good,"['B', 'A', 'C', 'D']"
64,good,"['B', 'A', 'D', 'C']"
65,good,"['B', 'A', 'C', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,good,"['B', 'A', 'C', 'D']"
68,good,"['B', 'A', 'D', 'C']"
69,good,"['B', 'A', 'C', 'D']"
70,good,"['B', 'C', 'A', 'D']"
71,good,"['C', 'A', 'B', 'D']"
72,good,"['B', 'A', 'D', 'C']"
73,good,"['B', 'C', 'A', 'D']"
74,good,"['B', 'A', 'C', 'D']"
75,good,"['B', 'A', 'C', 'D']"
76,unsolvable,"['B', 'a', 's', 'e']"
77,good,"['B', 'A', 'C', 'D']"
78,good,"['B', 'A', 'C', 'D']"
79,good,"['B', 'C', 'A', 'D']"
80,good,"['B', 'C', 'A', 'D']"
81,good,"['B', 'A', 'D', 'C']"
82,good,"['B', 'A', 'D', 'C']"
83,unsolvable,"['B', 'a', 's', 'e']"
84,good,"['B', 'A', 'D', 'C']"
85,good,"['D', 'A', 'B', 'C']"
86,good,"['B', 'A', 'C', 'D']"
87,good,"['B', 'A', 'D', 'C']"
88,good,"['B', 'A', 'C', 'D']"
89,good,"['A', 'D', 'B', 'C']"
90,good,"['B', 'A', 'C', 'D']"
91,good,"['B', 'A', 'C', 'D']"
92,good,"['B', 'A', 'C', 'D']"
93,good,"['B', 'C', 'A', 'D']"
94,good,"['B', 'A', 'C', 'D']"
95,good,"['B', 'A', 'D', 'C']"
96,good,"['B', 'A', 'C', 'D']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['B', 'A', 'C', 'D']"
99,good,"['B', 'A', 'D', 'C']"
