index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'A', 'C', 'E']"
1,good,"['D', 'I', 'H', 'K', 'C']"
2,good,"['D', 'G', 'C', 'I', 'L']"
3,good,"['D', 'A', 'G', 'I', 'F']"
4,good,"['C', 'A', 'F', 'I', 'K']"
5,good,"['D', 'I', 'H', 'E', 'B']"
6,good,"['D', 'G', 'H', 'K', 'L']"
7,good,"['D', 'G', 'H', 'M', 'K']"
8,good,"['D', 'I', 'A', 'L', 'F']"
9,good,"['D', 'M', 'C', 'A', 'F']"
10,good,"['D', 'C', 'A', 'B', 'E']"
11,good,"['D', 'M', 'F', 'H', 'I']"
12,good,"['D', 'A', 'F', 'K', 'M']"
13,good,"['D', 'G', 'C', 'A', 'E']"
14,good,"['D', 'C', 'A', 'B', 'E']"
15,good,"['D', 'H', 'L', 'K', 'A']"
16,good,"['D', 'M', 'A', 'I', 'F']"
17,good,"['D', 'C', 'L', 'A', 'E']"
18,good,"['D', 'A', 'I', 'B', 'H']"
19,good,"['D', 'C', 'H', 'L', 'F']"
20,good,"['D', 'C', 'I', 'M', 'K']"
21,good,"['D', 'M', 'H', 'I', 'A']"
22,good,"['D', 'A', 'B', 'C', 'E']"
23,good,"['D', 'F', 'C', 'I', 'M']"
24,good,"['D', 'F', 'H', 'A', 'C']"
25,good,"['D', 'A', 'H', 'B', 'F']"
26,good,"['D', 'M', 'C', 'A', 'I']"
27,good,"['D', 'I', 'L', 'A', 'K']"
28,good,"['D', 'C', 'A', 'B', 'L']"
29,good,"['D', 'C', 'L', 'F', 'K']"
30,good,"['D', 'A', 'F', 'G', 'B']"
31,good,"['D', 'F', 'A', 'B', 'C']"
32,good,"['D', 'A', 'F', 'H', 'L']"
33,good,"['D', 'A', 'H', 'L', 'F']"
34,good,"['D', 'C', 'A', 'F', 'J']"
35,good,"['C', 'A', 'H', 'L', 'D']"
36,good,"['D', 'A', 'C', 'H', 'L']"
37,good,"['D', 'K', 'M', 'A', 'H']"
38,good,"['D', 'C', 'G', 'H', 'K']"
39,good,"['D', 'C', 'I', 'L', 'A']"
40,good,"['D', 'C', 'A', 'H', 'L']"
41,good,"['D', 'A', 'E', 'L', 'B']"
42,good,"['D', 'K', 'A', 'B', 'C']"
43,good,"['H', 'D', 'I', 'L', 'M']"
44,good,"['D', 'F', 'I', 'M', 'A']"
45,good,"['D', 'H', 'C', 'A', 'E']"
46,good,"['H', 'D', 'M', 'A', 'G']"
47,good,"['D', 'A', 'B', 'C', 'E']"
48,good,"['D', 'L', 'G', 'C', 'M']"
49,good,"['D', 'C', 'A', 'H', 'B']"
50,good,"['I', 'M', 'C', 'A', 'D']"
51,good,"['D', 'F', 'I', 'A', 'B']"
52,good,"['D', 'E', 'H', 'L', 'I']"
53,good,"['D', 'M', 'F', 'G', 'I']"
54,good,"['D', 'F', 'K', 'H', 'M']"
55,good,"['D', 'A', 'B', 'C', 'E']"
56,good,"['D', 'H', 'L', 'K', 'A']"
57,good,"['D', 'F', 'H', 'L', 'B']"
58,good,"['D', 'G', 'A', 'B', 'C']"
59,good,"['D', 'C', 'F', 'K', 'A']"
60,good,"['D', 'C', 'H', 'L', 'M']"
61,good,"['D', 'C', 'I', 'M', 'G']"
62,good,"['D', 'C', 'H', 'A', 'F']"
63,good,"['D', 'A', 'B', 'C', 'E']"
64,good,"['D', 'A', 'H', 'B', 'E']"
65,good,"['D', 'C', 'M', 'A', 'F']"
66,good,"['D', 'J', 'A', 'B', 'E']"
67,good,"['D', 'F', 'C', 'I', 'M']"
68,good,"['D', 'K', 'F', 'A', 'B']"
69,good,"['D', 'C', 'A', 'G', 'H']"
70,good,"['D', 'M', 'A', 'F', 'C']"
71,good,"['D', 'A', 'B', 'C', 'E']"
72,good,"['D', 'K', 'A', 'B', 'C']"
73,good,"['D', 'C', 'A', 'E', 'F']"
74,good,"['I', 'D', 'F', 'H', 'A']"
75,good,"['D', 'C', 'F', 'I', 'K']"
76,good,"['D', 'H', 'L', 'M', 'E']"
77,good,"['D', 'F', 'A', 'B', 'C']"
78,good,"['D', 'C', 'B', 'A', 'E']"
79,good,"['D', 'I', 'C', 'H', 'A']"
80,good,"['D', 'C', 'A', 'F', 'E']"
81,good,"['D', 'C', 'A', 'B', 'E']"
82,good,"['D', 'F', 'G', 'L', 'A']"
83,good,"['D', 'A', 'F', 'E', 'H']"
84,good,"['D', 'A', 'B', 'C', 'E']"
85,good,"['D', 'C', 'A', 'F', 'E']"
86,unsolvable,"['F', 'D', 'G', 'H', 'L']"
87,good,"['D', 'A', 'B', 'C', 'E']"
88,good,"['D', 'H', 'C', 'K', 'A']"
89,good,"['D', 'F', 'L', 'H', 'A']"
90,good,"['D', 'I', 'K', 'L', 'M']"
91,good,"['D', 'M', 'C', 'K', 'L']"
92,good,"['D', 'C', 'H', 'I', 'A']"
93,good,"['D', 'A', 'J', 'E', 'K']"
94,good,"['D', 'H', 'L', 'A', 'B']"
95,good,"['D', 'A', 'B', 'C', 'E']"
96,good,"['D', 'H', 'C', 'A', 'F']"
97,good,"['D', 'A', 'B', 'C', 'E']"
98,good,"['D', 'C', 'F', 'I', 'M']"
99,good,"['D', 'K', 'C', 'I', 'A']"
