index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'D', 'C', 'B']"
1,good,"['A', 'D', 'B', 'C']"
2,good,"['A', 'D', 'B', 'C']"
3,good,"['A', 'D', 'B', 'C']"
4,good,"['A', 'D', 'B', 'C']"
5,good,"['A', 'D', 'B', 'C']"
6,good,"['A', 'D', 'B', 'C']"
7,good,"['A', 'D', 'B', 'C']"
8,good,"['A', 'D', 'B', 'C']"
9,unsolvable,"['A', 'D', 'B', 'C']"
10,unsolvable,"['A', 'D', 'B', 'C']"
11,good,"['A', 'C', 'D', 'B']"
12,unsolvable,"['A', 'D', 'B', 'C']"
13,good,"['A', 'D', 'B', 'C']"
14,good,"['A', 'D', 'B', 'C']"
15,good,"['A', 'D', 'B', 'C']"
16,good,"['A', 'D', 'C', 'B']"
17,good,"['A', 'B', 'D', 'C']"
18,unsolvable,"['A', 'D', 'B', 'C']"
19,good,"['A', 'D', 'B', 'C']"
20,good,"['A', 'D', 'B', 'C']"
21,good,"['A', 'D', 'B', 'C']"
22,good,"['A', 'D', 'B', 'C']"
23,good,"['A', 'D', 'B', 'C']"
24,good,"['A', 'D', 'B', 'C']"
25,good,"['A', 'D', 'B', 'C']"
26,good,"['A', 'D', 'B', 'C']"
27,good,"['A', 'D', 'B', 'C']"
28,good,"['A', 'D', 'B', 'C']"
29,unsolvable,"['A', 'D', 'B', 'C']"
30,good,"['A', 'D', 'B', 'C']"
31,good,"['A', 'D', 'B', 'C']"
32,good,"['A', 'D', 'B', 'C']"
33,good,"['A', 'D', 'B', 'C']"
34,good,"['A', 'B', 'D', 'C']"
35,good,"['A', 'D', 'C', 'B']"
36,good,"['A', 'D', 'B', 'C']"
37,good,"['A', 'D', 'B', 'C']"
38,good,"['A', 'D', 'B', 'C']"
39,good,"['A', 'D', 'B', 'C']"
40,good,"['A', 'D', 'B', 'C']"
41,good,"['A', 'D', 'B', 'C']"
42,good,"['A', 'D', 'B', 'C']"
43,good,"['B', 'A', 'D', 'C']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'D', 'B', 'C']"
46,unsolvable,"['A', 'D', 'B', 'C']"
47,unsolvable,"['A', 'D', 'C', 'B']"
48,good,"['A', 'D', 'B', 'C']"
49,good,"['A', 'D', 'B', 'C']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['B', 'C', 'A', 'D']"
52,unsolvable,"['A', 'D', 'B', 'C']"
53,good,"['A', 'D', 'B', 'C']"
54,good,"['A', 'B', 'D', 'C']"
55,good,"['A', 'D', 'C', 'B']"
56,good,"['A', 'D', 'B', 'C']"
57,good,"['A', 'D', 'B', 'C']"
58,good,"['A', 'D', 'B', 'C']"
59,good,"['A', 'D', 'B', 'C']"
60,good,"['A', 'B', 'D', 'C']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['A', 'D', 'B', 'C']"
63,good,"['A', 'D', 'B', 'C']"
64,good,"['A', 'D', 'B', 'C']"
65,good,"['A', 'D', 'B', 'C']"
66,unsolvable,"['A', 'D', 'C', 'B']"
67,good,"['A', 'D', 'B', 'C']"
68,good,"['A', 'D', 'B', 'C']"
69,good,"['A', 'D', 'B', 'C']"
70,good,"['B', 'D', 'A', 'C']"
71,good,"['A', 'D', 'C', 'B']"
72,good,"['A', 'D', 'B', 'C']"
73,good,"['B', 'D', 'A', 'C']"
74,good,"['A', 'D', 'B', 'C']"
75,good,"['A', 'D', 'B', 'C']"
76,unsolvable,"['A', 'D', 'B', 'C']"
77,good,"['B', 'D', 'A', 'C']"
78,good,"['A', 'D', 'B', 'C']"
79,good,"['A', 'D', 'B', 'C']"
80,good,"['A', 'D', 'B', 'C']"
81,good,"['A', 'D', 'B', 'C']"
82,good,"['A', 'D', 'C', 'B']"
83,unsolvable,"['A', 'D', 'B', 'C']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'D', 'B', 'C']"
86,good,"['A', 'D', 'B', 'C']"
87,good,"['A', 'D', 'B', 'C']"
88,good,"['A', 'D', 'B', 'C']"
89,good,"['A', 'D', 'B', 'C']"
90,good,"['A', 'D', 'B', 'C']"
91,good,"['A', 'D', 'B', 'C']"
92,good,"['A', 'D', 'B', 'C']"
93,good,"['A', 'D', 'B', 'C']"
94,good,"['A', 'D', 'B', 'C']"
95,good,"['A', 'D', 'B', 'C']"
96,good,"['A', 'D', 'B', 'C']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['A', 'B', 'D', 'C']"
99,good,"['A', 'D', 'B', 'C']"
