index,good/bad/unsolvable,reply
0,good,"['D', 'C', 'I', 'E', 'F']"
1,good,"['D', 'C', 'I', 'E', 'F']"
2,good,"['D', 'C', 'I', 'E', 'F']"
3,good,"['D', 'C', 'I', 'E', 'F']"
4,good,"['D', 'C', 'I', 'E', 'F']"
5,good,"['D', 'C', 'I', 'E', 'F']"
6,good,"['D', 'C', 'I', 'E', 'F']"
7,good,"['D', 'C', 'I', 'E', 'F']"
8,good,"['D', 'C', 'I', 'E', 'F']"
9,good,"['D', 'C', 'I', 'E', 'F']"
10,good,"['D', 'C', 'I', 'E', 'F']"
11,good,"['D', 'C', 'I', 'E', 'F']"
12,good,"['D', 'C', 'I', 'E', 'F']"
13,good,"['D', 'C', 'I', 'E', 'F']"
14,good,"['D', 'C', 'I', 'E', 'F']"
15,good,"['D', 'C', 'I', 'E', 'F']"
16,good,"['D', 'C', 'I', 'E', 'F']"
17,good,"['D', 'C', 'I', 'E', 'F']"
18,good,"['D', 'C', 'I', 'E', 'F']"
19,good,"['D', 'C', 'I', 'E', 'F']"
20,good,"['D', 'C', 'I', 'E', 'F']"
21,good,"['D', 'C', 'I', 'E', 'F']"
22,good,"['D', 'C', 'I', 'E', 'F']"
23,good,"['D', 'C', 'I', 'E', 'F']"
24,good,"['D', 'C', 'I', 'E', 'F']"
25,good,"['D', 'C', 'I', 'E', 'F']"
26,good,"['D', 'C', 'I', 'E', 'F']"
27,good,"['D', 'C', 'I', 'E', 'F']"
28,good,"['D', 'C', 'I', 'E', 'F']"
29,good,"['D', 'C', 'I', 'E', 'F']"
30,good,"['D', 'C', 'I', 'E', 'F']"
31,good,"['D', 'C', 'I', 'E', 'F']"
32,good,"['D', 'C', 'I', 'E', 'F']"
33,good,"['D', 'C', 'I', 'E', 'F']"
34,good,"['D', 'C', 'I', 'E', 'F']"
35,good,"['D', 'C', 'I', 'E', 'F']"
36,good,"['D', 'C', 'I', 'E', 'F']"
37,good,"['D', 'C', 'I', 'E', 'F']"
38,good,"['D', 'C', 'I', 'E', 'F']"
39,good,"['D', 'C', 'I', 'E', 'F']"
40,good,"['D', 'C', 'I', 'E', 'F']"
41,good,"['D', 'C', 'I', 'E', 'F']"
42,good,"['D', 'C', 'I', 'E', 'F']"
43,good,"['D', 'C', 'I', 'E', 'F']"
44,good,"['D', 'C', 'I', 'E', 'F']"
45,good,"['D', 'C', 'I', 'E', 'F']"
46,good,"['D', 'C', 'I', 'E', 'F']"
47,good,"['D', 'C', 'I', 'E', 'F']"
48,good,"['D', 'C', 'I', 'E', 'F']"
49,good,"['D', 'C', 'I', 'E', 'F']"
50,good,"['D', 'C', 'I', 'E', 'F']"
51,good,"['D', 'C', 'I', 'E', 'F']"
52,good,"['D', 'C', 'I', 'E', 'F']"
53,good,"['D', 'C', 'I', 'E', 'F']"
54,good,"['D', 'C', 'I', 'E', 'F']"
55,good,"['D', 'C', 'I', 'E', 'F']"
56,good,"['D', 'C', 'I', 'E', 'F']"
57,good,"['D', 'C', 'I', 'E', 'F']"
58,good,"['D', 'C', 'I', 'E', 'F']"
59,good,"['D', 'C', 'I', 'E', 'F']"
60,good,"['D', 'C', 'I', 'E', 'F']"
61,good,"['D', 'C', 'I', 'E', 'F']"
62,good,"['D', 'C', 'I', 'E', 'F']"
63,good,"['D', 'C', 'I', 'E', 'F']"
64,good,"['D', 'C', 'I', 'E', 'F']"
65,good,"['D', 'C', 'I', 'E', 'F']"
66,good,"['D', 'C', 'I', 'E', 'F']"
67,good,"['D', 'C', 'I', 'E', 'F']"
68,good,"['D', 'C', 'I', 'E', 'F']"
69,good,"['D', 'C', 'I', 'E', 'F']"
70,good,"['D', 'C', 'I', 'E', 'F']"
71,good,"['D', 'C', 'I', 'E', 'F']"
72,good,"['D', 'C', 'I', 'E', 'F']"
73,good,"['D', 'C', 'I', 'E', 'F']"
74,good,"['D', 'C', 'I', 'E', 'F']"
75,good,"['D', 'C', 'I', 'E', 'F']"
76,good,"['D', 'C', 'I', 'E', 'F']"
77,good,"['D', 'C', 'I', 'E', 'F']"
78,good,"['D', 'C', 'I', 'E', 'F']"
79,good,"['D', 'C', 'I', 'E', 'F']"
80,good,"['D', 'C', 'I', 'E', 'F']"
81,good,"['D', 'C', 'I', 'E', 'F']"
82,good,"['D', 'C', 'I', 'E', 'F']"
83,good,"['D', 'C', 'I', 'E', 'F']"
84,good,"['D', 'C', 'I', 'E', 'F']"
85,good,"['D', 'C', 'I', 'E', 'F']"
86,good,"['D', 'C', 'I', 'E', 'F']"
87,good,"['D', 'C', 'I', 'E', 'F']"
88,good,"['D', 'C', 'I', 'E', 'F']"
89,good,"['D', 'C', 'I', 'E', 'F']"
90,good,"['D', 'C', 'I', 'E', 'F']"
91,good,"['D', 'C', 'I', 'E', 'F']"
92,good,"['D', 'C', 'I', 'E', 'F']"
93,good,"['D', 'C', 'I', 'E', 'F']"
94,good,"['D', 'C', 'I', 'E', 'F']"
95,good,"['D', 'C', 'I', 'E', 'F']"
96,good,"['D', 'C', 'I', 'E', 'F']"
97,good,"['D', 'C', 'I', 'E', 'F']"
98,good,"['D', 'C', 'I', 'E', 'F']"
99,good,"['D', 'C', 'I', 'E', 'F']"
