index,good/bad/unsolvable,reply
0,good,"['A', 'G', 'D', 'I', 'E']"
1,good,"['A', 'C', 'E', 'H', 'D']"
2,good,"['A', 'D', 'G', 'E', 'F']"
3,good,"['A', 'G', 'F', 'H', 'D']"
4,good,"['A', 'F', 'G', 'E', 'D']"
5,good,"['A', 'G', 'I', 'F', 'E']"
6,good,"['A', 'H', 'G', 'D', 'F']"
7,good,"['A', 'I', 'G', 'E', 'F']"
8,good,"['A', 'E', 'F', 'I', 'G']"
9,good,"['A', 'G', 'J', 'B', 'D']"
10,good,"['A', 'G', 'D', 'E', 'F']"
11,good,"['A', 'F', 'G', 'E', 'D']"
12,good,"['A', 'E', 'G', 'I', 'D']"
13,good,"['A', 'E', 'I', 'F', 'D']"
14,good,"['A', 'B', 'D', 'E', 'G']"
15,good,"['A', 'F', 'G', 'E', 'D']"
16,good,"['A', 'F', 'E', 'G', 'D']"
17,good,"['A', 'H', 'G', 'D', 'I']"
18,good,"['A', 'F', 'G', 'H', 'D']"
19,good,"['A', 'G', 'H', 'E', 'F']"
20,good,"['A', 'G', 'D', 'I', 'F']"
21,bad,"['T', 'h', 'e', 's', 'e']"
22,good,"['A', 'D', 'E', 'G', 'I']"
23,good,"['A', 'F', 'G', 'I', 'E']"
24,good,"['A', 'F', 'G', 'D', 'E']"
25,good,"['A', 'E', 'F', 'G', 'I']"
26,good,"['A', 'F', 'E', 'G', 'D']"
27,good,"['A', 'F', 'E', 'G', 'B']"
28,good,"['A', 'F', 'G', 'E', 'H']"
29,good,"['A', 'D', 'I', 'G', 'F']"
30,good,"['A', 'G', 'D', 'E', 'F']"
31,bad,"['T', 'h', 'e', 's', 'e']"
32,good,"['A', 'E', 'G', 'D', 'H']"
33,good,"['A', 'E', 'I', 'G', 'H']"
34,good,"['G', 'I', 'A', 'F', 'D']"
35,good,"['A', 'D', 'E', 'G', 'F']"
36,good,"['A', 'F', 'G', 'D', 'E']"
37,good,"['A', 'D', 'I', 'G', 'F']"
38,good,"['A', 'D', 'G', 'E', 'F']"
39,good,"['A', 'G', 'I', 'D', 'B']"
40,good,"['A', 'F', 'G', 'D', 'E']"
41,good,"['A', 'G', 'D', 'E', 'I']"
42,good,"['G', 'A', 'F', 'D', 'E']"
43,good,"['A', 'I', 'D', 'B', 'C']"
44,good,"['A', 'G', 'E', 'D', 'F']"
45,good,"['A', 'E', 'B', 'C', 'F']"
46,good,"['A', 'E', 'G', 'F', 'D']"
47,good,"['A', 'E', 'D', 'F', 'G']"
48,good,"['A', 'G', 'F', 'D', 'E']"
49,good,"['A', 'F', 'G', 'D', 'E']"
50,good,"['A', 'D', 'G', 'I', 'J']"
51,good,"['G', 'I', 'F', 'A', 'E']"
52,good,"['A', 'B', 'F', 'G', 'I']"
53,good,"['A', 'D', 'E', 'G', 'F']"
54,good,"['A', 'F', 'G', 'D', 'J']"
55,good,"['A', 'E', 'F', 'G', 'H']"
56,good,"['A', 'E', 'F', 'G', 'I']"
57,good,"['A', 'D', 'G', 'H', 'I']"
58,good,"['A', 'F', 'G', 'E', 'I']"
59,good,"['A', 'D', 'H', 'E', 'F']"
60,good,"['G', 'D', 'A', 'H', 'E']"
61,good,"['A', 'F', 'G', 'I', 'D']"
62,good,"['A', 'I', 'F', 'G', 'E']"
63,good,"['D', 'F', 'H', 'A', 'G']"
64,good,"['A', 'G', 'F', 'D', 'I']"
65,good,"['F', 'D', 'I', 'H', 'A']"
66,good,"['A', 'G', 'F', 'D', 'E']"
67,good,"['A', 'E', 'F', 'G', 'H']"
68,unsolvable,"['B', 'a', 's', 'e', 'd']"
69,good,"['A', 'G', 'E', 'D', 'F']"
70,good,"['A', 'E', 'F', 'G', 'H']"
71,good,"['A', 'G', 'I', 'E', 'F']"
72,good,"['A', 'E', 'H', 'B', 'C']"
73,good,"['A', 'J', 'F', 'G', 'I']"
74,good,"['A', 'I', 'F', 'D', 'G']"
75,unsolvable,"['G', 'A', 'E', 'D', 'H']"
76,good,"['A', 'D', 'E', 'F', 'G']"
77,good,"['A', 'G', 'F', 'I', 'H']"
78,good,"['A', 'I', 'H', 'F', 'E']"
79,good,"['A', 'E', 'G', 'F', 'H']"
80,good,"['A', 'D', 'G', 'I', 'H']"
81,good,"['A', 'E', 'F', 'G', 'I']"
82,good,"['A', 'G', 'D', 'E', 'B']"
83,good,"['A', 'G', 'D', 'E', 'H']"
84,good,"['A', 'F', 'G', 'E', 'B']"
85,good,"['F', 'G', 'A', 'E', 'D']"
86,good,"['A', 'E', 'G', 'I', 'F']"
87,good,"['A', 'D', 'E', 'G', 'F']"
88,good,"['A', 'F', 'G', 'B', 'D']"
89,good,"['A', 'D', 'E', 'G', 'I']"
90,bad,"['T', 'h', 'e', 's', 'e']"
91,good,"['A', 'G', 'F', 'D', 'I']"
92,good,"['A', 'D', 'E', 'F', 'G']"
93,good,"['A', 'G', 'I', 'F', 'D']"
94,good,"['A', 'G', 'D', 'E', 'F']"
95,good,"['A', 'G', 'D', 'F', 'H']"
96,good,"['A', 'G', 'F', 'I', 'D']"
97,good,"['G', 'D', 'A', 'E', 'F']"
98,good,"['A', 'G', 'D', 'E', 'F']"
99,good,"['E', 'A', 'F', 'G', 'H']"
