index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'G', 'F', 'A']"
1,good,"['D', 'A', 'F', 'B', 'E']"
2,good,"['D', 'C', 'J', 'L', 'M']"
3,good,"['D', 'M', 'B', 'A', 'C']"
4,good,"['D', 'C', 'I', 'J', 'B']"
5,good,"['A', 'D', 'E', 'H', 'C']"
6,good,"['D', 'C', 'G', 'K', 'E']"
7,good,"['D', 'M', 'A', 'B', 'C']"
8,good,"['D', 'A', 'L', 'F', 'J']"
9,good,"['D', 'B', 'E', 'M', 'C']"
10,good,"['A', 'D', 'F', 'L', 'M']"
11,good,"['D', 'I', 'M', 'J', 'B']"
12,good,"['D', 'H', 'B', 'A', 'C']"
13,good,"['D', 'K', 'M', 'B', 'I']"
14,good,"['I', 'D', 'B', 'C', 'F']"
15,good,"['C', 'K', 'A', 'B', 'D']"
16,good,"['D', 'A', 'B', 'H', 'J']"
17,good,"['D', 'A', 'L', 'C', 'B']"
18,good,"['D', 'E', 'M', 'A', 'C']"
19,good,"['D', 'C', 'K', 'B', 'A']"
20,good,"['D', 'G', 'B', 'E', 'A']"
21,good,"['D', 'A', 'C', 'E', 'F']"
22,good,"['D', 'A', 'B', 'C', 'M']"
23,good,"['D', 'C', 'B', 'G', 'K']"
24,good,"['F', 'D', 'B', 'C', 'A']"
25,good,"['D', 'H', 'L', 'A', 'B']"
26,good,"['D', 'J', 'B', 'A', 'C']"
27,good,"['D', 'L', 'G', 'C', 'B']"
28,good,"['D', 'A', 'F', 'H', 'J']"
29,good,"['D', 'A', 'B', 'C', 'E']"
30,good,"['D', 'F', 'H', 'K', 'L']"
31,good,"['C', 'B', 'D', 'F', 'J']"
32,good,"['I', 'H', 'J', 'L', 'M']"
33,good,"['D', 'B', 'J', 'A', 'C']"
34,good,"['D', 'A', 'B', 'C', 'E']"
35,good,"['D', 'C', 'F', 'G', 'K']"
36,good,"['D', 'A', 'E', 'B', 'H']"
37,good,"['D', 'B', 'G', 'I', 'M']"
38,good,"['D', 'A', 'C', 'B', 'E']"
39,good,"['D', 'G', 'J', 'L', 'I']"
40,good,"['D', 'C', 'A', 'B', 'E']"
41,good,"['A', 'D', 'E', 'F', 'B']"
42,good,"['D', 'A', 'B', 'C', 'E']"
43,good,"['D', 'F', 'I', 'C', 'K']"
44,good,"['D', 'I', 'B', 'H', 'M']"
45,good,"['D', 'C', 'B', 'A', 'M']"
46,good,"['D', 'C', 'B', 'J', 'L']"
47,good,"['M', 'D', 'B', 'A', 'C']"
48,good,"['J', 'I', 'H', 'F', 'D']"
49,good,"['M', 'I', 'H', 'D', 'B']"
50,good,"['I', 'D', 'B', 'A', 'C']"
51,good,"['D', 'L', 'K', 'H', 'B']"
52,good,"['D', 'B', 'A', 'C', 'F']"
53,good,"['L', 'D', 'B', 'M', 'I']"
54,good,"['D', 'H', 'C', 'L', 'K']"
55,good,"['D', 'H', 'L', 'C', 'A']"
56,good,"['D', 'C', 'B', 'A', 'H']"
57,good,"['D', 'B', 'C', 'F', 'K']"
58,good,"['D', 'B', 'A', 'C', 'F']"
59,good,"['F', 'D', 'H', 'L', 'J']"
60,good,"['D', 'A', 'E', 'F', 'H']"
61,good,"['D', 'B', 'A', 'C', 'F']"
62,good,"['D', 'C', 'A', 'B', 'H']"
63,good,"['D', 'F', 'L', 'K', 'H']"
64,good,"['D', 'C', 'F', 'L', 'B']"
65,good,"['D', 'A', 'B', 'H', 'M']"
66,good,"['D', 'B', 'C', 'F', 'L']"
67,good,"['D', 'H', 'F', 'L', 'K']"
68,good,"['D', 'B', 'C', 'A', 'H']"
69,good,"['D', 'C', 'K', 'B', 'F']"
70,good,"['D', 'F', 'H', 'K', 'L']"
71,good,"['D', 'A', 'M', 'G', 'K']"
72,good,"['D', 'F', 'E', 'B', 'A']"
73,good,"['M', 'H', 'D', 'B', 'J']"
74,good,"['D', 'I', 'B', 'K', 'A']"
75,good,"['D', 'C', 'A', 'B', 'E']"
76,good,"['D', 'A', 'I', 'J', 'B']"
77,good,"['D', 'B', 'A', 'C', 'E']"
78,good,"['D', 'A', 'B', 'C', 'E']"
79,good,"['D', 'I', 'B', 'A', 'C']"
80,good,"['H', 'D', 'C', 'B', 'A']"
81,good,"['D', 'G', 'L', 'C', 'A']"
82,good,"['D', 'F', 'G', 'I', 'K']"
83,good,"['D', 'A', 'F', 'K', 'B']"
84,good,"['D', 'F', 'B', 'A', 'C']"
85,good,"['D', 'B', 'F', 'E', 'I']"
86,unsolvable,"['C', 'F', 'G', 'I', 'J']"
87,good,"['M', 'K', 'H', 'G', 'J']"
88,good,"['D', 'I', 'M', 'A', 'B']"
89,good,"['D', 'I', 'M', 'B', 'H']"
90,good,"['D', 'C', 'I', 'L', 'B']"
91,good,"['D', 'H', 'J', 'K', 'I']"
92,good,"['A', 'B', 'C', 'D', 'F']"
93,good,"['B', 'A', 'C', 'D', 'E']"
94,good,"['M', 'D', 'C', 'J', 'I']"
95,good,"['D', 'C', 'B', 'H', 'L']"
96,good,"['D', 'A', 'B', 'C', 'F']"
97,good,"['M', 'K', 'I', 'H', 'F']"
98,good,"['D', 'A', 'B', 'C', 'F']"
99,good,"['D', 'B', 'A', 'C', 'E']"
