prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1006.0,134.0,0.03018,0.008039999999999999,0.03822
1006.0,358.0,0.03018,0.02148,0.05166
1006.0,389.0,0.03018,0.02334,0.05352
1006.0,210.0,0.03018,0.0126,0.04278
1006.0,230.0,0.03018,0.0138,0.04398
1006.0,306.0,0.03018,0.018359999999999998,0.04854
1006.0,270.0,0.03018,0.0162,0.04638
1006.0,231.0,0.03018,0.013859999999999999,0.044039999999999996
1006.0,253.0,0.03018,0.015179999999999999,0.04536
1006.0,222.0,0.03018,0.01332,0.0435
1006.0,210.0,0.03018,0.0126,0.04278
1006.0,194.0,0.03018,0.01164,0.041819999999999996
1006.0,318.0,0.03018,0.01908,0.04926
1006.0,233.0,0.03018,0.01398,0.04416
1006.0,325.0,0.03018,0.0195,0.04968
1006.0,359.0,0.03018,0.02154,0.05172
1006.0,241.0,0.03018,0.014459999999999999,0.04464
1006.0,309.0,0.03018,0.018539999999999997,0.04872
1006.0,344.0,0.03018,0.020640000000000002,0.050820000000000004
1006.0,313.0,0.03018,0.018779999999999998,0.04896
1006.0,279.0,0.03018,0.016739999999999998,0.046919999999999996
1006.0,287.0,0.03018,0.01722,0.0474
1006.0,207.0,0.03018,0.01242,0.0426
1006.0,242.0,0.03018,0.01452,0.0447
1006.0,338.0,0.03018,0.020279999999999996,0.05045999999999999
1006.0,265.0,0.03018,0.015899999999999997,0.046079999999999996
1006.0,282.0,0.03018,0.016919999999999998,0.047099999999999996
1006.0,288.0,0.03018,0.01728,0.04746
1006.0,221.0,0.03018,0.01326,0.04344
1006.0,206.0,0.03018,0.01236,0.042539999999999994
1006.0,203.0,0.03018,0.01218,0.042359999999999995
1006.0,226.0,0.03018,0.01356,0.04374
1006.0,397.0,0.03018,0.02382,0.054
1006.0,337.0,0.03018,0.02022,0.0504
1006.0,999.0,0.03018,0.05994,0.09012
1006.0,225.0,0.03018,0.0135,0.04368
1006.0,210.0,0.03018,0.0126,0.04278
1006.0,339.0,0.03018,0.02034,0.050519999999999995
1006.0,225.0,0.03018,0.0135,0.04368
1006.0,246.0,0.03018,0.01476,0.04494
1006.0,248.0,0.03018,0.014879999999999999,0.045059999999999996
1006.0,316.0,0.03018,0.01896,0.04914
1006.0,278.0,0.03018,0.01668,0.04686
1006.0,233.0,0.03018,0.01398,0.04416
1006.0,226.0,0.03018,0.01356,0.04374
1006.0,203.0,0.03018,0.01218,0.042359999999999995
1006.0,323.0,0.03018,0.019379999999999998,0.04955999999999999
1006.0,268.0,0.03018,0.016079999999999997,0.046259999999999996
1006.0,148.0,0.03018,0.008879999999999999,0.03906
1006.0,235.0,0.03018,0.0141,0.04428
1006.0,386.0,0.03018,0.02316,0.05334
1006.0,303.0,0.03018,0.018179999999999998,0.04836
1006.0,170.0,0.03018,0.010199999999999999,0.04038
1006.0,248.0,0.03018,0.014879999999999999,0.045059999999999996
1006.0,305.0,0.03018,0.0183,0.048479999999999995
1006.0,222.0,0.03018,0.01332,0.0435
1006.0,220.0,0.03018,0.0132,0.04338
1006.0,201.0,0.03018,0.01206,0.04224
1006.0,229.0,0.03018,0.01374,0.04392
1006.0,357.0,0.03018,0.021419999999999998,0.05159999999999999
1006.0,271.0,0.03018,0.016259999999999997,0.046439999999999995
1006.0,306.0,0.03018,0.018359999999999998,0.04854
1006.0,236.0,0.03018,0.01416,0.04434
1006.0,411.0,0.03018,0.02466,0.05484
1006.0,234.0,0.03018,0.014039999999999999,0.044219999999999995
1006.0,237.0,0.03018,0.014219999999999998,0.044399999999999995
1006.0,359.0,0.03018,0.02154,0.05172
1006.0,326.0,0.03018,0.019559999999999998,0.04973999999999999
1006.0,302.0,0.03018,0.01812,0.048299999999999996
1006.0,346.0,0.03018,0.020759999999999997,0.05094
1006.0,213.0,0.03018,0.01278,0.04296
1006.0,224.0,0.03018,0.013439999999999999,0.04362
1006.0,261.0,0.03018,0.01566,0.04584
1006.0,339.0,0.03018,0.02034,0.050519999999999995
1006.0,221.0,0.03018,0.01326,0.04344
1006.0,291.0,0.03018,0.01746,0.04764
1006.0,228.0,0.03018,0.01368,0.043859999999999996
1006.0,213.0,0.03018,0.01278,0.04296
1006.0,265.0,0.03018,0.015899999999999997,0.046079999999999996
1006.0,220.0,0.03018,0.0132,0.04338
1006.0,261.0,0.03018,0.01566,0.04584
1006.0,334.0,0.03018,0.02004,0.05022
1006.0,233.0,0.03018,0.01398,0.04416
1006.0,224.0,0.03018,0.013439999999999999,0.04362
1006.0,279.0,0.03018,0.016739999999999998,0.046919999999999996
1006.0,187.0,0.03018,0.011219999999999999,0.0414
1006.0,271.0,0.03018,0.016259999999999997,0.046439999999999995
1006.0,238.0,0.03018,0.01428,0.04446
1006.0,266.0,0.03018,0.01596,0.04614
1006.0,282.0,0.03018,0.016919999999999998,0.047099999999999996
1006.0,305.0,0.03018,0.0183,0.048479999999999995
1006.0,411.0,0.03018,0.02466,0.05484
1006.0,268.0,0.03018,0.016079999999999997,0.046259999999999996
1006.0,314.0,0.03018,0.01884,0.049019999999999994
1006.0,276.0,0.03018,0.01656,0.04674
1006.0,231.0,0.03018,0.013859999999999999,0.044039999999999996
1006.0,281.0,0.03018,0.01686,0.04704
1006.0,229.0,0.03018,0.01374,0.04392
1006.0,216.0,0.03018,0.01296,0.04314
1006.0,254.0,0.03018,0.01524,0.04542
