index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'B', 'D']"
1,good,"['A', 'C', 'B', 'D']"
2,good,"['A', 'C', 'D', 'B']"
3,good,"['A', 'C', 'B', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'C', 'D', 'B']"
6,good,"['A', 'C', 'D', 'B']"
7,good,"['A', 'B', 'C', 'D']"
8,good,"['A', 'C', 'B', 'D']"
9,unsolvable,"['A', 'C', 'D', 'B']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['A', 'B', 'C', 'D']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'D', 'C', 'B']"
16,good,"['A', 'C', 'B', 'D']"
17,good,"['A', 'C', 'D', 'B']"
18,unsolvable,"['A', 'C', 'B', 'D']"
19,good,"['A', 'C', 'B', 'D']"
20,unsolvable,"['W', 'i', 't', 'h']"
21,good,"['A', 'C', 'D', 'B']"
22,good,"['A', 'C', 'B', 'D']"
23,good,"['A', 'C', 'D', 'B']"
24,unsolvable,"['A', 'B', 'C', 'D']"
25,good,"['A', 'C', 'D', 'B']"
26,good,"['A', 'C', 'B', 'D']"
27,unsolvable,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'C', 'B', 'D']"
30,good,"['A', 'C', 'B', 'D']"
31,good,"['A', 'C', 'D', 'B']"
32,good,"['A', 'C', 'B', 'D']"
33,good,"['A', 'C', 'D', 'B']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'D', 'B']"
36,good,"['A', 'C', 'D', 'B']"
37,good,"['A', 'C', 'B', 'D']"
38,good,"['A', 'C', 'D', 'B']"
39,unsolvable,"['A', 'B', 'C', 'D']"
40,good,"['A', 'C', 'D', 'B']"
41,good,"['A', 'C', 'D', 'B']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['C', 'D', 'B', 'A']"
45,good,"['A', 'C', 'B', 'D']"
46,good,"['C', 'A', 'B', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'C', 'D', 'B']"
49,good,"['A', 'C', 'D', 'B']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'C', 'B', 'D']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'C', 'B', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['A', 'C', 'B', 'D']"
56,good,"['A', 'C', 'B', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'C', 'B', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'D', 'B']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['A', 'C', 'B', 'D']"
63,good,"['A', 'B', 'C', 'D']"
64,good,"['A', 'C', 'B', 'D']"
65,good,"['A', 'C', 'D', 'B']"
66,unsolvable,"['A', 'C', 'B', 'D']"
67,unsolvable,"['A', 'C', 'B', 'D']"
68,good,"['A', 'B', 'C', 'D']"
69,good,"['A', 'C', 'D', 'B']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['B', 'C', 'A', 'D']"
72,good,"['A', 'C', 'B', 'D']"
73,good,"['A', 'C', 'D', 'B']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'C', 'D', 'B']"
76,good,"['A', 'D', 'B', 'C']"
77,good,"['A', 'B', 'D', 'C']"
78,good,"['A', 'C', 'B', 'D']"
79,good,"['A', 'C', 'B', 'D']"
80,good,"['A', 'C', 'D', 'B']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'C', 'B', 'D']"
83,unsolvable,"['A', 'C', 'B', 'D']"
84,good,"['A', 'D', 'B', 'C']"
85,good,"['A', 'C', 'B', 'D']"
86,good,"['A', 'C', 'D', 'B']"
87,good,"['A', 'C', 'D', 'B']"
88,good,"['A', 'C', 'B', 'D']"
89,good,"['A', 'C', 'B', 'D']"
90,good,"['A', 'C', 'D', 'B']"
91,good,"['A', 'D', 'C', 'B']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'C', 'B', 'D']"
94,good,"['A', 'C', 'D', 'B']"
95,good,"['A', 'C', 'D', 'B']"
96,good,"['A', 'C', 'B', 'D']"
97,unsolvable,"['A', 'C', 'B', 'D']"
98,good,"['A', 'C', 'D', 'B']"
99,good,"['A', 'C', 'B', 'D']"
