index,good/bad/unsolvable,reply
0,good,"['A', 'C', 'D', 'G', 'I']"
1,good,"['A', 'G', 'F', 'I', 'E']"
2,good,"['A', 'C', 'G', 'I', 'D']"
3,good,"['A', 'C', 'D', 'G', 'I']"
4,good,"['A', 'D', 'C', 'I', 'G']"
5,good,"['A', 'G', 'D', 'I', 'H']"
6,good,"['A', 'G', 'I', 'H', 'C']"
7,good,"['A', 'C', 'G', 'I', 'D']"
8,good,"['A', 'C', 'I', 'G', 'D']"
9,good,"['A', 'G', 'D', 'I', 'C']"
10,good,"['A', 'C', 'I', 'G', 'D']"
11,good,"['A', 'C', 'I', 'B', 'J']"
12,good,"['A', 'C', 'G', 'I', 'D']"
13,good,"['A', 'C', 'G', 'I', 'D']"
14,good,"['A', 'D', 'G', 'I', 'C']"
15,good,"['A', 'C', 'G', 'I', 'D']"
16,good,"['A', 'C', 'G', 'I', 'J']"
17,good,"['A', 'G', 'I', 'D', 'C']"
18,good,"['A', 'C', 'D', 'G', 'I']"
19,good,"['A', 'G', 'I', 'D', 'F']"
20,good,"['A', 'G', 'H', 'I', 'C']"
21,good,"['A', 'C', 'D', 'G', 'H']"
22,good,"['A', 'D', 'C', 'G', 'B']"
23,good,"['A', 'C', 'G', 'I', 'D']"
24,good,"['A', 'C', 'I', 'G', 'D']"
25,good,"['A', 'G', 'D', 'I', 'E']"
26,good,"['A', 'G', 'C', 'I', 'D']"
27,good,"['A', 'D', 'C', 'G', 'I']"
28,good,"['A', 'C', 'G', 'I', 'J']"
29,good,"['A', 'D', 'G', 'H', 'I']"
30,good,"['A', 'C', 'D', 'G', 'I']"
31,good,"['A', 'C', 'G', 'I', 'D']"
32,good,"['A', 'G', 'F', 'I', 'D']"
33,good,"['A', 'C', 'G', 'I', 'D']"
34,good,"['A', 'C', 'G', 'I', 'J']"
35,good,"['A', 'D', 'C', 'I', 'G']"
36,good,"['A', 'C', 'G', 'I', 'D']"
37,good,"['A', 'C', 'I', 'G', 'E']"
38,good,"['A', 'D', 'G', 'I', 'C']"
39,good,"['A', 'D', 'C', 'G', 'F']"
40,good,"['A', 'C', 'I', 'J', 'G']"
41,good,"['A', 'I', 'G', 'J', 'D']"
42,good,"['A', 'D', 'G', 'I', 'H']"
43,good,"['A', 'C', 'D', 'G', 'I']"
44,good,"['A', 'G', 'I', 'J', 'D']"
45,good,"['A', 'C', 'I', 'G', 'B']"
46,good,"['A', 'I', 'C', 'G', 'D']"
47,good,"['A', 'G', 'I', 'C', 'J']"
48,good,"['A', 'G', 'I', 'J', 'C']"
49,good,"['A', 'D', 'C', 'G', 'I']"
50,good,"['A', 'G', 'I', 'H', 'C']"
51,good,"['A', 'C', 'B', 'I', 'E']"
52,good,"['A', 'G', 'I', 'D', 'B']"
53,good,"['A', 'D', 'G', 'I', 'J']"
54,good,"['A', 'D', 'C', 'G', 'I']"
55,good,"['A', 'C', 'I', 'G', 'D']"
56,good,"['A', 'C', 'D', 'G', 'I']"
57,good,"['A', 'C', 'I', 'G', 'D']"
58,good,"['A', 'G', 'D', 'I', 'C']"
59,good,"['A', 'D', 'C', 'G', 'I']"
60,good,"['A', 'C', 'I', 'G', 'J']"
61,good,"['A', 'C', 'I', 'G', 'J']"
62,good,"['A', 'C', 'I', 'D', 'E']"
63,good,"['A', 'G', 'I', 'D', 'E']"
64,good,"['A', 'C', 'I', 'G', 'D']"
65,good,"['A', 'G', 'D', 'I', 'C']"
66,good,"['A', 'C', 'D', 'G', 'I']"
67,good,"['A', 'G', 'H', 'I', 'J']"
68,good,"['A', 'D', 'H', 'I', 'E']"
69,good,"['A', 'C', 'D', 'G', 'I']"
70,good,"['A', 'C', 'G', 'I', 'E']"
71,good,"['A', 'C', 'I', 'G', 'B']"
72,good,"['A', 'I', 'B', 'G', 'E']"
73,good,"['A', 'C', 'G', 'H', 'I']"
74,good,"['A', 'F', 'G', 'H', 'I']"
75,good,"['A', 'D', 'E', 'F', 'B']"
76,good,"['A', 'C', 'D', 'G', 'H']"
77,good,"['A', 'C', 'D', 'G', 'H']"
78,good,"['A', 'C', 'D', 'I', 'G']"
79,good,"['A', 'C', 'G', 'I', 'D']"
80,good,"['A', 'I', 'D', 'J', 'B']"
81,good,"['A', 'C', 'G', 'I', 'J']"
82,good,"['A', 'C', 'G', 'I', 'B']"
83,good,"['A', 'G', 'D', 'C', 'I']"
84,good,"['A', 'C', 'D', 'G', 'I']"
85,good,"['A', 'C', 'I', 'G', 'D']"
86,good,"['A', 'C', 'I', 'G', 'B']"
87,good,"['A', 'D', 'B', 'E', 'F']"
88,good,"['A', 'G', 'I', 'D', 'C']"
89,good,"['A', 'D', 'G', 'H', 'I']"
90,good,"['A', 'C', 'G', 'J', 'D']"
91,good,"['A', 'C', 'D', 'G', 'I']"
92,good,"['A', 'C', 'G', 'I', 'D']"
93,good,"['A', 'C', 'D', 'G', 'I']"
94,good,"['A', 'D', 'G', 'H', 'I']"
95,good,"['A', 'G', 'D', 'C', 'I']"
96,good,"['A', 'G', 'C', 'D', 'I']"
97,good,"['A', 'C', 'I', 'G', 'D']"
98,good,"['A', 'C', 'G', 'I', 'J']"
99,good,"['A', 'C', 'D', 'G', 'I']"
