index,good/bad/unsolvable,reply
0,good,"['A', 'F', 'G', 'B', 'C']"
1,good,"['A', 'E', 'I', 'A', 'H']"
2,good,"['A', 'C', 'G', 'B', 'D']"
3,good,"['A', 'I', 'C', 'G', 'E']"
4,good,"['A', 'B', 'F', 'C', 'I']"
5,good,"['A', 'C', 'E', 'I', 'G']"
6,good,"['A', 'F', 'G', 'B', 'H']"
7,good,"['A', 'E', 'A', 'F', 'H']"
8,good,"['A', 'D', 'B', 'F', 'E']"
9,good,"['A', 'E', 'G', 'D', 'B']"
10,good,"['A', 'B', 'C', 'D', 'E']"
11,good,"['A', 'B', 'E', 'F', 'G']"
12,good,"['A', 'D', 'G', 'B', 'E']"
13,good,"['A', 'E', 'F', 'I', 'A']"
14,good,"['A', 'D', 'B', 'H', 'F']"
15,good,"['A', 'C', 'G', 'D', 'B']"
16,good,"['A', 'C', 'D', 'F', 'B']"
17,good,"['A', 'G', 'H', 'I', 'B']"
18,good,"['A', 'C', 'G', 'B', 'D']"
19,good,"['A', 'F', 'H', 'C', 'E']"
20,good,"['A', 'C', 'G', 'B', 'D']"
21,good,"['A', 'C', 'I', 'B', 'F']"
22,good,"['A', 'D', 'G', 'A', 'C']"
23,good,"['A', 'I', 'C', 'E', 'G']"
24,good,"['A', 'B', 'G', 'C', 'D']"
25,good,"['A', 'F', 'I', 'H', 'D']"
26,good,"['A', 'C', 'E', 'G', 'I']"
27,good,"['A', 'G', 'E', 'F', 'I']"
28,good,"['A', 'B', 'C', 'G', 'D']"
29,good,"['A', 'I', 'D', 'G', 'B']"
30,good,"['A', 'B', 'G', 'C', 'D']"
31,good,"['A', 'H', 'C', 'G', 'F']"
32,good,"['A', 'G', 'E', 'B', 'C']"
33,good,"['A', 'H', 'E', 'G', 'B']"
34,good,"['A', 'C', 'I', 'G', 'B']"
35,good,"['A', 'F', 'B', 'C', 'D']"
36,good,"['A', 'I', 'F', 'D', 'B']"
37,good,"['A', 'B', 'C', 'D', 'E']"
38,good,"['A', 'G', 'B', 'C', 'D']"
39,good,"['A', 'I', 'B', 'C', 'D']"
40,good,"['A', 'F', 'B', 'C', 'D']"
41,good,"['A', 'G', 'J', 'I', 'H']"
42,good,"['A', 'C', 'F', 'D', 'J']"
43,good,"['A', 'F', 'G', 'C', 'B']"
44,good,"['A', 'E', 'I', 'G', 'B']"
45,good,"['A', 'C', 'E', 'G', 'B']"
46,good,"['A', 'F', 'I', 'G', 'D']"
47,good,"['A', 'C', 'E', 'I', 'F']"
48,good,"['A', 'C', 'B', 'F', 'G']"
49,good,"['A', 'G', 'B', 'D', 'F']"
50,good,"['A', 'I', 'F', 'H', 'C']"
51,good,"['A', 'G', 'I', 'J', 'H']"
52,good,"['I', 'A', 'G', 'F', 'B']"
53,good,"['A', 'G', 'F', 'C', 'E']"
54,good,"['A', 'B', 'G', 'D', 'I']"
55,good,"['A', 'E', 'H', 'B', 'C']"
56,good,"['A', 'C', 'I', 'E', 'F']"
57,good,"['A', 'B', 'D', 'G', 'I']"
58,good,"['A', 'D', 'H', 'I', 'F']"
59,good,"['G', 'B', 'F', 'A', 'I']"
60,good,"['A', 'F', 'I', 'B', 'C']"
61,good,"['A', 'F', 'I', 'C', 'E']"
62,good,"['A', 'B', 'C', 'D', 'E']"
63,good,"['G', 'A', 'F', 'C', 'B']"
64,good,"['A', 'D', 'G', 'C', 'E']"
65,good,"['A', 'C', 'E', 'G', 'I']"
66,good,"['A', 'G', 'B', 'E', 'I']"
67,good,"['A', 'G', 'B', 'C', 'D']"
68,good,"['A', 'B', 'C', 'D', 'E']"
69,good,"['A', 'E', 'G', 'B', 'C']"
70,good,"['A', 'C', 'E', 'G', 'I']"
71,good,"['A', 'C', 'I', 'E', 'G']"
72,good,"['A', 'C', 'B', 'F', 'J']"
73,good,"['A', 'B', 'I', 'F', 'C']"
74,good,"['A', 'F', 'J', 'C', 'E']"
75,unsolvable,"['J', 'H', 'F', 'D', 'B']"
76,good,"['A', 'B', 'C', 'D', 'E']"
77,good,"['A', 'G', 'E', 'B', 'F']"
78,good,"['A', 'C', 'E', 'I', 'G']"
79,good,"['A', 'B', 'G', 'I', 'J']"
80,good,"['A', 'F', 'G', 'C', 'B']"
81,good,"['A', 'B', 'E', 'I', 'F']"
82,good,"['A', 'B', 'G', 'E', 'C']"
83,good,"['A', 'F', 'H', 'B', 'C']"
84,good,"['G', 'A', 'F', 'C', 'B']"
85,good,"['A', 'D', 'G', 'J', 'E']"
86,good,"['A', 'D', 'F', 'B', 'J']"
87,unsolvable,"['A', 'B', 'C', 'D', 'E']"
88,good,"['A', 'C', 'D', 'F', 'I']"
89,good,"['A', 'E', 'C', 'G', 'J']"
90,good,"['A', 'I', 'F', 'C', 'E']"
91,good,"['A', 'G', 'D', 'F', 'J']"
92,good,"['A', 'C', 'D', 'G', 'B']"
93,good,"['A', 'G', 'D', 'F', 'B']"
94,good,"['A', 'F', 'G', 'C', 'B']"
95,good,"['A', 'C', 'B', 'F', 'G']"
96,good,"['A', 'D', 'G', 'I', 'J']"
97,good,"['A', 'C', 'G', 'F', 'I']"
98,good,"['A', 'C', 'D', 'F', 'I']"
99,good,"['A', 'E', 'G', 'I', 'C']"
