prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1723.0,169.0,0.05169,0.010139999999999998,0.061829999999999996
1723.0,212.0,0.05169,0.012719999999999999,0.06441
1723.0,217.0,0.05169,0.01302,0.06471
1723.0,256.0,0.05169,0.015359999999999999,0.06705
1723.0,152.0,0.05169,0.00912,0.06081
1723.0,230.0,0.05169,0.0138,0.06548999999999999
1723.0,279.0,0.05169,0.016739999999999998,0.06842999999999999
1723.0,152.0,0.05169,0.00912,0.06081
1723.0,251.0,0.05169,0.015059999999999999,0.06675
1723.0,334.0,0.05169,0.02004,0.07173
1723.0,187.0,0.05169,0.011219999999999999,0.06291
1723.0,236.0,0.05169,0.01416,0.06585
1723.0,225.0,0.05169,0.0135,0.06519
1723.0,233.0,0.05169,0.01398,0.06567
1723.0,217.0,0.05169,0.01302,0.06471
1723.0,218.0,0.05169,0.01308,0.06477
1723.0,209.0,0.05169,0.012539999999999999,0.06423
1723.0,237.0,0.05169,0.014219999999999998,0.06591
1723.0,366.0,0.05169,0.02196,0.07365
1723.0,209.0,0.05169,0.012539999999999999,0.06423
1723.0,186.0,0.05169,0.01116,0.06285
1723.0,215.0,0.05169,0.0129,0.06459
1723.0,295.0,0.05169,0.0177,0.06939000000000001
1723.0,177.0,0.05169,0.01062,0.06231
1723.0,193.0,0.05169,0.01158,0.06326999999999999
1723.0,239.0,0.05169,0.01434,0.06603
1723.0,177.0,0.05169,0.01062,0.06231
1723.0,248.0,0.05169,0.014879999999999999,0.06657
1723.0,281.0,0.05169,0.01686,0.06855
1723.0,278.0,0.05169,0.01668,0.06837
1723.0,200.0,0.05169,0.012,0.06369
1723.0,227.0,0.05169,0.013619999999999998,0.06530999999999999
1723.0,260.0,0.05169,0.0156,0.06729
1723.0,191.0,0.05169,0.01146,0.06315
1723.0,215.0,0.05169,0.0129,0.06459
1723.0,251.0,0.05169,0.015059999999999999,0.06675
1723.0,167.0,0.05169,0.01002,0.06171
1723.0,185.0,0.05169,0.0111,0.06279
1723.0,283.0,0.05169,0.016980000000000002,0.06867000000000001
1723.0,211.0,0.05169,0.01266,0.06435
1723.0,307.0,0.05169,0.01842,0.07011
1723.0,236.0,0.05169,0.01416,0.06585
1723.0,255.0,0.05169,0.0153,0.06699
1723.0,228.0,0.05169,0.01368,0.06537
1723.0,205.0,0.05169,0.012299999999999998,0.06398999999999999
1723.0,255.0,0.05169,0.0153,0.06699
1723.0,264.0,0.05169,0.01584,0.06753
1723.0,190.0,0.05169,0.0114,0.06309000000000001
1723.0,260.0,0.05169,0.0156,0.06729
1723.0,279.0,0.05169,0.016739999999999998,0.06842999999999999
1723.0,218.0,0.05169,0.01308,0.06477
1723.0,225.0,0.05169,0.0135,0.06519
1723.0,211.0,0.05169,0.01266,0.06435
1723.0,207.0,0.05169,0.01242,0.06411
1723.0,299.0,0.05169,0.017939999999999998,0.06963
1723.0,233.0,0.05169,0.01398,0.06567
1723.0,251.0,0.05169,0.015059999999999999,0.06675
1723.0,177.0,0.05169,0.01062,0.06231
1723.0,282.0,0.05169,0.016919999999999998,0.06861
1723.0,223.0,0.05169,0.01338,0.06507
1723.0,278.0,0.05169,0.01668,0.06837
1723.0,209.0,0.05169,0.012539999999999999,0.06423
1723.0,172.0,0.05169,0.010320000000000001,0.06201
1723.0,153.0,0.05169,0.009179999999999999,0.06087
1723.0,299.0,0.05169,0.017939999999999998,0.06963
1723.0,202.0,0.05169,0.012119999999999999,0.06381
1723.0,320.0,0.05169,0.0192,0.07089
1723.0,200.0,0.05169,0.012,0.06369
1723.0,190.0,0.05169,0.0114,0.06309000000000001
1723.0,186.0,0.05169,0.01116,0.06285
1723.0,221.0,0.05169,0.01326,0.06495
1723.0,207.0,0.05169,0.01242,0.06411
1723.0,208.0,0.05169,0.01248,0.06417
1723.0,268.0,0.05169,0.016079999999999997,0.06777
1723.0,289.0,0.05169,0.01734,0.06903000000000001
1723.0,187.0,0.05169,0.011219999999999999,0.06291
1723.0,196.0,0.05169,0.01176,0.06345
1723.0,226.0,0.05169,0.01356,0.06525
1723.0,303.0,0.05169,0.018179999999999998,0.06987
1723.0,241.0,0.05169,0.014459999999999999,0.06615
1723.0,272.0,0.05169,0.01632,0.06801
1723.0,263.0,0.05169,0.01578,0.06747
1723.0,218.0,0.05169,0.01308,0.06477
1723.0,164.0,0.05169,0.00984,0.06153
1723.0,150.0,0.05169,0.009,0.06069
1723.0,269.0,0.05169,0.01614,0.06783
1723.0,87.0,0.05169,0.00522,0.05691
1723.0,295.0,0.05169,0.0177,0.06939000000000001
1723.0,228.0,0.05169,0.01368,0.06537
1723.0,224.0,0.05169,0.013439999999999999,0.06513
1723.0,210.0,0.05169,0.0126,0.06429
1723.0,200.0,0.05169,0.012,0.06369
1723.0,233.0,0.05169,0.01398,0.06567
1723.0,147.0,0.05169,0.00882,0.06051
1723.0,188.0,0.05169,0.01128,0.06297
1723.0,198.0,0.05169,0.011879999999999998,0.06357
1723.0,189.0,0.05169,0.01134,0.06303
1723.0,260.0,0.05169,0.0156,0.06729
1723.0,273.0,0.05169,0.01638,0.06806999999999999
1723.0,250.0,0.05169,0.015,0.06669
