index,good/bad/unsolvable,reply
0,good,"['D', 'A', 'B', 'F', 'L']"
1,good,"['D', 'C', 'B', 'I', 'K']"
2,good,"['D', 'G', 'M', 'A', 'B']"
3,good,"['D', 'C', 'B', 'E', 'L']"
4,good,"['D', 'A', 'C', 'H', 'E']"
5,good,"['D', 'C', 'B', 'E', 'F']"
6,good,"['D', 'G', 'C', 'B', 'A']"
7,good,"['A', 'D', 'C', 'B', 'E']"
8,good,"['D', 'H', 'I', 'A', 'C']"
9,good,"['D', 'A', 'C', 'E', 'F']"
10,good,"['D', 'C', 'B', 'F', 'G']"
11,good,"['D', 'C', 'I', 'F', 'K']"
12,good,"['D', 'A', 'F', 'H', 'I']"
13,good,"['D', 'C', 'B', 'A', 'E']"
14,good,"['D', 'G', 'K', 'C', 'B']"
15,good,"['D', 'A', 'B', 'C', 'E']"
16,good,"['D', 'C', 'B', 'F', 'H']"
17,good,"['D', 'B', 'C', 'A', 'E']"
18,good,"['D', 'C', 'B', 'A', 'E']"
19,good,"['A', 'D', 'L', 'C', 'B']"
20,good,"['D', 'B', 'E', 'I', 'K']"
21,good,"['D', 'B', 'A', 'E', 'F']"
22,good,"['A', 'D', 'M', 'C', 'E']"
23,good,"['D', 'C', 'E', 'F', 'G']"
24,good,"['D', 'C', 'M', 'J', 'F']"
25,good,"['D', 'B', 'F', 'H', 'J']"
26,good,"['D', 'C', 'M', 'B', 'A']"
27,good,"['D', 'C', 'L', 'I', 'G']"
28,good,"['H', 'J', 'D', 'C', 'B']"
29,good,"['F', 'D', 'A', 'B', 'C']"
30,good,"['D', 'F', 'B', 'A', 'I']"
31,good,"['D', 'C', 'F', 'B', 'G']"
32,good,"['A', 'D', 'C', 'B', 'E']"
33,good,"['D', 'B', 'A', 'E', 'C']"
34,good,"['D', 'A', 'K', 'L', 'C']"
35,good,"['D', 'C', 'A', 'F', 'H']"
36,good,"['D', 'C', 'A', 'M', 'L']"
37,good,"['D', 'A', 'B', 'C', 'F']"
38,good,"['D', 'A', 'C', 'I', 'K']"
39,good,"['D', 'C', 'A', 'B', 'F']"
40,good,"['D', 'A', 'F', 'I', 'H']"
41,good,"['A', 'D', 'B', 'C', 'E']"
42,good,"['D', 'A', 'M', 'I', 'G']"
43,good,"['D', 'A', 'B', 'C', 'E']"
44,good,"['D', 'A', 'F', 'I', 'B']"
45,good,"['D', 'A', 'C', 'B', 'E']"
46,good,"['D', 'C', 'J', 'H', 'L']"
47,good,"['D', 'H', 'I', 'C', 'E']"
48,good,"['D', 'A', 'B', 'C', 'E']"
49,good,"['D', 'A', 'C', 'I', 'B']"
50,good,"['A', 'D', 'K', 'C', 'B']"
51,good,"['D', 'J', 'K', 'L', 'A']"
52,good,"['D', 'C', 'B', 'A', 'K']"
53,good,"['D', 'C', 'B', 'A', 'E']"
54,good,"['D', 'C', 'J', 'H', 'B']"
55,good,"['D', 'C', 'B', 'A', 'E']"
56,good,"['D', 'C', 'B', 'H', 'K']"
57,good,"['D', 'A', 'C', 'G', 'E']"
58,good,"['D', 'G', 'K', 'M', 'C']"
59,good,"['D', 'F', 'B', 'J', 'K']"
60,good,"['D', 'B', 'A', 'C', 'F']"
61,good,"['D', 'C', 'B', 'A', 'E']"
62,good,"['D', 'B', 'A', 'C', 'F']"
63,good,"['D', 'B', 'A', 'C', 'E']"
64,good,"['D', 'C', 'B', 'E', 'K']"
65,good,"['D', 'M', 'F', 'A', 'C']"
66,good,"['D', 'C', 'A', 'B', 'F']"
67,good,"['D', 'B', 'A', 'C', 'E']"
68,good,"['A', 'D', 'H', 'C', 'B']"
69,good,"['D', 'A', 'G', 'B', 'F']"
70,good,"['D', 'C', 'B', 'A', 'E']"
71,good,"['D', 'C', 'B', 'A', 'E']"
72,good,"['D', 'C', 'B', 'A', 'F']"
73,good,"['D', 'B', 'C', 'F', 'H']"
74,good,"['D', 'C', 'A', 'G', 'B']"
75,good,"['D', 'C', 'A', 'I', 'J']"
76,good,"['D', 'A', 'B', 'C', 'F']"
77,good,"['D', 'B', 'A', 'E', 'F']"
78,good,"['D', 'I', 'M', 'C', 'F']"
79,good,"['D', 'C', 'B', 'A', 'E']"
80,good,"['D', 'F', 'A', 'C', 'G']"
81,good,"['D', 'G', 'C', 'A', 'B']"
82,good,"['D', 'C', 'A', 'F', 'H']"
83,good,"['D', 'A', 'C', 'F', 'H']"
84,good,"['A', 'B', 'D', 'C', 'F']"
85,good,"['D', 'C', 'I', 'A', 'B']"
86,unsolvable,"['A', 'B', 'C', 'D', 'E']"
87,good,"['D', 'C', 'G', 'I', 'K']"
88,good,"['D', 'C', 'M', 'A', 'B']"
89,good,"['D', 'B', 'M', 'J', 'A']"
90,good,"['D', 'C', 'E', 'I', 'K']"
91,good,"['D', 'C', 'K', 'F', 'H']"
92,good,"['D', 'B', 'H', 'K', 'M']"
93,good,"['D', 'I', 'A', 'C', 'K']"
94,good,"['D', 'A', 'H', 'I', 'F']"
95,good,"['D', 'B', 'E', 'G', 'L']"
96,good,"['D', 'C', 'B', 'A', 'E']"
97,good,"['D', 'A', 'C', 'F', 'G']"
98,good,"['D', 'A', 'B', 'C', 'E']"
99,good,"['D', 'C', 'B', 'A', 'F']"
