prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
918.0,168.0,0.02754,0.01008,0.03762
918.0,425.0,0.02754,0.0255,0.05304
918.0,297.0,0.02754,0.01782,0.04536
918.0,282.0,0.02754,0.016919999999999998,0.04446
918.0,359.0,0.02754,0.02154,0.04908
918.0,335.0,0.02754,0.020099999999999996,0.047639999999999995
918.0,442.0,0.02754,0.02652,0.05406
918.0,321.0,0.02754,0.01926,0.046799999999999994
918.0,331.0,0.02754,0.01986,0.0474
918.0,356.0,0.02754,0.02136,0.0489
918.0,455.0,0.02754,0.0273,0.05484
918.0,320.0,0.02754,0.0192,0.04674
918.0,400.0,0.02754,0.024,0.05154
918.0,304.0,0.02754,0.01824,0.04578
918.0,326.0,0.02754,0.019559999999999998,0.047099999999999996
918.0,404.0,0.02754,0.024239999999999998,0.05177999999999999
918.0,315.0,0.02754,0.0189,0.046439999999999995
918.0,474.0,0.02754,0.028439999999999997,0.055979999999999995
918.0,364.0,0.02754,0.02184,0.04937999999999999
918.0,304.0,0.02754,0.01824,0.04578
918.0,256.0,0.02754,0.015359999999999999,0.042899999999999994
918.0,314.0,0.02754,0.01884,0.04638
918.0,493.0,0.02754,0.02958,0.05712
918.0,493.0,0.02754,0.02958,0.05712
918.0,419.0,0.02754,0.02514,0.05268
918.0,363.0,0.02754,0.021779999999999997,0.049319999999999996
918.0,281.0,0.02754,0.01686,0.044399999999999995
918.0,238.0,0.02754,0.01428,0.041819999999999996
918.0,460.0,0.02754,0.0276,0.055139999999999995
918.0,420.0,0.02754,0.0252,0.052739999999999995
918.0,422.0,0.02754,0.02532,0.05286
918.0,355.0,0.02754,0.0213,0.048839999999999995
918.0,393.0,0.02754,0.023579999999999997,0.05112
918.0,453.0,0.02754,0.02718,0.05472
918.0,305.0,0.02754,0.0183,0.04584
918.0,437.0,0.02754,0.02622,0.05376
918.0,400.0,0.02754,0.024,0.05154
918.0,342.0,0.02754,0.02052,0.04806
918.0,366.0,0.02754,0.02196,0.0495
918.0,291.0,0.02754,0.01746,0.045
918.0,319.0,0.02754,0.01914,0.04668
918.0,360.0,0.02754,0.021599999999999998,0.049139999999999996
918.0,240.0,0.02754,0.014399999999999998,0.04194
918.0,323.0,0.02754,0.019379999999999998,0.046919999999999996
918.0,394.0,0.02754,0.02364,0.05118
918.0,428.0,0.02754,0.02568,0.05322
918.0,369.0,0.02754,0.02214,0.04968
918.0,425.0,0.02754,0.0255,0.05304
918.0,371.0,0.02754,0.02226,0.0498
918.0,532.0,0.02754,0.03192,0.05946
918.0,343.0,0.02754,0.020579999999999998,0.048119999999999996
918.0,325.0,0.02754,0.0195,0.04704
918.0,232.0,0.02754,0.01392,0.04146
918.0,475.0,0.02754,0.0285,0.05604
918.0,333.0,0.02754,0.01998,0.04752
918.0,451.0,0.02754,0.027059999999999997,0.054599999999999996
918.0,522.0,0.02754,0.03132,0.058859999999999996
918.0,357.0,0.02754,0.021419999999999998,0.04896
918.0,479.0,0.02754,0.028739999999999998,0.05628
918.0,460.0,0.02754,0.0276,0.055139999999999995
918.0,268.0,0.02754,0.016079999999999997,0.04361999999999999
918.0,436.0,0.02754,0.02616,0.0537
918.0,341.0,0.02754,0.020460000000000002,0.048
918.0,332.0,0.02754,0.019919999999999997,0.047459999999999995
918.0,286.0,0.02754,0.01716,0.044700000000000004
918.0,372.0,0.02754,0.02232,0.04986
918.0,406.0,0.02754,0.02436,0.0519
918.0,240.0,0.02754,0.014399999999999998,0.04194
918.0,279.0,0.02754,0.016739999999999998,0.04428
918.0,454.0,0.02754,0.027239999999999997,0.054779999999999995
918.0,361.0,0.02754,0.02166,0.049199999999999994
918.0,275.0,0.02754,0.0165,0.044039999999999996
918.0,302.0,0.02754,0.01812,0.04566
918.0,356.0,0.02754,0.02136,0.0489
918.0,359.0,0.02754,0.02154,0.04908
918.0,290.0,0.02754,0.0174,0.044939999999999994
918.0,371.0,0.02754,0.02226,0.0498
918.0,283.0,0.02754,0.016980000000000002,0.044520000000000004
918.0,306.0,0.02754,0.018359999999999998,0.045899999999999996
918.0,438.0,0.02754,0.026279999999999998,0.05381999999999999
918.0,227.0,0.02754,0.013619999999999998,0.041159999999999995
918.0,427.0,0.02754,0.025619999999999997,0.05316
918.0,465.0,0.02754,0.027899999999999998,0.055439999999999996
918.0,412.0,0.02754,0.02472,0.05226
918.0,354.0,0.02754,0.02124,0.04878
918.0,284.0,0.02754,0.01704,0.044579999999999995
918.0,491.0,0.02754,0.029459999999999997,0.056999999999999995
918.0,280.0,0.02754,0.016800000000000002,0.044340000000000004
918.0,298.0,0.02754,0.01788,0.04542
918.0,286.0,0.02754,0.01716,0.044700000000000004
918.0,302.0,0.02754,0.01812,0.04566
918.0,259.0,0.02754,0.01554,0.04308
918.0,474.0,0.02754,0.028439999999999997,0.055979999999999995
918.0,264.0,0.02754,0.01584,0.04338
918.0,440.0,0.02754,0.0264,0.05394
918.0,432.0,0.02754,0.02592,0.053459999999999994
918.0,344.0,0.02754,0.020640000000000002,0.04818
918.0,377.0,0.02754,0.022619999999999998,0.050159999999999996
918.0,284.0,0.02754,0.01704,0.044579999999999995
918.0,372.0,0.02754,0.02232,0.04986
