index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'B', 'C', 'D']"
1,good,"['A', 'B', 'D', 'C']"
2,good,"['A', 'B', 'C', 'D']"
3,good,"['A', 'B', 'C', 'D']"
4,good,"['A', 'C', 'D', 'B']"
5,good,"['A', 'B', 'C', 'D']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'C', 'D', 'B']"
8,good,"['A', 'C', 'D', 'B']"
9,unsolvable,"['A', 'D', 'B', 'C']"
10,unsolvable,"['A', 'D', 'B', 'C']"
11,good,"['A', 'C', 'B', 'D']"
12,unsolvable,"['A', 'B', 'C', 'D']"
13,good,"['A', 'B', 'D', 'C']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'D', 'B', 'C']"
16,good,"['A', 'D', 'B', 'C']"
17,good,"['A', 'B', 'C', 'D']"
18,unsolvable,"['A', 'B', 'C', 'D']"
19,good,"['A', 'B', 'C', 'D']"
20,good,"['A', 'C', 'B', 'D']"
21,good,"['A', 'C', 'B', 'D']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'D', 'B', 'C']"
24,good,"['A', 'B', 'D', 'C']"
25,good,"['A', 'C', 'B', 'D']"
26,good,"['A', 'C', 'B', 'D']"
27,good,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'D', 'C']"
29,unsolvable,"['A', 'D', 'C', 'B']"
30,good,"['A', 'B', 'C', 'D']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'B', 'C', 'D']"
34,good,"['A', 'B', 'C', 'D']"
35,good,"['A', 'C', 'D', 'B']"
36,good,"['A', 'C', 'D', 'B']"
37,good,"['A', 'B', 'C', 'D']"
38,good,"['A', 'C', 'B', 'D']"
39,good,"['A', 'B', 'C', 'D']"
40,good,"['A', 'C', 'D', 'B']"
41,good,"['A', 'B', 'C', 'D']"
42,good,"['A', 'C', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'C', 'B', 'D']"
46,unsolvable,"['A', 'B', 'C', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'C', 'B', 'D']"
49,good,"['A', 'D', 'B', 'C']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'C', 'D', 'B']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'D', 'B', 'C']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['D', 'A', 'B', 'C']"
56,good,"['B', 'C', 'A', 'D']"
57,good,"['A', 'C', 'B', 'D']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'B', 'C', 'D']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'C', 'D', 'B']"
64,good,"['A', 'D', 'B', 'C']"
65,good,"['A', 'C', 'B', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,good,"['A', 'C', 'D', 'B']"
68,good,"['A', 'D', 'B', 'C']"
69,good,"['A', 'B', 'C', 'D']"
70,good,"['A', 'C', 'B', 'D']"
71,good,"['A', 'C', 'D', 'B']"
72,good,"['A', 'D', 'B', 'C']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'B', 'C', 'D']"
75,good,"['A', 'C', 'B', 'D']"
76,unsolvable,"['A', 'D', 'B', 'C']"
77,good,"['A', 'B', 'C', 'D']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['A', 'C', 'D', 'B']"
80,good,"['A', 'B', 'C', 'D']"
81,good,"['A', 'B', 'C', 'D']"
82,good,"['A', 'B', 'C', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,good,"['A', 'B', 'D', 'C']"
85,good,"['A', 'B', 'C', 'D']"
86,good,"['A', 'D', 'B', 'C']"
87,good,"['A', 'D', 'B', 'C']"
88,good,"['A', 'B', 'C', 'D']"
89,good,"['A', 'D', 'B', 'C']"
90,good,"['A', 'C', 'D', 'B']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'B', 'C', 'D']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'D', 'C', 'B']"
96,good,"['A', 'B', 'C', 'D']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['A', 'B', 'C', 'D']"
99,good,"['A', 'C', 'B', 'D']"
