prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
447.0,10.0,0.01341,0.0006,0.01401
