index,good/bad/unsolvable,reply
0,good,"['D', 'B', 'A', 'E', 'F']"
1,good,"['D', 'C', 'B', 'A', 'E']"
2,good,"['D', 'A', 'F', 'H', 'M']"
3,good,"['D', 'B', 'C', 'A', 'G']"
4,good,"['D', 'H', 'C', 'B', 'A']"
5,good,"['D', 'B', 'H', 'K', 'M']"
6,good,"['D', 'C', 'I', 'A', 'B']"
7,good,"['D', 'C', 'G', 'M', 'A']"
8,good,"['D', 'C', 'B', 'A', 'G']"
9,good,"['D', 'H', 'C', 'B', 'A']"
10,good,"['D', 'M', 'F', 'H', 'J']"
11,good,"['D', 'C', 'B', 'A', 'H']"
12,good,"['D', 'B', 'F', 'I', 'A']"
13,good,"['D', 'C', 'B', 'A', 'E']"
14,good,"['L', 'J', 'G', 'D', 'M']"
15,good,"['D', 'H', 'G', 'E', 'C']"
16,good,"['D', 'C', 'E', 'F', 'A']"
17,good,"['D', 'C', 'B', 'A', 'E']"
18,good,"['D', 'C', 'H', 'B', 'J']"
19,good,"['D', 'C', 'A', 'E', 'F']"
20,good,"['D', 'C', 'B', 'E', 'F']"
21,good,"['D', 'H', 'J', 'L', 'A']"
22,good,"['D', 'C', 'B', 'A', 'I']"
23,good,"['D', 'M', 'C', 'I', 'G']"
24,good,"['E', 'D', 'C', 'G', 'J']"
25,good,"['D', 'C', 'A', 'B', 'G']"
26,good,"['D', 'C', 'B', 'A', 'F']"
27,good,"['D', 'C', 'B', 'I', 'L']"
28,good,"['D', 'A', 'J', 'I', 'G']"
29,good,"['D', 'B', 'A', 'G', 'I']"
30,good,"['D', 'A', 'I', 'M', 'A']"
31,good,"['D', 'A', 'F', 'H', 'G']"
32,good,"['A', 'D', 'H', 'L', 'C']"
33,good,"['D', 'B', 'A', 'C', 'E']"
34,good,"['D', 'G', 'L', 'A', 'B']"
35,good,"['D', 'C', 'B', 'A', 'E']"
36,good,"['D', 'C', 'A', 'B', 'E']"
37,good,"['A', 'D', 'C', 'B', 'E']"
38,good,"['D', 'C', 'A', 'E', 'G']"
39,good,"['D', 'C', 'B', 'A', 'E']"
40,good,"['D', 'C', 'I', 'B', 'A']"
41,good,"['D', 'B', 'A', 'C', 'F']"
42,good,"['D', 'B', 'A', 'C', 'E']"
43,good,"['D', 'A', 'B', 'C', 'E']"
44,good,"['D', 'B', 'A', 'C', 'F']"
45,good,"['D', 'C', 'B', 'E', 'I']"
46,good,"['D', 'C', 'B', 'F', 'H']"
47,good,"['D', 'C', 'B', 'K', 'H']"
48,good,"['D', 'A', 'H', 'F', 'M']"
49,good,"['D', 'C', 'B', 'A', 'H']"
50,good,"['D', 'C', 'B', 'A', 'F']"
51,good,"['D', 'J', 'B', 'A', 'C']"
52,good,"['D', 'B', 'H', 'K', 'L']"
53,good,"['D', 'C', 'G', 'M', 'J']"
54,good,"['D', 'C', 'B', 'A', 'G']"
55,good,"['D', 'A', 'K', 'B', 'E']"
56,good,"['D', 'C', 'H', 'K', 'L']"
57,good,"['D', 'C', 'G', 'L', 'J']"
58,good,"['D', 'C', 'A', 'B', 'H']"
59,good,"['D', 'C', 'F', 'H', 'K']"
60,good,"['D', 'C', 'K', 'B', 'A']"
61,good,"['D', 'A', 'C', 'E', 'F']"
62,good,"['D', 'C', 'A', 'G', 'E']"
63,good,"['D', 'B', 'A', 'G', 'K']"
64,good,"['D', 'B', 'E', 'F', 'H']"
65,good,"['D', 'C', 'B', 'A', 'E']"
66,good,"['D', 'C', 'A', 'B', 'E']"
67,good,"['D', 'B', 'A', 'C', 'E']"
68,good,"['D', 'G', 'K', 'C', 'E']"
69,good,"['D', 'C', 'B', 'A', 'G']"
70,good,"['D', 'A', 'B', 'C', 'E']"
71,good,"['D', 'C', 'B', 'G', 'I']"
72,good,"['D', 'B', 'A', 'F', 'M']"
73,good,"['D', 'C', 'B', 'A', 'F']"
74,good,"['D', 'C', 'B', 'A', 'E']"
75,good,"['D', 'A', 'F', 'M', 'I']"
76,good,"['D', 'B', 'G', 'A', 'J']"
77,good,"['D', 'C', 'J', 'F', 'L']"
78,good,"['D', 'B', 'A', 'C', 'G']"
79,good,"['D', 'A', 'C', 'E', 'F']"
80,good,"['D', 'G', 'K', 'C', 'B']"
81,good,"['D', 'C', 'B', 'A', 'F']"
82,good,"['D', 'A', 'B', 'E', 'F']"
83,good,"['D', 'C', 'A', 'B', 'E']"
84,good,"['D', 'C', 'I', 'M', 'E']"
85,good,"['D', 'C', 'B', 'A', 'H']"
86,unsolvable,"['A', 'B', 'C', 'D', 'E']"
87,good,"['D', 'A', 'G', 'K', 'L']"
88,good,"['D', 'C', 'A', 'B', 'E']"
89,good,"['D', 'C', 'I', 'M', 'A']"
90,good,"['D', 'A', 'B', 'C', 'E']"
91,good,"['D', 'C', 'A', 'B', 'E']"
92,good,"['D', 'A', 'F', 'H', 'C']"
93,good,"['D', 'C', 'A', 'B', 'E']"
94,good,"['D', 'C', 'F', 'H', 'M']"
95,good,"['D', 'B', 'G', 'K', 'A']"
96,good,"['D', 'A', 'F', 'I', 'L']"
97,good,"['D', 'C', 'B', 'A', 'E']"
98,good,"['D', 'A', 'F', 'J', 'M']"
99,good,"['D', 'G', 'C', 'B', 'A']"
