prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
1148.0,640.0,0.01148,0.0192,0.03068
1148.0,586.0,0.01148,0.01758,0.02906
1148.0,509.0,0.01148,0.015269999999999999,0.02675
1148.0,515.0,0.01148,0.015449999999999998,0.02693
1148.0,474.0,0.01148,0.014219999999999998,0.0257
1148.0,520.0,0.01148,0.0156,0.02708
1148.0,619.0,0.01148,0.01857,0.03005
1148.0,485.0,0.01148,0.014549999999999999,0.026029999999999998
1148.0,519.0,0.01148,0.01557,0.02705
1148.0,502.0,0.01148,0.015059999999999999,0.02654
1148.0,536.0,0.01148,0.016079999999999997,0.027559999999999998
1148.0,597.0,0.01148,0.01791,0.02939
1148.0,577.0,0.01148,0.01731,0.02879
1148.0,556.0,0.01148,0.01668,0.02816
1148.0,565.0,0.01148,0.01695,0.02843
1148.0,554.0,0.01148,0.01662,0.0281
1148.0,626.0,0.01148,0.018779999999999998,0.03026
1148.0,561.0,0.01148,0.016829999999999998,0.02831
1148.0,535.0,0.01148,0.016050000000000002,0.027530000000000002
1148.0,705.0,0.01148,0.02115,0.03263
1148.0,536.0,0.01148,0.016079999999999997,0.027559999999999998
1148.0,523.0,0.01148,0.01569,0.02717
1148.0,556.0,0.01148,0.01668,0.02816
1148.0,524.0,0.01148,0.015719999999999998,0.0272
1148.0,513.0,0.01148,0.01539,0.026869999999999998
1148.0,440.0,0.01148,0.0132,0.02468
1148.0,545.0,0.01148,0.016349999999999996,0.027829999999999997
1148.0,442.0,0.01148,0.01326,0.024739999999999998
1148.0,467.0,0.01148,0.01401,0.02549
1148.0,580.0,0.01148,0.0174,0.02888
1148.0,500.0,0.01148,0.015,0.02648
1148.0,598.0,0.01148,0.017939999999999998,0.029419999999999998
1148.0,480.0,0.01148,0.014399999999999998,0.02588
1148.0,607.0,0.01148,0.01821,0.02969
1148.0,536.0,0.01148,0.016079999999999997,0.027559999999999998
1148.0,626.0,0.01148,0.018779999999999998,0.03026
1148.0,562.0,0.01148,0.01686,0.02834
1148.0,579.0,0.01148,0.01737,0.02885
1148.0,536.0,0.01148,0.016079999999999997,0.027559999999999998
1148.0,468.0,0.01148,0.014039999999999999,0.02552
1148.0,456.0,0.01148,0.01368,0.025160000000000002
1148.0,502.0,0.01148,0.015059999999999999,0.02654
1148.0,500.0,0.01148,0.015,0.02648
1148.0,604.0,0.01148,0.01812,0.0296
1148.0,574.0,0.01148,0.01722,0.0287
1148.0,632.0,0.01148,0.01896,0.030440000000000002
1148.0,521.0,0.01148,0.015629999999999998,0.02711
1148.0,544.0,0.01148,0.01632,0.027800000000000002
1148.0,611.0,0.01148,0.01833,0.02981
1148.0,535.0,0.01148,0.016050000000000002,0.027530000000000002
1148.0,549.0,0.01148,0.01647,0.02795
1148.0,528.0,0.01148,0.01584,0.02732
1148.0,469.0,0.01148,0.014070000000000001,0.025550000000000003
1148.0,557.0,0.01148,0.01671,0.02819
1148.0,506.0,0.01148,0.015179999999999999,0.02666
1148.0,464.0,0.01148,0.01392,0.0254
1148.0,728.0,0.01148,0.02184,0.03332
1148.0,541.0,0.01148,0.01623,0.027710000000000002
1148.0,643.0,0.01148,0.019289999999999998,0.03077
1148.0,559.0,0.01148,0.01677,0.02825
1148.0,568.0,0.01148,0.01704,0.02852
1148.0,463.0,0.01148,0.01389,0.02537
1148.0,506.0,0.01148,0.015179999999999999,0.02666
1148.0,547.0,0.01148,0.01641,0.02789
1148.0,513.0,0.01148,0.01539,0.026869999999999998
1148.0,496.0,0.01148,0.014879999999999999,0.02636
1148.0,695.0,0.01148,0.020849999999999997,0.03233
1148.0,478.0,0.01148,0.01434,0.025820000000000003
1148.0,609.0,0.01148,0.018269999999999998,0.02975
1148.0,530.0,0.01148,0.015899999999999997,0.027379999999999998
1148.0,513.0,0.01148,0.01539,0.026869999999999998
1148.0,695.0,0.01148,0.020849999999999997,0.03233
1148.0,502.0,0.01148,0.015059999999999999,0.02654
1148.0,585.0,0.01148,0.01755,0.02903
1148.0,767.0,0.01148,0.02301,0.03449
1148.0,578.0,0.01148,0.01734,0.028820000000000002
1148.0,466.0,0.01148,0.01398,0.02546
1148.0,571.0,0.01148,0.01713,0.02861
1148.0,493.0,0.01148,0.01479,0.02627
1148.0,528.0,0.01148,0.01584,0.02732
1148.0,450.0,0.01148,0.0135,0.024980000000000002
1148.0,703.0,0.01148,0.02109,0.03257
1148.0,463.0,0.01148,0.01389,0.02537
1148.0,512.0,0.01148,0.015359999999999999,0.02684
1148.0,503.0,0.01148,0.01509,0.02657
1148.0,524.0,0.01148,0.015719999999999998,0.0272
1148.0,576.0,0.01148,0.01728,0.02876
1148.0,484.0,0.01148,0.01452,0.026000000000000002
1148.0,469.0,0.01148,0.014070000000000001,0.025550000000000003
1148.0,516.0,0.01148,0.015479999999999999,0.026959999999999998
1148.0,622.0,0.01148,0.01866,0.03014
1148.0,483.0,0.01148,0.01449,0.02597
1148.0,496.0,0.01148,0.014879999999999999,0.02636
1148.0,506.0,0.01148,0.015179999999999999,0.02666
1148.0,615.0,0.01148,0.018449999999999998,0.02993
1148.0,512.0,0.01148,0.015359999999999999,0.02684
1148.0,541.0,0.01148,0.01623,0.027710000000000002
1148.0,702.0,0.01148,0.02106,0.03254
1148.0,537.0,0.01148,0.01611,0.02759
1148.0,473.0,0.01148,0.01419,0.02567
