index,good/bad/unsolvable,reply
0,good,"['A', 'G', 'F', 'E', 'D']"
1,good,"['G', 'A', 'H', 'E', 'D']"
2,good,"['A', 'D', 'G', 'F', 'I']"
3,good,"['A', 'G', 'F', 'B', 'E']"
4,good,"['A', 'F', 'E', 'G', 'B']"
5,good,"['A', 'G', 'E', 'F', 'I']"
6,good,"['A', 'G', 'F', 'D', 'E']"
7,good,"['A', 'F', 'G', 'D', 'I']"
8,good,"['A', 'E', 'F', 'G', 'I']"
9,good,"['A', 'G', 'D', 'E', 'B']"
10,good,"['A', 'G', 'D', 'E', 'F']"
11,good,"['A', 'G', 'I', 'E', 'F']"
12,good,"['A', 'G', 'I', 'F', 'D']"
13,good,"['A', 'G', 'I', 'E', 'F']"
14,good,"['A', 'J', 'I', 'H', 'G']"
15,good,"['A', 'G', 'E', 'F', 'B']"
16,good,"['A', 'F', 'D', 'B', 'E']"
17,good,"['A', 'G', 'D', 'H', 'I']"
18,good,"['A', 'G', 'F', 'H', 'J']"
19,good,"['A', 'G', 'E', 'F', 'D']"
20,good,"['A', 'G', 'F', 'B', 'E']"
21,bad,"['T', 'h', 'e', 's', 'e']"
22,good,"['A', 'B', 'C', 'D', 'E']"
23,good,"['A', 'G', 'F', 'I', 'D']"
24,good,"['A', 'B', 'C', 'D', 'E']"
25,good,"['A', 'G', 'F', 'H', 'I']"
26,good,"['A', 'G', 'F', 'E', 'B']"
27,good,"['A', 'F', 'G', 'E', 'I']"
28,good,"['A', 'I', 'F', 'G', 'H']"
29,good,"['A', 'D', 'G', 'E', 'I']"
30,good,"['A', 'G', 'F', 'D', 'E']"
31,good,"['A', 'G', 'H', 'B', 'D']"
32,good,"['A', 'E', 'G', 'F', 'H']"
33,good,"['A', 'E', 'I', 'H', 'G']"
34,good,"['A', 'F', 'I', 'G', 'E']"
35,good,"['A', 'D', 'H', 'E', 'F']"
36,good,"['A', 'G', 'F', 'E', 'D']"
37,good,"['A', 'I', 'D', 'F', 'B']"
38,good,"['A', 'G', 'B', 'D', 'E']"
39,good,"['A', 'I', 'G', 'E', 'F']"
40,good,"['A', 'F', 'E', 'G', 'H']"
41,good,"['A', 'G', 'F', 'E', 'I']"
42,good,"['A', 'G', 'I', 'H', 'F']"
43,good,"['A', 'G', 'F', 'E', 'C']"
44,good,"['A', 'E', 'G', 'D', 'F']"
45,good,"['A', 'E', 'G', 'D', 'F']"
46,good,"['A', 'C', 'G', 'D', 'F']"
47,good,"['A', 'E', 'B', 'C', 'D']"
48,good,"['A', 'F', 'G', 'I', 'D']"
49,good,"['A', 'F', 'G', 'H', 'I']"
50,good,"['A', 'D', 'F', 'H', 'I']"
51,good,"['A', 'G', 'I', 'D', 'F']"
52,good,"['A', 'G', 'I', 'F', 'E']"
53,good,"['A', 'G', 'D', 'I', 'F']"
54,good,"['A', 'G', 'D', 'E', 'C']"
55,good,"['A', 'G', 'H', 'E', 'F']"
56,good,"['A', 'E', 'G', 'D', 'F']"
57,good,"['G', 'F', 'H', 'A', 'B']"
58,good,"['A', 'E', 'F', 'G', 'I']"
59,good,"['A', 'G', 'I', 'B', 'D']"
60,good,"['A', 'G', 'F', 'I', 'E']"
61,good,"['A', 'F', 'G', 'I', 'B']"
62,good,"['A', 'F', 'I', 'D', 'E']"
63,good,"['A', 'G', 'D', 'F', 'I']"
64,good,"['A', 'I', 'C', 'G', 'F']"
65,good,"['A', 'E', 'G', 'D', 'F']"
66,good,"['A', 'F', 'G', 'I', 'E']"
67,good,"['A', 'E', 'G', 'D', 'F']"
68,unsolvable,"['A', 'G', 'F', 'E', 'H']"
69,good,"['A', 'G', 'E', 'F', 'B']"
70,good,"['A', 'G', 'D', 'I', 'E']"
71,good,"['A', 'E', 'F', 'D', 'G']"
72,good,"['A', 'F', 'G', 'D', 'E']"
73,good,"['A', 'G', 'I', 'F', 'E']"
74,good,"['A', 'C', 'B', 'D', 'E']"
75,unsolvable,"['A', 'G', 'D', 'F', 'B']"
76,good,"['A', 'B', 'G', 'H', 'F']"
77,good,"['A', 'G', 'E', 'F', 'D']"
78,good,"['A', 'H', 'I', 'G', 'F']"
79,good,"['A', 'E', 'G', 'H', 'D']"
80,good,"['A', 'C', 'G', 'D', 'E']"
81,good,"['A', 'G', 'E', 'F', 'B']"
82,good,"['G', 'A', 'E', 'B', 'D']"
83,good,"['A', 'E', 'G', 'D', 'F']"
84,good,"['A', 'G', 'F', 'E', 'I']"
85,good,"['A', 'F', 'G', 'D', 'E']"
86,good,"['A', 'F', 'G', 'E', 'D']"
87,unsolvable,"['n', 'o', 't', 'p', 'o']"
88,good,"['A', 'F', 'G', 'I', 'H']"
89,good,"['A', 'G', 'E', 'F', 'H']"
90,good,"['A', 'D', 'E', 'G', 'H']"
91,good,"['A', 'G', 'F', 'H', 'I']"
92,good,"['A', 'F', 'G', 'H', 'E']"
93,good,"['A', 'F', 'G', 'E', 'C']"
94,good,"['A', 'G', 'I', 'E', 'F']"
95,good,"['A', 'G', 'F', 'E', 'B']"
96,good,"['A', 'G', 'B', 'F', 'D']"
97,good,"['A', 'F', 'G', 'B', 'C']"
98,good,"['A', 'G', 'F', 'D', 'E']"
99,good,"['A', 'E', 'F', 'G', 'I']"
