index,good/bad/unsolvable,reply
0,good,"['D', 'K', 'L', 'E', 'I']"
1,good,"['D', 'C', 'I', 'K', 'L']"
2,good,"['D', 'E', 'I', 'K', 'L']"
3,good,"['D', 'E', 'I', 'L', 'C']"
4,good,"['D', 'E', 'I', 'J', 'C']"
5,good,"['D', 'E', 'I', 'M', 'J']"
6,good,"['D', 'I', 'E', 'L', 'J']"
7,good,"['D', 'L', 'M', 'C', 'I']"
8,good,"['C', 'I', 'L', 'D', 'E']"
9,good,"['D', 'H', 'E', 'I', 'M']"
10,good,"['D', 'E', 'I', 'J', 'M']"
11,good,"['A', 'D', 'E', 'I', 'J']"
12,good,"['A', 'B', 'C', 'F', 'G']"
13,good,"['D', 'E', 'I', 'L', 'M']"
14,good,"['D', 'E', 'L', 'M', 'C']"
15,good,"['D', 'H', 'M', 'C', 'E']"
16,good,"['D', 'M', 'E', 'F', 'L']"
17,good,"['D', 'C', 'I', 'L', 'E']"
18,good,"['A', 'D', 'I', 'K', 'L']"
19,good,"['D', 'L', 'E', 'M', 'I']"
20,good,"['D', 'L', 'K', 'E', 'I']"
21,good,"['D', 'M', 'I', 'J', 'L']"
22,good,"['D', 'I', 'J', 'M', 'L']"
23,good,"['D', 'E', 'J', 'M', 'I']"
24,good,"['M', 'D', 'H', 'C', 'J']"
25,good,"['D', 'C', 'M', 'I', 'L']"
26,good,"['D', 'C', 'M', 'I', 'L']"
27,good,"['D', 'L', 'M', 'I', 'K']"
28,good,"['D', 'J', 'C', 'L', 'I']"
29,good,"['A', 'B', 'F', 'G', 'H']"
30,good,"['D', 'M', 'E', 'G', 'I']"
31,good,"['D', 'I', 'H', 'L', 'M']"
32,good,"['D', 'I', 'B', 'H', 'K']"
33,good,"['A', 'D', 'J', 'L', 'M']"
34,good,"['D', 'L', 'M', 'C', 'J']"
35,good,"['A', 'B', 'F', 'G', 'I']"
36,good,"['D', 'C', 'E', 'L', 'I']"
37,good,"['D', 'L', 'M', 'A', 'C']"
38,good,"['D', 'E', 'I', 'J', 'M']"
39,good,"['D', 'E', 'L', 'I', 'G']"
40,good,"['D', 'C', 'E', 'I', 'L']"
41,good,"['D', 'J', 'L', 'E', 'I']"
42,good,"['D', 'M', 'E', 'L', 'I']"
43,good,"['D', 'H', 'C', 'M', 'K']"
44,good,"['D', 'E', 'I', 'J', 'K']"
45,good,"['D', 'K', 'E', 'I', 'L']"
46,good,"['D', 'J', 'I', 'L', 'M']"
47,good,"['D', 'E', 'I', 'K', 'M']"
48,good,"['D', 'H', 'K', 'L', 'J']"
49,good,"['D', 'L', 'M', 'I', 'J']"
50,good,"['D', 'I', 'L', 'M', 'C']"
51,good,"['J', 'D', 'L', 'I', 'C']"
52,good,"['A', 'D', 'M', 'J', 'K']"
53,good,"['D', 'I', 'J', 'M', 'C']"
54,good,"['D', 'K', 'L', 'M', 'E']"
55,good,"['D', 'E', 'K', 'L', 'M']"
56,good,"['D', 'H', 'L', 'M', 'E']"
57,good,"['D', 'E', 'J', 'L', 'M']"
58,good,"['D', 'C', 'J', 'K', 'M']"
59,good,"['D', 'C', 'E', 'F', 'M']"
60,good,"['A', 'D', 'M', 'L', 'K']"
61,good,"['D', 'E', 'C', 'I', 'L']"
62,good,"['D', 'L', 'M', 'E', 'I']"
63,good,"['D', 'I', 'E', 'L', 'J']"
64,good,"['D', 'E', 'I', 'L', 'M']"
65,good,"['I', 'D', 'M', 'J', 'L']"
66,good,"['E', 'D', 'L', 'M', 'J']"
67,good,"['D', 'F', 'E', 'K', 'L']"
68,good,"['D', 'K', 'E', 'H', 'I']"
69,good,"['D', 'C', 'H', 'M', 'E']"
70,good,"['D', 'E', 'I', 'L', 'H']"
71,good,"['D', 'J', 'L', 'M', 'I']"
72,good,"['A', 'D', 'L', 'M', 'J']"
73,good,"['D', 'E', 'M', 'C', 'L']"
74,good,"['D', 'H', 'I', 'L', 'C']"
75,good,"['D', 'C', 'J', 'I', 'M']"
76,good,"['D', 'E', 'I', 'L', 'C']"
77,good,"['D', 'M', 'C', 'I', 'H']"
78,good,"['A', 'L', 'D', 'M', 'B']"
79,good,"['D', 'L', 'E', 'I', 'J']"
80,good,"['D', 'K', 'L', 'E', 'M']"
81,good,"['D', 'B', 'C', 'H', 'E']"
82,good,"['A', 'D', 'M', 'I', 'L']"
83,good,"['D', 'M', 'C', 'L', 'I']"
84,good,"['D', 'C', 'M', 'I', 'J']"
85,bad,"['5', 'E']"
86,unsolvable,"['G', 'M', 'I', 'L', 'D']"
87,good,"['D', 'L', 'E', 'K', 'I']"
88,good,"['A', 'D', 'E', 'I', 'L']"
89,good,"['D', 'L', 'E', 'M', 'J']"
90,good,"['A', 'D', 'J', 'M', 'C']"
91,good,"['D', 'L', 'M', 'C', 'J']"
92,good,"['D', 'M', 'C', 'I', 'H']"
93,good,"['D', 'C', 'E', 'I', 'J']"
94,good,"['A', 'B', 'E', 'F', 'G']"
95,good,"['D', 'L', 'M', 'B', 'E']"
96,good,"['D', 'I', 'L', 'E', 'K']"
97,good,"['D', 'K', 'I', 'L', 'E']"
98,good,"['D', 'K', 'I', 'J', 'L']"
99,good,"['D', 'K', 'H', 'C', 'J']"
