index,good/bad/unsolvable,reply
0,unsolvable,"['A', 'B', 'C', 'D']"
1,good,"['A', 'B', 'D', 'C']"
2,good,"['A', 'C', 'B', 'D']"
3,good,"['A', 'C', 'B', 'D']"
4,good,"['A', 'C', 'B', 'D']"
5,good,"['A', 'B', 'C', 'D']"
6,good,"['A', 'B', 'C', 'D']"
7,good,"['A', 'C', 'B', 'D']"
8,good,"['A', 'B', 'C', 'D']"
9,unsolvable,"['D', 'A', 'B', 'C']"
10,unsolvable,"['A', 'B', 'C', 'D']"
11,good,"['A', 'C', 'D', 'B']"
12,good,"['A', 'D', 'C', 'B']"
13,good,"['A', 'B', 'C', 'D']"
14,good,"['A', 'B', 'C', 'D']"
15,good,"['A', 'C', 'D', 'B']"
16,good,"['A', 'D', 'C', 'B']"
17,good,"['A', 'B', 'C', 'D']"
18,good,"['A', 'D', 'B', 'C']"
19,good,"['A', 'B', 'C', 'D']"
20,unsolvable,"['A', 'B', 'C', 'D']"
21,good,"['A', 'C', 'D', 'B']"
22,good,"['A', 'B', 'C', 'D']"
23,good,"['A', 'C', 'D', 'B']"
24,good,"['A', 'D', 'B', 'C']"
25,good,"['A', 'C', 'B', 'D']"
26,good,"['A', 'C', 'D', 'B']"
27,good,"['A', 'B', 'C', 'D']"
28,good,"['A', 'B', 'C', 'D']"
29,unsolvable,"['A', 'B', 'C', 'D']"
30,good,"['A', 'C', 'B', 'D']"
31,good,"['A', 'C', 'B', 'D']"
32,good,"['A', 'B', 'C', 'D']"
33,good,"['A', 'C', 'D', 'B']"
34,good,"['A', 'B', 'C', 'D']"
35,unsolvable,"['A', 'B', 'C', 'D']"
36,good,"['A', 'C', 'D', 'B']"
37,good,"['A', 'C', 'B', 'D']"
38,good,"['C', 'B', 'A', 'D']"
39,good,"['A', 'C', 'D', 'B']"
40,good,"['A', 'D', 'C', 'B']"
41,good,"['A', 'C', 'D', 'B']"
42,good,"['C', 'A', 'B', 'D']"
43,good,"['A', 'B', 'C', 'D']"
44,good,"['A', 'D', 'B', 'C']"
45,good,"['A', 'C', 'B', 'D']"
46,good,"['A', 'B', 'C', 'D']"
47,unsolvable,"['A', 'B', 'C', 'D']"
48,good,"['A', 'C', 'B', 'D']"
49,unsolvable,"['A', 'B', 'C', 'D']"
50,good,"['A', 'B', 'C', 'D']"
51,good,"['A', 'D', 'B', 'C']"
52,unsolvable,"['A', 'B', 'C', 'D']"
53,good,"['A', 'B', 'C', 'D']"
54,good,"['A', 'B', 'C', 'D']"
55,good,"['A', 'C', 'B', 'D']"
56,good,"['A', 'C', 'B', 'D']"
57,good,"['A', 'B', 'C', 'D']"
58,good,"['A', 'B', 'C', 'D']"
59,good,"['A', 'C', 'B', 'D']"
60,good,"['A', 'C', 'B', 'D']"
61,good,"['A', 'C', 'D', 'B']"
62,unsolvable,"['A', 'B', 'C', 'D']"
63,good,"['A', 'D', 'C', 'B']"
64,good,"['A', 'C', 'D', 'B']"
65,good,"['A', 'B', 'C', 'D']"
66,unsolvable,"['A', 'B', 'C', 'D']"
67,good,"['A', 'C', 'B', 'D']"
68,good,"['A', 'C', 'B', 'D']"
69,good,"['A', 'D', 'C', 'B']"
70,good,"['A', 'D', 'C', 'B']"
71,good,"['A', 'C', 'B', 'D']"
72,good,"['A', 'B', 'C', 'D']"
73,good,"['A', 'B', 'C', 'D']"
74,good,"['A', 'C', 'B', 'D']"
75,good,"['A', 'B', 'C', 'D']"
76,unsolvable,"['A', 'B', 'C', 'D']"
77,good,"['A', 'B', 'C', 'D']"
78,good,"['A', 'B', 'C', 'D']"
79,good,"['C', 'A', 'D', 'B']"
80,good,"['A', 'C', 'B', 'D']"
81,good,"['A', 'C', 'B', 'D']"
82,good,"['A', 'B', 'C', 'D']"
83,unsolvable,"['A', 'B', 'C', 'D']"
84,unsolvable,"['A', 'B', 'C', 'D']"
85,good,"['A', 'B', 'C', 'D']"
86,unsolvable,"['A', 'B', 'C', 'D']"
87,good,"['A', 'B', 'C', 'D']"
88,good,"['A', 'D', 'C', 'B']"
89,good,"['A', 'D', 'B', 'C']"
90,good,"['A', 'C', 'B', 'D']"
91,good,"['A', 'B', 'C', 'D']"
92,good,"['A', 'C', 'B', 'D']"
93,good,"['A', 'B', 'C', 'D']"
94,good,"['A', 'B', 'C', 'D']"
95,good,"['A', 'B', 'C', 'D']"
96,good,"['A', 'B', 'C', 'D']"
97,good,"['A', 'B', 'C', 'D']"
98,good,"['A', 'C', 'B', 'D']"
99,good,"['A', 'C', 'B', 'D']"
