prompt_tokens,completion_tokens,input_cost,output_cost,total_cost
492.0,186.0,0.01476,0.01116,0.02592
515.0,271.0,0.015449999999999998,0.016259999999999997,0.031709999999999995
530.0,553.0,0.015899999999999997,0.03318,0.04908
592.0,250.0,0.017759999999999998,0.015,0.03276
534.0,684.0,0.01602,0.04104,0.05706
487.0,287.0,0.01461,0.01722,0.03183
611.0,264.0,0.01833,0.01584,0.03417
687.0,535.0,0.02061,0.032100000000000004,0.05271000000000001
470.0,408.0,0.0141,0.024480000000000002,0.03858
484.0,228.0,0.01452,0.01368,0.0282
546.0,582.0,0.01638,0.03492,0.0513
520.0,253.0,0.0156,0.015179999999999999,0.03078
552.0,602.0,0.01656,0.03612,0.05268
536.0,211.0,0.016079999999999997,0.01266,0.028739999999999995
517.0,298.0,0.01551,0.01788,0.03339
600.0,342.0,0.018,0.02052,0.03852
532.0,498.0,0.01596,0.02988,0.04584
615.0,523.0,0.018449999999999998,0.03138,0.04983
551.0,595.0,0.01653,0.035699999999999996,0.05223
507.0,294.0,0.01521,0.01764,0.03285
488.0,400.0,0.014639999999999999,0.024,0.03864
685.0,522.0,0.020550000000000002,0.03132,0.05187
527.0,206.0,0.015809999999999998,0.01236,0.028169999999999997
625.0,622.0,0.01875,0.03732,0.056069999999999995
684.0,384.0,0.02052,0.023039999999999998,0.04356
545.0,304.0,0.016349999999999996,0.01824,0.034589999999999996
698.0,307.0,0.020939999999999997,0.01842,0.03935999999999999
536.0,255.0,0.016079999999999997,0.0153,0.03138
464.0,247.0,0.01392,0.01482,0.02874
554.0,389.0,0.01662,0.02334,0.039959999999999996
540.0,662.0,0.0162,0.03972,0.05592
468.0,275.0,0.014039999999999999,0.0165,0.030539999999999998
680.0,401.0,0.020399999999999998,0.024059999999999998,0.04446
455.0,167.0,0.01365,0.01002,0.02367
547.0,754.0,0.01641,0.045239999999999995,0.061649999999999996
494.0,347.0,0.01482,0.02082,0.035640000000000005
557.0,471.0,0.01671,0.028259999999999997,0.044969999999999996
587.0,611.0,0.01761,0.03666,0.05427
628.0,249.0,0.01884,0.01494,0.03378
582.0,584.0,0.01746,0.03504,0.052500000000000005
458.0,202.0,0.01374,0.012119999999999999,0.02586
490.0,361.0,0.0147,0.02166,0.036359999999999996
533.0,226.0,0.01599,0.01356,0.02955
514.0,215.0,0.01542,0.0129,0.028319999999999998
583.0,316.0,0.01749,0.01896,0.036449999999999996
494.0,444.0,0.01482,0.02664,0.04146
566.0,231.0,0.016980000000000002,0.013859999999999999,0.03084
698.0,401.0,0.020939999999999997,0.024059999999999998,0.045
541.0,278.0,0.01623,0.01668,0.03291
647.0,352.0,0.01941,0.021119999999999996,0.04053
500.0,360.0,0.015,0.021599999999999998,0.036599999999999994
468.0,185.0,0.014039999999999999,0.0111,0.02514
484.0,361.0,0.01452,0.02166,0.03618
722.0,218.0,0.02166,0.01308,0.03474
530.0,270.0,0.015899999999999997,0.0162,0.0321
484.0,177.0,0.01452,0.01062,0.02514
542.0,209.0,0.016259999999999997,0.012539999999999999,0.028799999999999996
525.0,400.0,0.01575,0.024,0.03975
509.0,418.0,0.015269999999999999,0.025079999999999998,0.04035
462.0,245.0,0.013859999999999999,0.0147,0.02856
577.0,543.0,0.01731,0.03258,0.04989
577.0,254.0,0.01731,0.01524,0.032549999999999996
502.0,210.0,0.015059999999999999,0.0126,0.027659999999999997
519.0,379.0,0.01557,0.02274,0.03831
508.0,238.0,0.01524,0.01428,0.029519999999999998
490.0,445.0,0.0147,0.026699999999999998,0.0414
534.0,239.0,0.01602,0.01434,0.030359999999999998
533.0,529.0,0.01599,0.03174,0.047729999999999995
554.0,267.0,0.01662,0.01602,0.03264
549.0,550.0,0.01647,0.033,0.04947
514.0,234.0,0.01542,0.014039999999999999,0.02946
531.0,645.0,0.01593,0.0387,0.05463
557.0,859.0,0.01671,0.05154,0.06825
531.0,905.0,0.01593,0.054299999999999994,0.07022999999999999
504.0,193.0,0.01512,0.01158,0.0267
497.0,201.0,0.01491,0.01206,0.02697
566.0,504.0,0.016980000000000002,0.03024,0.04722
741.0,429.0,0.02223,0.02574,0.04797
471.0,198.0,0.014129999999999998,0.011879999999999998,0.02601
639.0,388.0,0.01917,0.02328,0.04245
658.0,848.0,0.019739999999999997,0.050879999999999995,0.07061999999999999
549.0,243.0,0.01647,0.01458,0.031049999999999998
466.0,245.0,0.01398,0.0147,0.028679999999999997
499.0,644.0,0.014969999999999999,0.03864,0.05361
591.0,309.0,0.01773,0.018539999999999997,0.03627
710.0,445.0,0.0213,0.026699999999999998,0.048
503.0,289.0,0.01509,0.01734,0.03243
524.0,525.0,0.015719999999999998,0.0315,0.04722
465.0,339.0,0.013949999999999999,0.02034,0.03429
669.0,607.0,0.02007,0.03642,0.05649
530.0,656.0,0.015899999999999997,0.03936,0.05526
495.0,286.0,0.01485,0.01716,0.032010000000000004
617.0,249.0,0.01851,0.01494,0.03345
627.0,664.0,0.01881,0.039839999999999993,0.058649999999999994
555.0,589.0,0.016649999999999998,0.035339999999999996,0.051989999999999995
471.0,329.0,0.014129999999999998,0.019739999999999997,0.03387
491.0,172.0,0.014729999999999998,0.010320000000000001,0.02505
557.0,280.0,0.01671,0.016800000000000002,0.03351
535.0,691.0,0.016050000000000002,0.041460000000000004,0.057510000000000006
503.0,247.0,0.01509,0.01482,0.02991
